ID	Remark	Lv	MaxHP	MaxMP	AttackDamage	AttackPower	DefenseDamage	DefensePower	PenetrateDamage	PenetratePower	BloodDamage	BloodPower	Critical	CriticalDamage	CriticalRes	HPRegen	MPRegen	Ductility	MoveSpeed	CoolingReduction	DamageAdd	DamageDf	MonsterDamageAdd	MonsterDamageDf	MonsterGoldAdd	MonsterExpAdd	ActivityGoldAdd	ActivityExpAdd
索引	策划说明	等级	生命	法力	物理攻击	法术攻击	物理防御	法术防御	物理穿透	法术穿透	物理吸血	法术吸血	暴击	暴击伤害	暴击抵抗	生命回复	法力回复	韧性	移动速度	冷却缩减	伤害加成	伤害减免	怪物伤害加成	怪物伤害减免	怪物金币加成	怪物经验加成	活动金币加成	活动经验加成
int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
4~6位数；\n角色ID*1000+对应等级；														万分比，界面显示时为百分比					初始移动速度（厘米/秒）
3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1001	战士1级	1	400	700	40	0	50	50	15	0	15	0	15	15000	25	10	5	25	500	15	0	0	0	0	0	0	0	0
1002	战士2级	2	440	714	48	0	60	60	18	0	18	0	18	15000	30	12	6	30	500	18	0	0	0	0	0	0	0	0
1003	战士3级	3	480	728	56	0	70	70	21	0	21	0	21	15000	35	14	7	35	500	21	0	0	0	0	0	0	0	0
1004	战士4级	4	520	742	64	0	80	80	24	0	24	0	24	15000	40	16	8	40	500	24	0	0	0	0	0	0	0	0
1005	战士5级	5	560	756	72	0	90	90	27	0	27	0	27	15000	45	18	9	45	500	27	0	0	0	0	0	0	0	0
1006	战士6级	6	600	770	80	0	100	100	30	0	30	0	30	15000	50	20	10	50	500	30	0	0	0	0	0	0	0	0
1007	战士7级	7	640	784	88	0	110	110	33	0	33	0	33	15000	55	22	11	55	500	33	0	0	0	0	0	0	0	0
1008	战士8级	8	680	798	96	0	120	120	36	0	36	0	36	15000	60	24	12	60	500	36	0	0	0	0	0	0	0	0	
1009	战士9级	9	720	812	104	0	130	130	39	0	39	0	39	15000	65	26	13	65	500	39	0	0	0	0	0	0	0	0	
1010	战士10级	10	760	826	112	0	140	140	42	0	42	0	42	15000	70	28	14	70	500	42	0	0	0	0	0	0	0	0	
1011	战士11级	11	800	840	120	0	150	150	45	0	45	0	45	15000	75	30	15	75	500	45	0	0	0	0	0	0	0	0	
1012	战士12级	12	840	854	128	0	160	160	48	0	48	0	48	15000	80	32	16	80	500	48	0	0	0	0	0	0	0	0	
1013	战士13级	13	880	868	136	0	170	170	51	0	51	0	51	15000	85	34	17	85	500	51	0	0	0	0	0	0	0	0	
1014	战士14级	14	920	882	144	0	180	180	54	0	54	0	54	15000	90	36	18	90	500	54	0	0	0	0	0	0	0	0
1015	战士15级	15	960	896	152	0	190	190	57	0	57	0	57	15000	95	38	19	95	500	57	0	0	0	0	0	0	0	0
1016	战士16级	16	1000	910	160	0	200	200	60	0	60	0	60	15000	100	40	20	100	500	60	0	0	0	0	0	0	0	0
1017	战士17级	17	1040	924	168	0	210	210	63	0	63	0	63	15000	105	42	21	105	500	63	0	0	0	0	0	0	0	0
1018	战士18级	18	1080	938	176	0	220	220	66	0	66	0	66	15000	110	44	22	110	500	66	0	0	0	0	0	0	0	0
1019	战士19级	19	1120	952	184	0	230	230	69	0	69	0	69	15000	115	46	23	115	500	69	0	0	0	0	0	0	0	0
1020	战士20级	20	1160	966	192	0	240	240	72	0	72	0	72	15000	120	48	24	120	500	72	0	0	0	0	0	0	0	0
1021	战士21级	21	1200	980	200	0	250	250	75	0	75	0	75	15000	125	50	25	125	500	75	0	0	0	0	0	0	0	0
1022	战士22级	22	1240	994	208	0	260	260	78	0	78	0	78	15000	130	52	26	130	500	78	0	0	0	0	0	0	0	0
1023	战士23级	23	1280	1008	216	0	270	270	81	0	81	0	81	15000	135	54	27	135	500	81	0	0	0	0	0	0	0	0
1024	战士24级	24	1320	1022	224	0	280	280	84	0	84	0	84	15000	140	56	28	140	500	84	0	0	0	0	0	0	0	0
1025	战士25级	25	1360	1036	232	0	290	290	87	0	87	0	87	15000	145	58	29	145	500	87	0	0	0	0	0	0	0	0
