ID	NeedExp	MaxExp	TotalExp
索引	升级经验	最大经验	累积经验
int	int	int	int
等级	升到下一级所需经验，\n不要超过2^(32-1)≈21亿	到达这一级后，可储存的最大经验值	升到当前等级所需累积经验，不要超过2^(32-1)≈21亿
3	3	3	0
1	160	480	0
2	540	1620	160
3	1280	3840	700
4	2500	7500	1980
5	4320	12960	4480
6	6860	20580	8800
7	10240	30720	15660
8	14580	43740	25900
9	20000	60000	40480
10	26620	79860	60480
11	34560	103680	87100
12	43940	131820	121660	
13	54880	164640	165600	
14	67500	202500	220480	
15	81920	245760	287980	
16	98260	294780	369900	
17	116640	349920	468160	
18	137180	411540	584800	
19	160000	480000	721980	
20	185220	555660	881980	
21	212960	638880	1067200	
22	243340	730020	1280160	
23	276480	829440	1523500	
24	312500	937500	1799980	
25	351520	1054560	2112480
26	393660	1180980	2464000
27	439040	1317120	2857660
28	487780	1463340	3296700
29	540000	1620000	3784480
30	595820	1787460	4324480
31	655360	1966080	4920300
32	718740	2156220	5575660
33	786080	2358240	6294400
34	857500	2572500	7080480
35	933120	2799360	7937980
36	1013060	3039180	8871100
37	1097440	3292320	9884160
38	1186380	3559140	10981600
39	1280000	3840000	12167980
40	1378420	4135260	13447980
41	1481760	4445280	14826400
42	1590140	4770420	16308160
43	1703680	5111040	17898300
44	1822500	5467500	19601980
45	1946720	5840160	21424480
46	2076460	6229380	23371200
47	2211840	6635520	25447660
48	2352980	7058940	27659500
49	2500000	7500000	30012480
50	2653020	7959060	32512480
51	2812160	8436480	35165500
52	2977540	8932620	37977660
53	3149280	9447840	40955200
54	3327500	9982500	44104480
55	3512320	10536960	47431980
56	3703860	11111580	50944300
57	3902240	11706720	54648160
58	4107580	12322740	58550400
59	4320000	12960000	62657980
60	4539620	13618860	66977980
61	4766560	14299680	71517600
62	5000940	15002820	76284160
63	5242880	15728640	81285100
64	5492500	16477500	86527980
65	5749920	17249760	92020480
66	6015260	18045780	97770400
67	6288640	18865920	103785660
68	6570180	19710540	110074300
69	6860000	20580000	116644480
70	7158220	21474660	123504480
71	7464960	22394880	130662700
72	7780340	23341020	138127660
73	8104480	24313440	145908000
74	8437500	25312500	154012480
75	8779520	26338560	162449980
76	9130660	27391980	171229500
77	9491040	28473120	180360160
78	9860780	29582340	189851200
79	10240000	30720000	199711980
80	10628820	31886460	209951980
81	11027360	33082080	220580800
82	11435740	34307220	231608160
83	11854080	35562240	243043900
84	12282500	36847500	254897980
85	12721120	38163360	267180480
86	13170060	39510180	279901600
87	13629440	40888320	293071660
88	14099380	42298140	306701100
89	14580000	43740000	320800480
90	15071420	45214260	335380480
91	15573760	46721280	350451900
92	16087140	48261420	366025660
93	16611680	49835040	382112800
94	17147500	51442500	398724480
95	17694720	53084160	415871980
96	18253460	54760380	433566700
97	18823840	56471520	451820160
98	19405980	58217940	470644000
99	20000000	60000000	490049980
