ID	Effect	FightRatio	Remark1	Interface	Dec	Xianshi	upperlimit
ID	属性名称	战力系数	策划描述	界面显示	属性描述	显示	属性生效上限
int	string	int	string	string	string	int	int
前后端通讯	前端用				角色界面用	是否显示在详细属性列表中\n0：不显示\n1：显示	当角色属性超过设定的属性生效上限时，则超过的部分不起作用，以属性生效上限参与计算。-1：无属性生效上限限制。
3	3	3	0	1	1	1	4
1	MaxHP	1	最大生命	生命	受到伤害时将消耗生命值，生命值减为0时，角色死亡。	1	-1
2	MaxMP	1	最大法力	法力	施放技能时将消耗法力值，法力值减为0时，无法施放技能。	1	-1
3	AttackDamage	6	物理攻击	物理攻击	物理攻击会提高受到物理攻击加成的攻击所造成的伤害数额。	1	-1
4	AttackPower	6	法术攻击	法术攻击	法术攻击会提高受到法术攻击加成的攻击所造成的伤害数额。	1	-1
5	DefenseDamage	6	物理防御	物理防御	物理防御会在承受物理伤害时减免所受到的伤害数额。	1	20000
6	DefensePower	6	法术防御	法术防御	法术防御会在承受法术伤害时减免所受到的伤害数额。	1	20000
7	PenetrateDamage	12	物理穿透	物理穿透	物理穿透会在对目标施加物理伤害的同时，基于目标等级来按固定值无视目标的物理防御。	1	10000
8	PenetratePower	12	法术穿透	法术穿透	法术穿透会在对目标施加法术伤害的同时，基于目标等级来按固定值无视目标的法术防御。	1	10000
9	BloodDamage	3	物理吸血	物理吸血	物理吸血会在对目标施加物理伤害的同时，将一部分物理伤害转化成自身生命值。	1	10000
10	BloodPower	3	法术吸血	法术吸血	法术吸血会在对目标施加法术伤害的同时，将一部分法术伤害转化成自身生命值。	1	10000
11	Critical	3	暴击	暴击	暴击会在普通攻击和部分技能攻击时造成额外伤害的几率，伤害数值由暴击伤害决定。	1	10000
12	CriticalDamage	3	暴击伤害	暴击伤害	决定在普通攻击和部分技能攻击触发暴击时的伤害数值，基础暴击伤害为150%，百分比。	1	30000
13	CriticalRes	3	暴击抵抗	暴击抵抗	暴击抵抗会在受到普通攻击和部分技能攻击时降低受到额外伤害的几率和具体数值。	1	10000
14	HPRegen	8	生命回复	生命回复	每隔5秒自动回复的生命值，当30秒内未受到攻击时，则获得200%的生命回复，不超过最大生命值。	1	4000
15	MPRegen	8	法力回复	法力回复	每隔5秒自动回复的法力值。	1	4000
16	Ductility	2	韧性	韧性	韧性会在受到影响移动或施法的效果时，减少这些效果的持续时间，最多可拥有40%的持续时间减免。	1	10000
17	MoveSpeed	6	移动速度	移动速度	决定在世界地图和副本中的奔跑速度。	1	800
18	AttackSpeed	0	攻击速度	攻击速度	攻击速度会提高每秒的普攻次数。	1	-1
19	CoolingReduction	2	冷却缩减	冷却缩减	冷却缩减允许更为频繁地施放技能，最多可拥有40%的技能CD时间减免。	1	10000
20	AttackDistance	0	攻击距离	攻击距离	攻击距离标明了你的角色可以进行普攻的距离。	1	-1
21	DamageAdd	1	伤害加成	伤害加成	普通攻击和技能攻击造成额外伤害百分比	1	5000
22	DamageDf	1	伤害减免	伤害减免	受到的普通攻击和技能攻击伤害减免百分比	1	5000
23	MonsterDamageAdd	1	怪物伤害加成	怪物伤害加成	对怪物普通攻击和技能攻击造成额外伤害百分比	0	5000
24	MonsterDamageDf	1	怪物伤害减免	怪物伤害减免	受到的怪物普通攻击和技能攻击伤害减免百分比	0	5000
