ID	Dec	Award
ID索引	策划备注	奖励内容
int	string	int[]
ID索引	策划备注	物品ID，物品数量，物品ID，物品数量，，，
3	0	3
1	BOSS1第1名奖励	40001,10,40002,10,40003,10,40004,10,40005,10,40006,10
2	BOSS1第2名奖励	40001,9,40002,9,40003,9,40004,9,40005,9,40006,9
3	BOSS1第3名奖励	40001,8,40002,8,40003,8,40004,8,40005,8,40006,8
4	BOSS1第4名奖励	40001,7,40002,7,40003,7,40004,7,40005,7,40006,7
5	BOSS1第5名奖励	40001,6,40002,6,40003,6,40004,6,40005,6,40006,6
6	BOSS1第6名奖励	40001,5,40002,5,40003,5,40004,5,40005,5,40006,5
7	BOSS1第7名奖励	40001,4,40002,4,40003,4,40004,4,40005,4,40006,4
8	BOSS1第8名奖励	40001,3,40002,3,40003,3,40004,3,40005,3,40006,3
9	BOSS1第9名奖励	40001,2,40002,2,40003,2,40004,2,40005,2,40006,2
10	BOSS1第10名奖励	40001,1,40002,1,40003,1,40004,1,40005,1,40006,1
11	BOSS2第1名奖励	40001,10,40002,10,40003,10,40004,10,40005,10,40006,10
12	BOSS2第2名奖励	40001,9,40002,9,40003,9,40004,9,40005,9,40006,9
13	BOSS2第3名奖励	40001,8,40002,8,40003,8,40004,8,40005,8,40006,8
14	BOSS2第4名奖励	40001,7,40002,7,40003,7,40004,7,40005,7,40006,7
15	BOSS2第5名奖励	40001,6,40002,6,40003,6,40004,6,40005,6,40006,6
16	BOSS2第6名奖励	40001,5,40002,5,40003,5,40004,5,40005,5,40006,5
17	BOSS2第7名奖励	40001,4,40002,4,40003,4,40004,4,40005,4,40006,4
18	BOSS2第8名奖励	40001,3,40002,3,40003,3,40004,3,40005,3,40006,3
19	BOSS2第9名奖励	40001,2,40002,2,40003,2,40004,2,40005,2,40006,2
20	BOSS2第10名奖励	40001,1,40002,1,40003,1,40004,1,40005,1,40006,1
21	BOSS3第1名奖励	40001,10,40002,10,40003,10,40004,10,40005,10,40006,10
22	BOSS3第2名奖励	40001,9,40002,9,40003,9,40004,9,40005,9,40006,9
23	BOSS3第3名奖励	40001,8,40002,8,40003,8,40004,8,40005,8,40006,8
24	BOSS3第4名奖励	40001,7,40002,7,40003,7,40004,7,40005,7,40006,7
25	BOSS3第5名奖励	40001,6,40002,6,40003,6,40004,6,40005,6,40006,6
26	BOSS3第6名奖励	40001,5,40002,5,40003,5,40004,5,40005,5,40006,5
27	BOSS3第7名奖励	40001,4,40002,4,40003,4,40004,4,40005,4,40006,4
28	BOSS3第8名奖励	40001,3,40002,3,40003,3,40004,3,40005,3,40006,3
29	BOSS3第9名奖励	40001,2,40002,2,40003,2,40004,2,40005,2,40006,2
30	BOSS3第10名奖励	40001,1,40002,1,40003,1,40004,1,40005,1,40006,1
31	BOSS4第1名奖励	40001,10,40002,10,40003,10,40004,10,40005,10,40006,10
32	BOSS4第2名奖励	40001,9,40002,9,40003,9,40004,9,40005,9,40006,9
33	BOSS4第3名奖励	40001,8,40002,8,40003,8,40004,8,40005,8,40006,8
34	BOSS4第4名奖励	40001,7,40002,7,40003,7,40004,7,40005,7,40006,7
35	BOSS4第5名奖励	40001,6,40002,6,40003,6,40004,6,40005,6,40006,6
36	BOSS4第6名奖励	40001,5,40002,5,40003,5,40004,5,40005,5,40006,5
37	BOSS4第7名奖励	40001,4,40002,4,40003,4,40004,4,40005,4,40006,4
38	BOSS4第8名奖励	40001,3,40002,3,40003,3,40004,3,40005,3,40006,3
39	BOSS4第9名奖励	40001,2,40002,2,40003,2,40004,2,40005,2,40006,2
40	BOSS4第10名奖励	40001,1,40002,1,40003,1,40004,1,40005,1,40006,1
41	BOSS5第1名奖励	40001,10,40002,10,40003,10,40004,10,40005,10,40006,10
42	BOSS5第2名奖励	40001,9,40002,9,40003,9,40004,9,40005,9,40006,9
43	BOSS5第3名奖励	40001,8,40002,8,40003,8,40004,8,40005,8,40006,8
44	BOSS5第4名奖励	40001,7,40002,7,40003,7,40004,7,40005,7,40006,7
45	BOSS5第5名奖励	40001,6,40002,6,40003,6,40004,6,40005,6,40006,6
46	BOSS5第6名奖励	40001,5,40002,5,40003,5,40004,5,40005,5,40006,5
47	BOSS5第7名奖励	40001,4,40002,4,40003,4,40004,4,40005,4,40006,4
48	BOSS5第8名奖励	40001,3,40002,3,40003,3,40004,3,40005,3,40006,3
49	BOSS5第9名奖励	40001,2,40002,2,40003,2,40004,2,40005,2,40006,2
50	BOSS5第10名奖励	40001,1,40002,1,40003,1,40004,1,40005,1,40006,1
51	BOSS1击杀奖励	1000,1
52	BOSS2击杀奖励	1000,2
53	BOSS3击杀奖励	1000,3
54	BOSS4击杀奖励	1000,4
55	BOSS5击杀奖励	1000,5
56	BOSS1参与奖励	1001,1
57	BOSS2参与奖励	1001,2
58	BOSS3参与奖励	1001,3
59	BOSS4参与奖励	1001,4
