ID	Word	Type
索引	中文	过滤类型
int	string	int
序号ID	文字内容	1、角色昵称过滤\n2、聊天过滤\n3、昵称和聊天均需要过滤
3	3	3
1	葛莎雀吉	3
2	修行的女人	3
3	密勒日巴道歌	3
4	度母化声	3
5	被遗忘的雪域之歌	3
6	博彩	3
7	张高丽	3
8	張高麗	3
9	十八大	3
10	重庆810	3
11	民主兵工厂	3
12	国家统治者	3
13	政治模拟2	3
14	政治机器2008	3
15	革命	3
16	澳洲光明网	3
17	贝肉	3
18	博讯	3
19	博訊	3
20	不滅帝王	3
21	常勁	3
22	赤色騎士	3
23	赤色戰士	3
24	春夏自由論壇	3
25	崗哨士兵	3
26	古龍祭壇	3
27	廣聞	3
28	舊斗篷哨兵	3
29	闪电行动	3
30	龙之崛起	3
31	电子共和国	3
32	阿扁万岁	3
33	阿扁萬歲	3
34	安全局	3
35	八九	3
36	保密局	3
37	暴乱	3
38	暴亂	3
39	北大三角地論壇	3
40	北京當局	3
41	北京之春	3
42	北美自由論壇	3
43	参事室	3
44	持不同政見	3
45	赤匪	3
46	大東亞	3
47	大纪元	3
48	大紀元	3
49	大紀園	3
50	大家論壇	3
51	大史紀	3
52	大史記	3
53	大学骚乱	3
54	大中國論壇	3
55	大中華論壇	3
56	大衆真人真事	3
57	戴维教	3
58	戴維教	3
59	帝国	3
60	帝國	3
61	帝顺	3
62	东北独立	3
63	东升	3
64	東北獨立	3
65	東方紅時空	3
66	東方時空	3
67	東南西北論談	3
68	東社	3
69	東升	3
70	東西南北論壇	3
71	東院看守	3
72	動亂	3
73	獨裁	3
74	獨裁政治	3
75	獨夫	3
76	獨立臺灣會	3
77	独立台湾会	3
78	反封鎖	3
79	反封鎖技術	3
80	反腐敗論壇	3
81	反革命	3
82	反共乳波臀浪	3
83	反华	3
84	委员会	3
85	反人類	3
86	反社會	3
87	反政府	3
88	飛揚論壇	3
89	分裂祖国	3
90	粉飾太平	3
91	封殺	3
92	風雨神州	3
93	風雨神州論壇	3
94	斧头镰刀	3
95	港澳办	3
96	高校暴乱	3
97	高校群体事件	3
98	高校骚乱	3
99	高薪養廉	3
100	膏药旗	3
101	膏藥旗	3
102	搞栗棒	3
103	鴿派	3
104	工自聯	3
105	公安部	3
106	共产主义	3
107	共産	3
108	共産主義	3
109	共軍	3
110	共榮圈	3
111	官逼民反	3
112	官商勾结	3
113	国安局	3
114	国内动态清样	3
115	國家安全	3
116	國家機密	3
117	國軍	3
118	國賊	3
119	韓東方	3
120	韓聯潮	3
121	漢奸	3
122	河殤	3
123	黑社会	3
124	黑社會	3
125	黑手黨	3
126	国民党	3
127	紅色恐怖	3
128	紅炎猛獸	3
129	華通時事論壇	3
130	華夏文摘	3
131	華語世界論壇	3
132	華岳時事論壇	3
133	皇軍	3
134	回民暴动	3
135	回民暴動	3
136	鶏毛信文匯	3
137	建國黨	3
138	揭批書	3
139	届中央政治局委員	3
140	禁书	3
141	经济社会理事会	3
142	经社理事会	3
143	警匪一家	3
144	敬国神社	3
145	靖國神社	3
146	静坐	3
147	军长发威	3
148	军国主义	3
149	军妓	3
150	軍妓	3
151	看中國	3
152	恐怖份子	3
153	恐怖主义	3
154	恐怖主義	3
155	劳+教+所	3
156	勞動教養所	3
157	勞改	3
158	勞教	3
159	廉政大論壇	3
160	聯總	3
161	两个中国	3
162	兩岸關係	3
163	兩岸三地論壇	3
164	兩個中國	3
165	兩會	3
166	兩會報道	3
167	兩會新聞	3
168	六.四	3
169	六。四	3
170	六?四	3
171	六合彩	3
172	六-四	3
173	六四事件	3
174	六四真相	3
175	龙虎门	3
176	陸委會	3
177	卖.国	3
178	卖党求荣	3
179	卖国	3
180	卖国求荣	3
181	賣國	3
182	瞞報	3
183	美國參考	3
184	蒙獨	3
185	蒙古達子	3
186	蒙古獨	3
187	蒙古獨立	3
188	蒙古独立	3
189	民聯	3
190	民意論壇	3
191	民陣	3
192	民主墻	3
193	茉莉花革命	3
194	木子論壇	3
195	南大自由論壇	3
196	南联盟	3
197	你說我說論壇	3
198	苹果日报	3
199	枪决女犯	3
200	枪决现场	3
201	親美	3
202	親日	3
203	青天白日	3
204	輕舟快訊	3
205	全國兩會	3
206	热那亚	3
207	熱比婭	3
208	熱站政論網	3
209	人大	3
210	人大代表	3
211	人代会	3
212	人民內情真相	3
213	人民真實	3
214	人民之聲論壇	3
215	人權	3
216	日軍	3
217	塞白	3
218	三K黨	3
219	三个呆婊	3
220	三个代婊	3
221	三個代表	3
222	三民主义	3
223	山口組	3
224	上訪	3
225	上海幫	3
226	上海孤兒院	3
227	社會主義	3
228	十年动乱	3
229	時代論壇	3
230	時事論壇	3
231	世界經濟導報	3
232	世界维吾尔大会	3
233	事實獨立	3
234	數據中國	3
235	雙十節	3
236	四川獨	3
237	四川独立	3
238	四人帮	3
239	四人幫	3
240	台办	3
241	台独万岁	3
242	台湾党	3
243	台湾共和国	3
244	台湾狗	3
245	臺盟	3
246	臺灣帝國	3
247	臺灣獨	3
248	臺灣共産黨	3
249	臺灣狗	3
250	臺灣建國運動組織	3
251	臺灣民國	3
252	臺灣青年獨立聯盟	3
253	臺灣政論區	3
254	臺灣自由聯盟	3
255	天安門錄影帶	3
256	天安門屠殺	3
257	天安門一代	3
258	天皇陛下	3
259	天閹	3
260	統獨	3
261	統獨論壇	3
262	統戰	3
263	外交論壇	3
264	外交與方略	3
265	万税	3
266	萬維讀者論壇	3
267	西藏314事件	3
268	西藏獨	3
269	西藏天葬	3
270	希望之声	3
271	新觀察論壇	3
272	新華舉報	3
273	新華內情	3
274	新華通論壇	3
275	新疆獨	3
276	新生網	3
277	新闻管制	3
278	新聞出版總署	3
279	新聞封鎖	3
280	新義安	3
281	新語絲	3
282	學聯	3
283	學自聯	3
284	燕玲论坛	3
285	央視內部晚會	3
286	一党专制	3
287	一国两制	3
288	伊斯蘭亞格林尼斯	3
289	异見人士	3
290	异議人士	3
291	英雄纪念碑	3
292	尤比亞	3
293	由喜貴	3
294	游錫坤	3
295	舆论钳制	3
296	輿論	3
297	輿論反制	3
298	爭鳴論壇	3
299	正見網	3
300	正義黨論壇	3
301	政府	3
302	政權	3
303	指點江山論壇	3
304	中俄邊界	3
305	中国恐怖组织	3
306	中國復興論壇	3
307	中國共産黨	3
308	中國孤兒院	3
309	中國和平	3
310	中國論壇	3
311	中國社會進步黨	3
312	中國社會論壇	3
313	中國威脅論	3
314	中國問題論壇	3
315	中國移動通信	3
316	中國真實內容	3
317	中國猪	3
318	中华民国	3
319	中華大地	3
320	中華大衆	3
321	中華講清	3
322	中華人民實話實說	3
323	中華人民正邪	3
324	中華時事	3
325	中華養生益智功	3
326	中華真實報道	3
327	鐘山風雨論壇	3
328	专政	3
329	专制	3
330	專政	3
331	專制	3
332	子女任职名单	3
333	自已的故事	3
334	自由民主论坛	3
335	自由民主論壇	3
336	總理	3
337	军车进京	3
338	北京出事	3
339	军车	3
340	军队进京	3
341	新疆出事	3
342	新疆事件	3
343	新疆暴徒	3
344	暴徒	3
345	新疆凶徒	3
346	北京直升机	3
347	南苑机场	3
348	南苑机场直升机	3
349	北京直升机满天飞	3
350	北京装甲车	3
351	装甲车直升机	3
352	夜半枪声	3
353	帝都不太平	3
354	北京空中直升机	3
355	台湾总统	3
356	台湾自由联盟	3
357	保卫台湾	3
358	陈总统	3
359	台湾建国运动组织	3
360	台湾青年独立联盟	3
361	台湾政论区	3
362	國民黨	3
363	臺獨	3
364	中華民國	3
365	蒙独	3
366	分裂	3
367	拉萨	3
368	骚乱	3
369	民族解放运动	3
370	主席	3
371	总书记	3
372	总理	3
373	泽东	3
374	恩来	3
375	少奇	3
376	朱德	3
377	彭德怀	3
378	林彪	3
379	伯承	3
380	陈毅	3
381	贺龙	3
382	聂荣臻	3
383	徐向前	3
384	罗荣桓	3
385	叶剑英	3
386	李大钊	3
387	陈独秀	3
388	中山	3
389	孙文	3
390	孙逸仙	3
391	小平	3
392	陈云	3
393	泽民	3
394	李鹏	3
395	朱镕基	3
396	李瑞环	3
397	尉健行	3
398	岚清	3
399	锦涛	3
400	罗干	3
401	家宝	3
402	邦国	3
403	曾庆红	3
404	贾庆林	3
405	黄菊	3
406	吴官正	3
407	李长春	3
408	吴仪	3
