BaseID	Remark	Response	ActiveAttackRange	TargetType	Callpartner	Fight	ChaseRange	Reset	 Invincible	RecoverHp	ActMode	Follow	QuoteAI
索引	策划备注	AI响应时间系数	警戒范围	搜索目标类型	呼叫同伴范围	是否还击	追击范围	是否回到出生点	追击返回是否无敌	脱战回血	活动方式	跟随	引用AI
int	string	int	int	int	int	int	int	int	int	int	int	int	int
AI的ID	策划备注	单位：毫秒\n值越小怪反应越灵敏性能上越耗	0=被动怪物\n\n单位：米\n\n（范围为圆，值为半径）	0、没有目标\n1、敌方目标\n2、友方目标\n3、所有目标	怪物发现目标时，以怪物自身为中心的呼叫范围\n（单位：米）\n0、不呼叫\n1-9999呼叫范围	被攻击时是否会还击\n\n0、不还击\n1、还击	半径，单位米\n\n0、不追击\n1-9999、范围\n-1、追到天荒地老	和ChaseRange字段关联，当追击范围超出配置时，是否会回到出生点\n\n0、不回去\n1、回去\n-1、此字段无效	和Reset字段关联，当配置1回去时，回到怪物出生点过程中，怪物是否无敌\n\n0、不无敌\n1、无敌\n-1、此字段无效	脱离战斗时回血比例\n（追击返回是也算脱战）\n\n怪物血量上限的万分比\n\n不回复填0	0：无任何活动（原地不动的）\n1：范围随机活动\n2：指定路线巡逻\n3：单点巡逻（走到对应的坐标点后待机）	-1、不跟随任何人\n1、跟随施法者	填AIID\n没有填-1
3	0	2	2	3	3	2	2	3	3	3	3	3	0
10001	䳋渠-新手村	100	5	1	5	1	8	1	0	1000	1	-1	-1
10002	嚻-新手村	100	5	1	5	1	8	1	0	1000	1	-1	-1
10004	孟极-新手村	100	5	1	5	1	8	1	0	1000	1	-1	-1
10005	鸪鸟-新手村BOSS	0	10	1	5	1	10	1	0	1000	1	-1	-1
10090	低级被动效果（前期用）	0	6	1	5	1	8	1	0	0	1	-1	-1
10091	高级主动小怪（中后期用）	100	6	1	5	1	12	1	1	5000	2	-1	-1
10092	主城卫兵	0	10	1	0	1	0	-1	-1	1000	0	-1	-1
10093	主城巡逻卫兵	100	10	1	0	1	0	-1	-1	1000	2	-1	-1
10094	副本BOSS	200	10	2	10	1	20	1	1	1000	0	-1	-1
10095	原地不动的木桩（练功）	0	0	0	0	0	0	-1	-1	10000	0	-1	-1
10096	护盾	0	0	0	0	0	0	-1	-1	0	0	1	-1
10097	高级主动小怪（中后期用）	100	3	1	5	1	6	1	1	5000	2	-1	-1
10098	单点巡逻	0	3	1	5	1	6	1	0	0	3	-1	-1
10999	低级被动效果（前期用）	0	0	1	5	1	12	1	0	0	1	-1	-1
99995	远程主动怪（测试）	0	50	1	5	1	0	1	0	5000	1	-1	-1
99996	纯巡逻（测试）	0	0	0	0	0	0	1	0	0	2	-1	-1
99997	逃跑（测试）	0	5	1	0	1	8	1	0	0	1	-1	-1
30301	主动-普攻通用AI（303副本怪物AI）	0	100	1	0	1	120	1	0	0	1	-1	-1
30302	主动-普攻通用AI（303副本怪物AI）	0	100	1	0	1	120	1	0	0	1	-1	-1
30303	主动-普攻通用AI（303副本BOSS）	0	100	1	0	1	120	1	0	0	1	-1	-1
99998	主动-普攻通用AI（怪物只有普攻）	0	5	1	0	1	8	1	0	0	1	-1	-1
99999	被动-普攻通用AI（怪物只有普攻）	0	0	0	0	1	8	1	0	0	1	-1	-1
999999	召唤AI	0	5	1	0	1	7	1	0	0	1	-1	-1
999998	世界BOSS	0	5	1	0	1	7	1	1	10000	1	-1	0






















































































