ID	Sur
序号	姓
int	string
用于排列组合	每个角色的名\n角色的姓名组成=姓+名\n从姓表和名表共同随机一个序号的文字组合出的姓名
3	1
1	本
2	肯
3	李
4	宾
5	范
6	盖
7	雷
8	乔
9	修
10	罗杰
11	埃玛
12	艾文
13	艾西
14	安迪
15	巴克
16	巴伦
17	柏格
18	宝儿
19	保罗
20	鲍伯
21	贝克
22	贝齐
23	比尔
24	比利
25	伯顿
26	伯尼
27	伯特
28	布兹
29	戴纳
30	丹尼
31	迪恩
32	迪伦
33	迪姆
34	杜鲁
35	费恩
36	费滋
37	弗农
38	哈帝
39	哈伦
40	海勒
41	海曼
42	吉蒂
43	吉米
44	加文
45	迦勒
46	杰克
47	杰瑞
48	杰西
49	卡萝
50	卡玛
51	卡特
52	凯伦
53	凯文
54	科尔
55	昆廷
56	拉里
57	劳瑞
58	雷欧
59	里奇
60	列得
61	柳真
62	卢克
63	罗伊
64	洛克
65	洛兰
66	玛吉
67	麦克
68	梅森
69	尼克
70	欧文
71	乔丹
72	乔蒂
73	乔治
74	瑞利
75	泰勒
76	汤米
77	特里
78	托尼
79	威廉
80	韦恩
81	肖恩
82	亚撒
83	伊莱
84	伊桑
85	扎克
86	詹森
87	朱恩
88	埃达
89	埃迪
90	埃文
91	艾伦
92	巴里
93	拜伦
94	鲍比
95	彼得
96	波顿
97	波文
98	布德
99	采尼
100	查德
101	达伦
102	大卫
103	邓肯
104	狄克
105	杜克
106	菲比
107	费奇
108	弗恩
109	盖尔
110	高达
111	格纳
112	哈利
113	哈威
114	海顿
115	汉特
116	霍尔
117	霍根
118	基诺
119	吉恩
120	吉姆
121	加比
122	加尔
123	卡尔
124	凯尔
125	凯撒
126	凯斯
127	凯希
128	凯伊
129	科迪
130	科林
131	肯尼
132	寇里
133	赖安
134	兰迪
135	劳伦
136	雷奥
137	卢卡
138	罗宾
139	罗伦
140	罗文
141	马克
142	马文
143	马西
144	马修
145	穆得
146	尼尔
147	诺曼
148	强尼
149	萨米
150	萨姆
151	塞西
152	泰德
153	汤姆
154	潼恩
155	托德
156	西蒙
157	夏佐
158	晓恩
159	亚伯
160	亚伦
161	伊登
162	伊凡
163	约翰
164	阿诺
165	巴德
166	巴顿
167	巴罗
168	巴特
169	布朗
170	戴夫
171	德文
172	福特
173	戈登
174	格林
175	赫达
176	华纳
177	加里
178	杰伊
179	凯尔
180	凯里
181	凯理
182	兰斯
183	林赛
184	马丁
185	内森
186	诺亚
187	唐恩
188	提姆
189	威利
190	亚伯
191	亚当
192	亚恒
193	亚伦
194	亚瑟
195	伊甸
196	伊恩
197	雨果
198	本森
199	汉克
200	亨利
201	米奇
202	乔尼
203	沃伦
204	奥斯顿
205	格罗佛
206	杰弗里
207	克莱儿
208	埃德加
209	埃里克
210	艾德文
211	艾理斯
212	艾萨克
213	爱迪生
214	爱罗伊
215	爱曼纽
216	安东尼
217	奥斯卡
218	巴尔克
219	巴里特
220	巴泽尔
221	班奈特
222	布拉德
223	布莱兹
224	布兰登
225	布兰特
226	布鲁斯
227	布伦特
228	达尔文
229	达尔西
230	达尼尔
231	蒂莫西
232	菲利普
233	斐迪南
234	弗莉达
235	弗瑞德
236	葛列格
237	葛瑞丝
238	哈里森
239	哈瑞斯
240	吉榭尔
241	加百利
242	贾艾斯
243	贾斯特
244	贾斯汀
245	杰弗瑞
246	杰罗姆
247	杰瑞德
248	卡洛斯
249	卡梅伦
250	康奈尔
251	考尔比
252	柯利弗
253	科兹莫
254	克拉克
255	克莱得
256	克莱曼
257	克劳德
258	肯尼迪
259	肯尼斯
260	莱斯利
261	兰德尔
262	劳伦特
263	劳瑞恩
264	雷纳德
265	理查德
266	鲁宾逊
267	璐易丝
268	罗伯特
269	罗纳德
270	马尔斯
271	马科斯
272	马克斯
273	玛佩尔
274	迈克尔
275	乔纳森
276	史蒂夫
277	史蒂文
278	斯考特
279	斯帕克
280	所罗门
281	托马斯
282	西德尼
283	希尔顿
284	伊莱哲
285	约瑟芬
286	约瑟夫
287	阿道夫
288	阿尔杰
289	阿奇尔
290	艾伯特
291	艾布特
292	艾尔玛
293	艾富里
294	艾略特
295	艾塞亚
296	爱得拉
297	安得烈
298	安格斯
299	奥布里
300	奥劳拉
301	奥特曼
302	巴特莱
303	柏得温
304	柏宜斯
305	拜尔德
306	本杰明
307	毕维斯
308	伯里斯
309	博格斯
310	布莱迪
311	布莱克
312	布赖恩
313	布雷尔
314	布鲁克
315	布鲁诺
316	布尼尔
317	查尔斯
318	丹尼斯
319	丹普斯
320	德里克
321	菲蕾德
322	弗兰克
323	弗罗拉
324	富宾恩
325	哈乐德
326	韩弗理
327	汉米敦
328	霍伯特
329	霍华德
330	吉伯特
331	吉罗德
332	杰克逊
333	杰奎琳
334	卡尔文
335	康拉德
336	克莱凸
337	克雷尔
338	克里斯
339	劳伦斯
340	雷克斯
341	李莉斯
342	路易斯
343	伦道夫
344	马库斯
345	马歇尔
346	玛德琳
347	尼尔森
348	契布曼
349	塞缪尔
350	斯宾塞
351	唐纳德
352	特伦斯
353	维克多
354	西瑞尔
355	夏洛特
356	谢里尔
357	雅各布
358	雅尼克
359	亚摩斯
360	伊迪丝
361	伊夫力
362	伊诺克
363	以利亚
364	尤利安
365	约书亚
366	詹姆斯
367	阿尔瓦
368	阿诺德
369	艾比盖
370	艾德蒙
371	爱德华
372	爱尔顿
373	爱尔玛
374	安德鲁
375	安东莞
376	安其罗
377	奥利弗
378	奥斯汀
379	巴奈特
380	比其尔
381	毕夏普
382	丹尼尔
383	德维特
384	格吉尔
385	格林顿
386	哈里特
387	赫伯特
388	赫尔曼
389	赫瑟尔
390	杰拉尔
391	卡斯帕
392	考伯特
393	柯帝士
394	克洛怡
395	卢卡斯
396	斯派克
397	斯坦利
398	卫斯理
399	休伯特
400	亚岱尔
401	亚尔林
402	亚尔曼
403	亚力士
404	詹姆士
405	丹尼丝
406	文森特
