ID	beizhu	Name	Describe	Gain	ShareType	BuffTriggerType	OverlayWay	Number	Mutual	DelayTime	ContinueTime	IntervalTime	TriggerProbability	Delete	Order	Broadcast	Icon	effect	SpecialResultId	ResultId	ResultType
buff的ID	备注	名称	描述	是否增益	类型	类型	叠加方式	可叠加层数	互斥	延迟时间（毫秒）	持续时间（毫秒）	间隔时间（毫秒）	触发概率（万分率）	删除机制	显示顺序	是否显示BUFF图标	buff图标	buff特效	动作效果ID	属性参数	特殊效果类型
int	string	string	string	int	int	int	int	int[]	int[]	int	int[]	int	int[]	int[]	int	int	string	int	float[]	table	table
buff_ID	策划备注用	触发器名称	触发器具体内容描述	后续净化时可通过该字段控制（如清除身上所有负面效果）\n\n1、增益（如护盾、加血等）\n2、减益（如减速、持续掉血等）	1-BUFF叠加共享\n2-BUFF叠加只针对释放者	buff的具体类型，由策划自由配置\n\n如减益buff有很多种，可指定清除某种类型的BUFF，而不是全部	仅控制同类型的buff的叠加方式\n0、无任何覆盖\n1、时间先后覆盖（后覆盖先）\n2、buff等级覆盖（等级高覆盖低）\n3、同时存在，时间不变（叠加类buff，每一层都有对应自己的剩余时间）\n4、同时存在，时间刷新（叠加类buff，每一层都以最后叠加的那一层buff时间为剩余时间）\n5、效果不变，时间延长\n6、击飞或击退，多次叠时加，取较大的水平及垂直速度运行	这里主要针对OverlayWay字段中的第3、4条，\n其他类型时该字段无效，\n无效时填-1即可\n有效时填写叠加上限的层数\n（当达到叠加上限时，此时继续叠加，自动根据叠加的时间先后顶，最先添加的被顶掉）\n\n配置格式：\n基础层数，每级增量	和哪个类型的buff互斥，则直接填写该buff的类型。\n无则填-1\n\n如2倍经验丹、4倍经验丹\n\n（你填了个互斥ID，只代表你互斥他，不代表他互斥你，需要双方都填才代表双方互斥）	触发效果出现的延迟时间\n（毫秒）	效果总共持续的时间。\n配置-1表示永久触发\n配0表示一次性触发\n配置格式：\n基础时间，每级增量	触发后效果产生的间隔\n\n执行次数=持续时间/间隔\n若间隔为0，则持续时间内一直存在。	触发的概率（万分率）\n10000=100%\n\n配置格式：\n基础概率，每级增量	不删除时，配置-1\n配置方式：1,2,3,4,5,6,7\n\n1、死亡删除\n2、下线删除\n3、受伤害时删除\n4、使用技能时删除\n5、切换地图时删除\n6、停服删除\n7、移动删除	数值越小，显示越靠前\n\n数值一样时，根据ID显示，ID小的在前。	自己和别人是否能看到BUFF栏的BUFF图标\n\n0、不广播\n1、广播	图标	配置特效的资源名称\n\n不显示BUFF图标的时候，策划最好统一 不配置资源显示	对应Result表中的ID，状态效果\n（1---眩晕、是否可使用技能（0不，1是），是否可使用物品（0不，1是），是否能传送（0不，1是），是否能移动（0不，1是）\n2---击退或击飞、击退方向（1向前方击退、2向四周击退），水平初始位移（毫米），水平初始速度（毫米/S），水平加速度（毫米/S^2）,垂直初始位移（毫米），垂直初始速度（毫米/S），垂直加速度（毫米/S^2）,目标是否朝向自己）\n（11---无敌）\n（12---免控/霸体）\n（13---隐身）\n（14---吸附）\n	增加属性（1万分比，2固定值），属性类型，属性值，属性值增量	1.当前血量（效果类型，增加万分比，万分比增量，固定值，固定值增量）\n2.当前法力（同上）\n3.额外伤害加成-1物理/2法术/3真实/4所有伤害（效果类型，加成提取类型，加成效果类型，增加万分比，万分比增量，固定值，固定值增量）\n4.反伤-1物理/2法术/3真实/4所有伤害（效果类型，反伤触发类型，反伤效果类型，增加万分比，万分比增量，固定值，固定值增量）\n5.按技能伤害比例产生伤害-1物理/2法术/3真实/4所有伤害（效果类型，技能伤害提取类型，增加万分比，万分比增量）\n6.按技能结算属性比例加血（效果类型，增加万分比，万分比增量，固定值，固定值增量）\n13.免疫伤害，1物理/2法术/3真实/4所有伤害（效果类型，伤害类型）\n21.降低具体槽位的技能CD：（效果类型，槽位序号，增加万分比，万分比增量，固定值，固定值增量）\n22.驱散/净化/解控：（效果类型，驱散个数（-1，代表无限制），增益/减益/控制效果）\n23.万分比属性按一定比例转化成其他属性（效果类型，初始属性类型，初始万分比，万分比增量，转化的属性类型，转化率的万分比，转化率的万分比增量）\n24.每X点A属性提升Y点B属性（效果类型，初始属性类型，初始固定值，固定值增量，提升的属性类型，提升的固定值，提升的万分比增量）\n25.爆炸-一定延迟后一次性爆炸（效果类型，爆炸特效，爆炸碰撞）\n26.护盾-按技能结算属性比例额外加血-显示虚拟血条抵抗伤害（效果类型，增加万分比，万分比增量，固定值，固定值增量，该BUFF消失触发碰撞ID，特效）
4	0	1	1	4	1	1	4	4	4	4	4	4	4	4	1	1	4	4	4	4	4
1030	跳跃后的眩晕	眩晕	眩晕，无法进入任何操作	2	1	1030	3	1	-1	0	2000	0	10000	1,2,6	1	1	zhanshi_3	604	1,0,0,0,0	-1	-1
1051	攻击力	加攻击	受到别人攻击时给自己加攻击	1	1	1051	2	-1	-1	0	5000	0	10000	1,2,6	1	1	zhanshi_3	8	-1	{1,2,3,5000}	-1
1054	防御	防御	受到别人攻击时给自己加防御	1	1	1054	6	-1	-1	0	5000	0	10000	1,2,6	1	1	zhanshi_3	8	-1	{1,2,5,5000}	-1
2010	引雷咒减速	减速	受到雷霆震慑，魂魄丢失，减速50%	2	1	2020	6	1	-1	100	1500	0	10000	1,2,6	1	1	fashi_2	-1	-1	{1,2,5,5000}	-1
2020	引雷咒减速	减速	受到雷霆震慑，魂魄丢失，减速50%	2	1	2020	6	1	-1	100	1500	0	10000	1,2,6	1	1	fashi_2	-1	-1	{1,2,5,5000}	-1
2030	雷明盾的护盾	护盾	护盾，可吸收X点伤害	1	1	2030	2	1	-1	0	5000	0	10000	1,2,6	2	1	hd	8	-1	-1	{26,1000,100,0,0,2110,2}
2040	末日雷劫的减速	减速	受到雷神震慑，减速40%	2	1	2020	2	1	-1	100	1500	0	10000	1,2,6	3	1	fashi_4	-1	-1	{1,17,-4000}	-1
2042	伤害增加	叠加伤害增加		2	1	2042	3	1	-1	0	0	0	10000	1,2,6	0	1	shzj	-1	-1	{2,1,500}	-1
2110	冰圈减速	减速	寒冰，减速50%	2	1	2060	2	1	-1	100	2000	0	10000	1,2,6	1	1	fashi_2	607	-1	{1,17,-5000}	-1
2210	灼烧	灼烧	持续掉血	2	1	2070	2	1	-1	0	10000	500	10000	1,2,6	1	1	fashi_2	-1	-1	-1	{1,0,0,-1000,-100}
2120	冰冻	冰冻	冰冻	2	1	2080	2	1	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	-1	1,0,0,0,0	-1	-1
2101	免伤	免伤	群体净化和免伤	1	1	2101	2	1	-1	0	7000	0	10000	1,2,6	1	1	fashi_2	-1	-1	{2,22,15}	-1
2111	移速暴击	移动暴击	暴击	1	1	2111	1	1	-1	0	5000	0	10000	1,2,6	1	1	fashi_2	-1	-1	{2,11,20,1},{1,17,6000,1}	-1
2330	间隔加血	加血	加血	1	1	2120	2	1	-1	0	5000	1000	10000	1,2,6	1	1	fashi_2	18	-1	-1	{1,1000,100,0,0}
2131	群伤控制	禁魔	禁魔1.5秒	2	1	2131	1	1	-1	0	1500	1	10000	1,2,6	1	1	fashi_2	-1	1,0,0,0,1	{2,17,-3500}	-1
3030	枪手位移强化	加速（后续改）	加速暴击	1	1	3030	1	1	-1	0	8000	0	10000	1,2,6	1	1	fashi_2	228	-1	{2,11,20,1},{1,17,60,1}	-1
10002	触发减速	减速	减速，持续10秒	2	1	10001	2	1	-1	0	10000	0	10000	1,2,6	6	1	jiansu	8	-1	-1	-1
20000	测试减速	减速	减速50%	1	1	20000	2	1	-1	0	200000	0	10000	1,2,6	1	1	fashi_2	606	-1	{1,17,-5000}	-1
20001	测试减速	减速	减速500	1	1	20001	2	1	-1	0	5000	0	10000	1,2,6	1	1	fashi_2	607	-1	{2,17,-500}	-1
20002	测试眩晕	眩晕	眩晕，无法进入任何操作	2	1	20002	2	1	-1	0	5000	0	10000	1,2,6	1	1	zhanshi_3	604	1,0,1,1,1	-1	-1
20003	测试眩晕	眩晕	眩晕，无法进入任何操作	2	1	20003	2	1	-1	0	5000	0	10000	1,2,6	1	1	zhanshi_3	604	1,1,0,1,1	-1	-1
20004	测试眩晕	眩晕	眩晕，无法进入任何操作	2	1	20004	2	1	-1	0	5000	0	10000	1,2,6	1	1	zhanshi_3	605	1,1,1,0,1	-1	-1
20005	测试眩晕	眩晕	眩晕，无法进入任何操作	2	1	20005	2	1	-1	0	5000	0	10000	1,2,6	1	1	zhanshi_3	604	1,1,1,1,0	-1	-1
20006	测试眩晕	眩晕	眩晕，无法进入任何操作	2	1	20006	2	1	-1	0	5000	0	10000	1,2,6	1	1	zhanshi_3	605	1,1,1,1,1	-1	-1
20007	测试眩晕	眩晕	眩晕，无法进入任何操作	2	1	20007	2	1	-1	0	5000	0	10000	1,2,6	1	1	zhanshi_3	604	-1	{2,3,-5000}	-1
200071	测试眩晕	眩晕	眩晕，无法进入任何操作	2	1	200071	2	1	-1	0	5000	0	10000	1,2,6	1	1	zhanshi_3	605	-1	{2,3,5000}	-1
30000	测试	击退前方9-2	受到雷霆震慑，魂魄丢失，减速50%	2	1	1030	6	10	-1	0	1500	0	10000	1,2,6	1	1	fashi_2	604	2,1,1,8,4,0,0,10,1	-1	-1
