ID	Name	Condition	Attr
套装等级	套装名称	条件	属性
int	string	int[]	int[]
套装等级ID索引	名称	卡片品质，卡片等级，卡片数量\n高级品质兼容低级品质\n高级星级兼容低级星级	属性类型，属性值，属性类型，属性值，属性类型，属性值
3	1	3	3
1	绿色品质0级以上异兽3个	2,0,3	21,20
2	绿色品质1级以上异兽3个	2,1,3	21,40
3	绿色品质2级以上异兽3个	2,2,3	21,60
4	绿色品质3级以上异兽3个	2,3,3	21,80
5	绿色品质4级以上异兽3个	2,4,3	21,100
6	绿色品质5级以上异兽3个	2,5,3	21,120
7	绿色品质6级以上异兽3个	2,6,3	21,140
8	蓝色品质0级以上异兽3个	3,0,3	21,160
9	蓝色品质1级以上异兽3个	3,1,3	21,180
10	蓝色品质2级以上异兽3个	3,2,3	21,200
11	蓝色品质3级以上异兽3个	3,3,3	21,220
12	蓝色品质4级以上异兽3个	3,4,3	21,240
13	蓝色品质5级以上异兽3个	3,5,3	21,260
14	蓝色品质6级以上异兽3个	3,6,3	21,280
15	紫色品质0级以上异兽3个	4,0,3	21,300
16	紫色品质1级以上异兽3个	4,1,3	21,320
17	紫色品质2级以上异兽3个	4,2,3	21,340
18	紫色品质3级以上异兽3个	4,3,3	21,360
19	紫色品质4级以上异兽3个	4,4,3	21,380
20	紫色品质5级以上异兽3个	4,5,3	21,400
21	紫色品质6级以上异兽3个	4,6,3	21,420
22	橙色色品质0级以上异兽3个	5,0,3	21,440
23	橙色色品质1级以上异兽3个	5,1,3	21,460
24	橙色色品质2级以上异兽3个	5,2,3	21,480
25	橙色色品质3级以上异兽3个	5,3,3	21,500
26	橙色色品质4级以上异兽3个	5,4,3	21,520
27	橙色色品质5级以上异兽3个	5,5,3	21,540
