ID	Name	ShortDescribe	SkillShortDes	Similar	CardLevel	CardQuality	CardBasic	BasicInc	CardSkill	SkillInc	SkillOpen	SkillDes	CardSkillTwo	SkillIncTwo	SkillTwoOpen	SkillTwoDes	ExcDebris	Total	Number	NextID	HeadIcon	BodyIcon
ID	名称	卡片描述	技能1描述	同类	卡片星级	品质	基础属性	基础属性增量	助战技能1	助战技能1增量	技能1开启星级	技能1描述	助战技能2	助战技能2增量	技能2开启星级	技能2描述	专属碎片	升级总数	升级条件	升级卡片	头像icon	半身图
int	string	string	string	int[]	int	int	int[]	int[]	int[]	int[]	int	string	int[]	int[]	int	string	int[]	int[]	int[]	int	string	string
卡片ID索引\n每张卡片预留20个ID	异兽的名称	卡片描述	技能1,2简略描述，用换行符隔开	属于同类型的ID	0,1,2,3,4,5,6星的卡	卡片品质\n1.白\n2.绿\n3.蓝\n4.紫\n5.橙	属性类型，(1固定值,2万分比），具体数值，属性类型，(1固定值,2万分比），具体数值	增量数值\n0：Max\n没有填-1	技能ID\n属性类型，(1固定值,2万分比），具体数值，属性类型，(1固定值,2万分比），具体数值\n没有填-1\n	增量数值\n0：Max\n没有填-1	开启技能1需要的星级\n没有填-1	技能1详细描述	技能ID\n属性类型，(1固定值,2万分比），具体数值，属性类型，(1固定值,2万分比），具体数值\n没有填-1\n	增量数值\n0：Max\n没有填-1	开启技能1需要的星级\n没有填-1	技能2详细描述	碎片ID，碎片数目	当前等级升到满级需要碎片数目	升到下一级需要碎片数目	下一级卡片的ID	头像icon	图鉴界面的展示图
3	3	1	1	2	3	3	3	1	3	1	3	1	3	1	3	1	3	2	3	3	1	1
1	Doge	加生命法力的神烦狗	暴击：增加暴击\n护盾：被攻击时增加护盾	2,3,4,5,6,7	0	2	1,1,500,2,1,500	500,500	-1	-1	-1	无	-1	-1	-1	防御：被攻击时防御力 +5%	90005,20	90005,210	90005,10	2	zhanshi_2	yishou-lasi
2	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	1	2	1,1,1000,2,1,1000	500,500	-1	-1	-1	无	-1	-1	-1	无	-1	90005,200	90005,20	3	zhanshi_2	yishou-lasi
3	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	2	2	1,1,1500,2,1,1500	500,500	-1	-1	-1	无	-1	-1	-1	无	-1	90005,180	90005,30	4	zhanshi_2	yishou-lasi
4	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	3	2	1,1,2000,2,1,2000	500,500	-1	-1	-1	无	-1	-1	-1	无	-1	90005,150	90005,40	5	zhanshi_2	yishou-lasi
5	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	4	2	1,1,2500,2,1,2500	500,500	-1	-1	-1	无	-1	-1	-1	无	-1	90005,110	90005,50	6	zhanshi_2	yishou-lasi
6	Doge	加生命法力的神烦狗	暴击：增加暴击	-1	5	2	1,1,3000,2,1,3000	500,500	-1	-1	-1	无	-1	-1	-1	无	-1	90005,60	90005,60	7	zhanshi_2	yishou-lasi
