ID	beizhu	Delay	DamgeTime	Degree	Interval	SearchTarget	Scope	SearchMode	count	HitEffect	HitSound	SelfBuffId	FriendBuffId	EnemyBuffId	SelfHurtID	FriendHurtID	EnemyHurtID	beizhu1
碰撞ID	备注	起效时间	单次伤害\n持续时间	攻击次数	攻击间隔	搜索目标	范围	搜索方式	目标数量	受击特效	命中音效	自己BUFF	友方BUFF	敌方BUFF	自己伤害	友方伤害	敌方伤害	备注
int	string	int	int	int	int	int[]	float[]	int	int	int	string	int[]	int[]	int[]	int	int	int	string
碰撞ID	策划备注用	单位=毫秒\n从技能前摇开始计算（技能释放成功那一刻）\n这个时间过后检测第一次伤害	单位=毫秒\n相对伤害基准点的持续时间（区间内只产生1次伤害）\n持续时间<间隔时间	可攻击几次\n\n填-1，代表无次数限制	单位：毫秒\n\n（距离上一次受到伤害的时间）	1、自己\n2、友方\n3、敌方\n（对应后面加BUFF）	0、这个字段无效的时候配置\n2、扇形，参数1角度，参数2半径米，高\n3、矩形，参数1长度，参数2宽度，高\n	1、范围随机\n2、最近目标\n\n不需要该字段数据时配-1	可攻击的目标数量	角色、怪物被打到时的受击特效	击中且命中的音效	对应\nBuffTable\n表中的ID\n可关联多个	对应\nBuffTable\n表中的ID\n可关联多个	对应\nBuffTable\n表中的ID\n可关联多个	对应\nSkillLevelUpTable\n表中的ID	对应\nSkillLevelUpTable\n表中的ID	对应\nSkillLevelUpTable\n表中的ID	策划备注用
3	0	3	1	3	3	3	3	3	3	1	1	3	3	3	3	3	3	0
1000	战士普攻1	260	50	1	0	3	2,90,2.3,5	1	4	110	0	-1	-1	-1	-1	-1	1000	
1001	战士普攻2	160	50	1	0	3	2,90,2.3,5	1	4	110	0	-1	-1	-1	-1	-1	1001	
1002	战士普攻3	726	99	1	0	3	3,3,2.2,12	1	4	110	0	-1	-1	-1	-1	-1	1002	
1010	横扫千军	396	66	1	0	3	2,180,4,5	2	6	110	0	-1	-1	30005	-1	-1	1010	击退前方9-1.7
1020	战意冲击	528	99	1	0	1,3	2,360,3.5,5	2	6	110	0	40005,40012	-1	31005	-1	-1	1020	击飞2击退四周9-1.7
1030	跳跃斩	370	80	2	485	3	2,360,3,5	2	6	110	0	-1	-1	1030,31002	-1	-1	1030	
1040	无影剑气	264	33	6	200	1,3	2,120,7,5	2	6	110	0	-1	-1	40001	-1	-1	1040	击飞0.3
1050	被动技能	0	0	1	0	1	0	-1	1	0	0	-1	-1	-1	1050	-1	-1	
1051	被动技能	0	0	1	0	1	0	-1	1	0	0	-1	-1	-1	1051	-1	-1	
2000	法师普攻1	0	2000	1	0	3	3,1,1,1	2	1	3	0	-1	-1	-1	-1	-1	2000	
2001	法师普攻2	0	1000	4	1000	3	3,2,2,2	2	1	3	0	-1	-1	-1	-1	-1	2001	
2002	法师普攻2	0	1000	4	1000	3	2,360,3,5	2	1	3	0	-1	-1	-1	-1	-1	2001	
2010	天雷闪	396	66	1	0	3	3,5,3,12	2	6	6	0	-1	-1	2010,40011	-1	-1	2010	
2020	引雷咒	700	66	1	0	3	2,360,3.5,5	2	6	3	0	-1	-1	2020,40005	-1	-1	2020	
2030	雷鸣盾	400	0	1	0	1	0	-1	1	0	0	41005	-1	-1	2030	-1	-1	隐身
2031	爆炸	100	0	1	0	3	2,360,3,5	1	6	3	0	-1	-1	31002	-1	-1	2031	
2040	末日雷劫	400	0	4	1000	1,3	2,360,4,5	1	6	7000	0	40010	-1	2040	-1	-1	2040	减速
2110	冰圈	300	0	1	0	3	2,360,3,5	2	6	16	0	-1	-1	2110	-1	-1	2110	减速
2120	冰冻	300	0	1	0	3	2,360,3,5	2	6	0	0	-1	-1	2120	-1	-1	2120	冰冻
2140	持续群伤减速	100	0	4	100	3	2,360,3,5	1	6	0	0	-1	-1	2040	-1	-1	2140	减速
2210	单体引爆1	200	0	1	0	3	2,360,4,5	1	6	3	0	-1	-1	2210	-1	-1	2210	灼烧
