ID	Name	Job	Sex	LevelDown	LevelUp	TaskID	Probability	DropID	NumberMin	NumMax	NumLimit
掉落组ID	掉落名称	职业	性别	等级下限	等级上限	任务ID	掉落概率	掉落ID	次数最小值	次数最大值	次数上限
int	string	int	int	int	int	int	int	int[]	int	int	int
	策划备注用	配置了职业后，只有这个职业才会抽取除该掉落ID\n0.不限定职业（即每个职业都可以抽取该掉落ID）1.战士（只有战士职业才可以抽取该掉落ID）\n2.法师\n3.射手\n4.刺客\n	配置了性别后，只有这个性别才有抽取该掉落ID\n0.不限性别\n1.男\n2.女	大于等于该等级，角色等级在等级上下限范围内才会抽取该掉落ID	小于等于该等级，角色等级在等级上下限范围内才会抽取该掉落ID	角色身上有该任务，且该任务未满足完成条件时才会抽取该掉落ID	10000=100%\n抽取到该掉落ID的概率，掉落组下各掉落ID独立判断	掉落ID，到DropTable表中抽取具体的物品	掉落组抽取到该掉落ID后，抽取该掉落ID的次数，次数在最小值和最大值之间随机	掉落组抽取到该掉落ID后，抽取该掉落ID的次数，次数在最小值和最大值之间随机	单次击杀该掉落ID抽取的次数上限（包含组队时的其他队友的掉落），达到上限后，则不再抽取该掉落ID，用于控制极品道具的掉落，-1表示无限制
2	0	2	2	2	2	2	2	2	2	2	2
310001	10级小怪掉落组	0	0	1	100	0	10000	320001	1	1	-1
310002	10级小怪掉落组	0	0	1	100	0	10000	320002	1	1	-1
310003	10级小怪掉落组	0	0	1	100	0	10000	320005	1	1	-1
310004	10级小怪掉落组	0	0	1	100	0	10000	320006	1	1	-1
310005	10级小怪掉落组	0	0	1	100	0	10000	320007	1	1	-1
310006	10级小怪掉落组	0	0	1	100	0	10000	320008	1	1	-1
310007	10级小怪掉落组	0	0	1	100	0	10000	320009	1	1	-1
310008	10级小怪掉落组	0	0	1	100	0	10000	320010	1	1	-1
310009	10级小怪掉落组	0	0	1	100	0	10000	320011	1	1	-1
310010	10级小怪掉落组	0	0	1	100	0	10000	320012	1	1	-1
310011	10级小怪掉落组	0	0	1	100	0	10000	320013	1	1	-1
