ID	Remark	StepDesc	TriggerType	TriggerParam	EventType	Delay	Effect	Repeat	Interval	AddEvent	Dialog
主键	备注	阶段描述	触发类型	触发参数	事件类型	延迟时间(毫秒)	事件相关参数	重复次数	事件重复时间间隔（毫秒）	结束之后添加事件	飘字
int	string	string	int	int[]	int	int	int[]	int	int	int[]	string
主键	副本备注	阶段目标的描述	1：时间到达（毫秒）\n2：进入区域\n3：杀死多波怪\n4：杀死具体怪物\n5：波数怪物剩余数量\n7：怪物血量百分比\n8：人物血量百分比\n9：副本内玩家全部死亡	更具触发类型填对应的参数\n如：类型为1“时间到达”，则填具体的时间	1：生成空气墙\n2：删除空气墙\n3：增加波怪\n4：移除波怪\n5：给指定怪物加状态\n6：给指定怪物去状态\n7：踢出副本\n8：完成副本\n9：刷出机关\n10：移除机关\n11：播放电影\n12：播放电影并触发事件\n13：增加塔防怪物\n14：给地图玩家加状态\n15：给地图玩家去状态	事件的延迟时间	触发事件的具体参数	事件重复次数	事件重复每次间隔时间\n（毫秒）	事件触发之后添加的事件\n无填0	事件执行后屏幕显示文字\n直接配置文本即可
3	0	1	3	3	3	3	3	3	3	3	1
30100	——黛眉寨	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
30101	时间-刷怪	五秒后将出现第一波怪	1	5000	3	0	1	0	0	30102,30103	0
30102	区域-空气墙	-1	2	30101	1	0	30101	0	0	0	0
30103	击杀-删除空气墙	-1	3	1	2	0	30101	0	0	30104,30105	0
30104	区域-刷怪	-1	2	30102	3	0	2	0	0	30106	0
30105	区域-空气墙	-1	2	30102	1	0	30101,30102	0	0	0	0
30106	击杀-删除空气墙	-1	3	2	2	0	30101,30102	0	0	30107,30108	0
30107	区域-刷怪	-1	2	30103	3	0	3	0	0	30109	0
30108	区域-空气墙	-1	2	30103	1	0	30102	0	0	0	0
30109	击杀-完结	-1	3	3	8	0	0	0	0	0	0
30200	——多人测试本	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
30201	区域-刷怪	-1	2	30201	3	0	1	0	0	30202	0
30202	击杀-刷怪	-1	3	1	3	0	2	0	0	30203	0
30203	击杀-刷怪	-1	3	2	3	0	3	0	0	30204	0
30204	击杀-完结	-1	3	3	8	0	0	0	0	0	0
30300	——任务镜像本	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
30301	时间-刷怪	三秒后将出现第一波怪	1	3000	3	0	1	0	0	30302	0
30302	死亡-刷怪	-1	3	1	3	0	2	0	0	30303	0
30303	死亡-刷怪	-1	3	2	3	0	3	0	0	30304	0
30304	击杀-完结	-1	3	3	8	0	0	0	0	0	0
40100	——生存副本	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
40101	区域-刷怪	-1	1	3000	3	0	1	10	10000	40103	10秒后将刷出下一波怪
40102	失败-完结	-1	9	0	7	0	0	0	0	0	0
