ID	MinLevel	MaxLevel	Silver	Item	MinAttr	MaxAttr
索引	最小等级	最大等级	银币消耗	物品消耗	属性浮动最小值	属性浮动最大值
int	int	int	int	int[]	int	int
洗炼ID索引	最小等级	最大等级	银币消耗（单次洗炼）	单次洗炼时消耗的物品\n\n配置格式：物品ID，物品数量，物品ID，物品数量	属性浮动最小值（万分比）\n\n最小值=装备上当前属性值*配置的比例	属性浮动最大值（万分比）\n\n最大值=装备上当前属性值*配置的比例
3	3	3	3	3	3	3
1	40	49	1000	40001,1,40002,1	9000	13000
2	50	59	2000	40001,1,40002,1	8500	14000
3	60	69	3000	40001,1,40002,1	8000	15000
4	70	79	4000	40001,1,40002,1	7500	16000
5	80	89	5000	40001,1,40002,1	7000	17000
6	90	99	6000	40001,1,40002,1	6500	18000
