ID	Job	Level	Patr	Icon	Des	Consume	LowForge	LowEquip	LoudhighForge	LoudhighEquip	Wish	Once
索引	职业大类	等级小类	打造部位	界面显示icon	打造装备描述	打造银币消耗	普通打造材料	普通打造产出	强化打造附加材料	强化打造产出	祝福值上限	单次打造获得祝福值
int	int	int	int	string	string	int	int[]	int[]	int[]	int[]	int	int
打造ID索引	1、狂战\n2、御灵\n3、神枪\n4、暗影	同职业、同等级的在一个页面里	1、头盔\n2、武器\n3、衣服\n4、项链\n5、腰带\n6、手镯\n7、鞋子\n8、戒指	配置装备icon资源ID	文字显示	打造需要消耗的银币\n货币ID：4	普通打造消耗的材料（必选材料）\n\n物品ID，物品数量，物品ID，物品数量	普通打造装备产出概率\n\n装备ID，权重，装备ID，权重	强化打造需要附加的材料（可选）\n强化打造材料=普通+强化打造附加\n\n物品ID，物品数量	强化打造装备产出概率\n\n装备ID，权重，装备ID，权重，装备ID，权重	该等级段打造祝福值上限\n\n（达到上限后打造装备读取祝福值满时打造产出的概率）	祝福值
3	3	3	3	1	1	3	3	3	3	2	3	3
1	1	30	1	30maozi	30级头盔	5000	40007,10,40101,1,40201,1	1210114,9000,1210115,1000	40011,1	1210114,7000,1210115,3000	200	100
2	1	30	2	30wuqi	30级武器	5000	40007,10,40102,1,40202,1	1220114,9000,1220115,1000	40011,1	1220114,7000,1220115,3000	200	100
3	1	30	3	30yifu	30级衣服	5000	40007,10,40103,1,40203,1	1230114,9000,1230115,1000	40011,1	1230114,7000,1230115,3000	200	100
4	1	30	4	30xianglian	30级项链	5000	40007,10,40104,1,40204,1	1240114,9000,1240115,1000	40011,1	1240114,7000,1240115,3000	200	100
5	1	30	5	30yaodai	30级腰带	5000	40007,10,40105,1,40205,1	1250114,9000,1250115,1000	40011,1	1250114,7000,1250115,3000	200	100
6	1	30	6	30shouzhuo	30级手镯	5000	40007,10,40106,1,40206,1	1260114,9000,1260115,1000	40011,1	1260114,7000,1260115,3000	200	100
7	1	30	7	30xiezi	30级鞋子	5000	40007,10,40107,1,40207,1	1270114,9000,1270115,1000	40011,1	1270114,7000,1270115,3000	200	100
