ID	MinLevel	MaxLevel	Silver	Item	MinAttr	MaxAttr	Lock	ExpertSilver	ExpertItem	ExpertMinAttr	ExpertMaxAttr	ExpertLock
索引	最小等级	最大等级	普通重铸银币消耗	普通重铸物品消耗	普通重铸属性浮动最小值	普通重铸属性浮动最大值	可加锁属性条数	高级重铸银币消耗	高级重铸物品消耗	高级重铸属性浮动最小值	高级重铸属性浮动最大值	高级重铸可加锁属性条数
int	int	int	int	int[]	int	int	int	int	int[]	int	int	int
重铸ID索引	最小等级	最大等级	银币消耗（单次重铸）	单次洗炼时消耗的物品\n\n配置格式：物品ID，物品数量，物品ID，物品数量	属性浮动最小值（万分比）\n\n最小值=装备上当前属性值*配置的比例\n重铸加锁时才生效	属性浮动最大值（万分比）\n\n最大值=装备上当前属性值*配置的比例\n重铸加锁时才生效	普通重铸时，对应等级段可加锁的最大条目数	银币消耗（单次重铸）	单次洗炼时消耗的物品\n\n配置格式：物品ID，物品数量，物品ID，物品数量	属性浮动最小值（万分比）\n\n最小值=装备上当前属性值*配置的比例\n重铸加锁时才生效	属性浮动最大值（万分比）\n\n最大值=装备上当前属性值*配置的比例\n重铸加锁时才生效	高级重铸时，对应等级段可加锁的最大条目数
3	3	3	3	3	3	3	3	3	3	3	3	3
1	40	49	1000	40001,1,40002,1	8000	13000	3	5000	40001,5,40002,5	7000	15000	3
2	50	59	2000	40001,1,40002,1	8000	13000	3	10000	40001,5,40002,5	7000	15000	3
3	60	69	3000	40001,1,40002,1	8000	13000	3	15000	40001,5,40002,5	7000	15000	3
4	70	79	4000	40001,1,40002,1	8000	13000	3	20000	40001,5,40002,5	7000	15000	3
5	80	89	5000	40001,1,40002,1	8000	13000	3	25000	40001,5,40002,5	7000	15000	3
6	90	99	6000	40001,1,40002,1	8000	13000	3	30000	40001,5,40002,5	7000	15000	3
