ID	SuitName	Part	Count	SuitAttr	Count1	SuitAttr1
套装ID	套装名称	套装需要部位	穿戴件数	件数套装属性	穿戴件数1	件数套装属性1
int	string	int[]	int	int[]	int	int[]
套装ID索引	套装属性的名称	这个套装是由哪些部位的装备组成的	穿戴达到的件数	对应前面穿戴达到的件数，达到后就可以获得这个属性\n\n属性类型，属性值，属性类型，属性值	穿戴达到的件数	对应前面穿戴达到的件数1，达到后就可以获得这个属性\n\n属性类型，属性值，属性类型，属性值
3	1	3	3	3	3	3
1	40级紫色战士防御套装	1,3,5,7	2	24,400	4	22,400
2	40级紫色战士攻击套装	2,4,6,8	2	23,400	4	21,400
3	40级紫色法师防御套装	1,3,5,7	2	24,400	4	22,400
4	40级紫色法师攻击套装	2,4,6,8	2	23,400	4	21,400
5	40级紫色射手防御套装	1,3,5,7	2	24,400	4	22,400
6	40级紫色射手攻击套装	2,4,6,8	2	23,400	4	21,400
7	40级紫色刺客防御套装	1,3,5,7	2	24,400	4	22,400
8	40级紫色刺客攻击套装	2,4,6,8	2	23,400	4	21,400
9	40级橙色战士防御套装	1,3,5,7	2	24,800	4	22,800
10	40级橙色战士攻击套装	2,4,6,8	2	23,800	4	21,800
11	40级橙色法师防御套装	1,3,5,7	2	24,800	4	22,800
12	40级橙色法师攻击套装	2,4,6,8	2	23,800	4	21,800
13	40级橙色射手防御套装	1,3,5,7	2	24,800	4	22,800
14	40级橙色射手攻击套装	2,4,6,8	2	23,800	4	21,800
15	40级橙色刺客防御套装	1,3,5,7	2	24,800	4	22,800
16	40级橙色刺客攻击套装	2,4,6,8	2	23,800	4	21,800
17	50级紫色战士防御套装	1,3,5,7	2	24,500	4	22,500
18	50级紫色战士攻击套装	2,4,6,8	2	23,500	4	21,500
19	50级紫色法师防御套装	1,3,5,7	2	24,500	4	22,500
20	50级紫色法师攻击套装	2,4,6,8	2	23,500	4	21,500
21	50级紫色射手防御套装	1,3,5,7	2	24,500	4	22,500
22	50级紫色射手攻击套装	2,4,6,8	2	23,500	4	21,500
23	50级紫色刺客防御套装	1,3,5,7	2	24,500	4	22,500
24	50级紫色刺客攻击套装	2,4,6,8	2	23,500	4	21,500
25	50级橙色战士防御套装	1,3,5,7	2	24,1000	4	22,1000
26	50级橙色战士攻击套装	2,4,6,8	2	23,1000	4	21,1000
27	50级橙色法师防御套装	1,3,5,7	2	24,1000	4	22,1000
28	50级橙色法师攻击套装	2,4,6,8	2	23,1000	4	21,1000
29	50级橙色射手防御套装	1,3,5,7	2	24,1000	4	22,1000
30	50级橙色射手攻击套装	2,4,6,8	2	23,1000	4	21,1000
31	50级橙色刺客防御套装	1,3,5,7	2	24,1000	4	22,1000
32	50级橙色刺客攻击套装	2,4,6,8	2	23,1000	4	21,1000
33	60级紫色战士防御套装	1,3,5,7	2	24,600	4	22,600
34	60级紫色战士攻击套装	2,4,6,8	2	23,600	4	21,600
35	60级紫色法师防御套装	1,3,5,7	2	24,600	4	22,600
36	60级紫色法师攻击套装	2,4,6,8	2	23,600	4	21,600
37	60级紫色射手防御套装	1,3,5,7	2	24,600	4	22,600
38	60级紫色射手攻击套装	2,4,6,8	2	23,600	4	21,600
39	60级紫色刺客防御套装	1,3,5,7	2	24,600	4	22,600
40	60级紫色刺客攻击套装	2,4,6,8	2	23,600	4	21,600
41	60级橙色战士防御套装	1,3,5,7	2	24,1200	4	22,1200
42	60级橙色战士攻击套装	2,4,6,8	2	23,1200	4	21,1200
43	60级橙色法师防御套装	1,3,5,7	2	24,1200	4	22,1200
44	60级橙色法师攻击套装	2,4,6,8	2	23,1200	4	21,1200
45	60级橙色射手防御套装	1,3,5,7	2	24,1200	4	22,1200
46	60级橙色射手攻击套装	2,4,6,8	2	23,1200	4	21,1200
47	60级橙色刺客防御套装	1,3,5,7	2	24,1200	4	22,1200
48	60级橙色刺客攻击套装	2,4,6,8	2	23,1200	4	21,1200
49	70级紫色战士防御套装	1,3,5,7	2	24,700	4	22,700
50	70级紫色战士攻击套装	2,4,6,8	2	23,700	4	21,700
51	70级紫色法师防御套装	1,3,5,7	2	24,700	4	22,700
52	70级紫色法师攻击套装	2,4,6,8	2	23,700	4	21,700
53	70级紫色射手防御套装	1,3,5,7	2	24,700	4	22,700
54	70级紫色射手攻击套装	2,4,6,8	2	23,700	4	21,700
55	70级紫色刺客防御套装	1,3,5,7	2	24,700	4	22,700
56	70级紫色刺客攻击套装	2,4,6,8	2	23,700	4	21,700
