ID	PartType	PartName	PrimaryAttribute	Number	AdditionAttr	SuitAttr	SuitId
索引	部位	部位名称	装备基础属性	附加属性条数	附加属性库	是否有套装属性	套装ID
int	int	string	table	int[]	weightable	int	int
和道具表中的ID一致\n装备ID规则：\n职业：1战士、2法师3、射手\n部位：1、头盔；2、武器；3、衣服；4、项链；5、腰带；6、手镯；7、鞋子；8、戒指\n等级：001\n品质：1白色 2绿色 3蓝色 4紫色 5橙色 6红色\n110011	\n1、头盔\n2、武器\n3、衣服\n4、项链\n5、腰带\n6、手镯\n7、鞋子\n8、戒指\n\n	策划配置，该部位显示什么（用于控制不同职业的同部位名称不一样，如武器：弓、大刀）	装备基础属性：\n产出该装备时，每个属性均在这个区间内随机。随到哪个值就确定哪个值并显示属性。\n\n配置格式：\n｛属性类型，属性最小值，属性最大值｝，｛属性类型，属性最小值，属性最大值｝	配置格式：\n条数1，权重1，条数2，权重2，条数3，权重3\n\n抽到某一条的概率为：权重/总权重\n（只能出现一种条数）\n	\n配置格式：\n｛权重，属性类型，属性最小值，属性最大值｝，｛权重，属性类型，属性最小值，属性最大值｝\n\n抽取到某一条的概率为：该条权重/符合条件的总权重	是否有套装属性\n\n0、无套装属性\n1、有套装属性	填写套装表的ID，\n\nSuitAttr字段若填1，则这里必须填套装ID，否则算填错，系统报错。\n\nSuitAttr字段若填0，这里填-1\n表示不会生效。\n\n生成套装属性后根据该ID去EquipSuitTable表找到对应ID，找到套装属性
3	3	1	2	2	2	2	2
1100000	1	——战士掉落类	{1,200,300},{2,200,200}	1,5000,2,1000	{2000,1,300,400},{2000,2,300,400},{2000,3,300,400},{2000,4,300,400},{2000,5,300,400}	0	-1
1110111	1	1级白色战士头盔	{5,80,160},{6,80,160}	0,10000	{1000,1,80,400},{300,1,80,400},{100,1,80,400},{1000,2,28,140},{300,2,28,140},{100,2,28,140},{1000,3,16,80},{300,3,16,80},{100,3,16,80},{1000,4,16,80},{300,4,16,80},{100,4,16,80},{1000,5,20,100},{300,5,20,100},{100,5,20,100},{1000,6,20,100},{300,6,20,100},{100,6,20,100},{1000,7,6,30},{300,7,6,30},{100,7,6,30},{1000,8,6,30},{300,8,6,30},{100,8,6,30},{1000,9,6,30},{300,9,6,30},{100,9,6,30},{1000,10,6,30},{300,10,6,30},{100,10,6,30},{1000,11,6,30},{300,11,6,30},{100,11,6,30},{1000,13,10,50},{300,13,10,50},{100,13,10,50},{1000,14,10,50},{300,14,10,50},{100,14,10,50},{1000,15,5,25},{300,15,5,25},{100,15,5,25},{1000,16,10,50},{300,16,10,50},{100,16,10,50},{1000,19,6,30},{300,19,6,30},{100,19,6,30}	0	-1
1120111	2	1级白色战士武器	{3,96,192},{7,36,72}	0,10000	{1000,1,80,400},{300,1,80,400},{100,1,80,400},{1000,2,28,140},{300,2,28,140},{100,2,28,140},{1000,3,16,80},{300,3,16,80},{100,3,16,80},{1000,4,16,80},{300,4,16,80},{100,4,16,80},{1000,5,20,100},{300,5,20,100},{100,5,20,100},{1000,6,20,100},{300,6,20,100},{100,6,20,100},{1000,7,6,30},{300,7,6,30},{100,7,6,30},{1000,8,6,30},{300,8,6,30},{100,8,6,30},{1000,9,6,30},{300,9,6,30},{100,9,6,30},{1000,10,6,30},{300,10,6,30},{100,10,6,30},{1000,11,6,30},{300,11,6,30},{100,11,6,30},{1000,13,10,50},{300,13,10,50},{100,13,10,50},{1000,14,10,50},{300,14,10,50},{100,14,10,50},{1000,15,5,25},{300,15,5,25},{100,15,5,25},{1000,16,10,50},{300,16,10,50},{100,16,10,50},{1000,19,6,30},{300,19,6,30},{100,19,6,30}	0	-1
1130111	3	1级白色战士衣服	{1,480,960},{2,112,224}	0,10000	{1000,1,80,400},{300,1,80,400},{100,1,80,400},{1000,2,28,140},{300,2,28,140},{100,2,28,140},{1000,3,16,80},{300,3,16,80},{100,3,16,80},{1000,4,16,80},{300,4,16,80},{100,4,16,80},{1000,5,20,100},{300,5,20,100},{100,5,20,100},{1000,6,20,100},{300,6,20,100},{100,6,20,100},{1000,7,6,30},{300,7,6,30},{100,7,6,30},{1000,8,6,30},{300,8,6,30},{100,8,6,30},{1000,9,6,30},{300,9,6,30},{100,9,6,30},{1000,10,6,30},{300,10,6,30},{100,10,6,30},{1000,11,6,30},{300,11,6,30},{100,11,6,30},{1000,13,10,50},{300,13,10,50},{100,13,10,50},{1000,14,10,50},{300,14,10,50},{100,14,10,50},{1000,15,5,25},{300,15,5,25},{100,15,5,25},{1000,16,10,50},{300,16,10,50},{100,16,10,50},{1000,19,6,30},{300,19,6,30},{100,19,6,30}	0	-1
1140111	4	1级白色战士项链	{3,32,64},{6,60,120}	0,10000	{1000,1,80,400},{300,1,80,400},{100,1,80,400},{1000,2,28,140},{300,2,28,140},{100,2,28,140},{1000,3,16,80},{300,3,16,80},{100,3,16,80},{1000,4,16,80},{300,4,16,80},{100,4,16,80},{1000,5,20,100},{300,5,20,100},{100,5,20,100},{1000,6,20,100},{300,6,20,100},{100,6,20,100},{1000,7,6,30},{300,7,6,30},{100,7,6,30},{1000,8,6,30},{300,8,6,30},{100,8,6,30},{1000,9,6,30},{300,9,6,30},{100,9,6,30},{1000,10,6,30},{300,10,6,30},{100,10,6,30},{1000,11,6,30},{300,11,6,30},{100,11,6,30},{1000,13,10,50},{300,13,10,50},{100,13,10,50},{1000,14,10,50},{300,14,10,50},{100,14,10,50},{1000,15,5,25},{300,15,5,25},{100,15,5,25},{1000,16,10,50},{300,16,10,50},{100,16,10,50},{1000,19,6,30},{300,19,6,30},{100,19,6,30}	0	-1
1150111	5	1级白色战士腰带	{1,160,320},{5,60,120}	0,10000	{1000,1,80,400},{300,1,80,400},{100,1,80,400},{1000,2,28,140},{300,2,28,140},{100,2,28,140},{1000,3,16,80},{300,3,16,80},{100,3,16,80},{1000,4,16,80},{300,4,16,80},{100,4,16,80},{1000,5,20,100},{300,5,20,100},{100,5,20,100},{1000,6,20,100},{300,6,20,100},{100,6,20,100},{1000,7,6,30},{300,7,6,30},{100,7,6,30},{1000,8,6,30},{300,8,6,30},{100,8,6,30},{1000,9,6,30},{300,9,6,30},{100,9,6,30},{1000,10,6,30},{300,10,6,30},{100,10,6,30},{1000,11,6,30},{300,11,6,30},{100,11,6,30},{1000,13,10,50},{300,13,10,50},{100,13,10,50},{1000,14,10,50},{300,14,10,50},{100,14,10,50},{1000,15,5,25},{300,15,5,25},{100,15,5,25},{1000,16,10,50},{300,16,10,50},{100,16,10,50},{1000,19,6,30},{300,19,6,30},{100,19,6,30}	0	-1
1160111	6	1级白色战士手镯	{3,32,64},{5,60,120}	0,10000	{1000,1,80,400},{300,1,80,400},{100,1,80,400},{1000,2,28,140},{300,2,28,140},{100,2,28,140},{1000,3,16,80},{300,3,16,80},{100,3,16,80},{1000,4,16,80},{300,4,16,80},{100,4,16,80},{1000,5,20,100},{300,5,20,100},{100,5,20,100},{1000,6,20,100},{300,6,20,100},{100,6,20,100},{1000,7,6,30},{300,7,6,30},{100,7,6,30},{1000,8,6,30},{300,8,6,30},{100,8,6,30},{1000,9,6,30},{300,9,6,30},{100,9,6,30},{1000,10,6,30},{300,10,6,30},{100,10,6,30},{1000,11,6,30},{300,11,6,30},{100,11,6,30},{1000,13,10,50},{300,13,10,50},{100,13,10,50},{1000,14,10,50},{300,14,10,50},{100,14,10,50},{1000,15,5,25},{300,15,5,25},{100,15,5,25},{1000,16,10,50},{300,16,10,50},{100,16,10,50},{1000,19,6,30},{300,19,6,30},{100,19,6,30}	0	-1
1170111	7	1级白色战士鞋子	{1,160,320},{6,60,120}	0,10000	{1000,1,80,400},{300,1,80,400},{100,1,80,400},{1000,2,28,140},{300,2,28,140},{100,2,28,140},{1000,3,16,80},{300,3,16,80},{100,3,16,80},{1000,4,16,80},{300,4,16,80},{100,4,16,80},{1000,5,20,100},{300,5,20,100},{100,5,20,100},{1000,6,20,100},{300,6,20,100},{100,6,20,100},{1000,7,6,30},{300,7,6,30},{100,7,6,30},{1000,8,6,30},{300,8,6,30},{100,8,6,30},{1000,9,6,30},{300,9,6,30},{100,9,6,30},{1000,10,6,30},{300,10,6,30},{100,10,6,30},{1000,11,6,30},{300,11,6,30},{100,11,6,30},{1000,13,10,50},{300,13,10,50},{100,13,10,50},{1000,14,10,50},{300,14,10,50},{100,14,10,50},{1000,15,5,25},{300,15,5,25},{100,15,5,25},{1000,16,10,50},{300,16,10,50},{100,16,10,50},{1000,19,6,30},{300,19,6,30},{100,19,6,30}	0	-1
1180111	8	1级白色战士戒指	{2,168,336},{7,24,48}	0,10000	{1000,1,80,400},{300,1,80,400},{100,1,80,400},{1000,2,28,140},{300,2,28,140},{100,2,28,140},{1000,3,16,80},{300,3,16,80},{100,3,16,80},{1000,4,16,80},{300,4,16,80},{100,4,16,80},{1000,5,20,100},{300,5,20,100},{100,5,20,100},{1000,6,20,100},{300,6,20,100},{100,6,20,100},{1000,7,6,30},{300,7,6,30},{100,7,6,30},{1000,8,6,30},{300,8,6,30},{100,8,6,30},{1000,9,6,30},{300,9,6,30},{100,9,6,30},{1000,10,6,30},{300,10,6,30},{100,10,6,30},{1000,11,6,30},{300,11,6,30},{100,11,6,30},{1000,13,10,50},{300,13,10,50},{100,13,10,50},{1000,14,10,50},{300,14,10,50},{100,14,10,50},{1000,15,5,25},{300,15,5,25},{100,15,5,25},{1000,16,10,50},{300,16,10,50},{100,16,10,50},{1000,19,6,30},{300,19,6,30},{100,19,6,30}	0	-1
1110112	1	10级绿色战士头盔	{5,160,320},{6,160,320}	1,10000	{1000,1,160,800},{300,1,160,800},{100,1,160,800},{1000,2,56,280},{300,2,56,280},{100,2,56,280},{1000,3,32,160},{300,3,32,160},{100,3,32,160},{1000,4,32,160},{300,4,32,160},{100,4,32,160},{1000,5,40,200},{300,5,40,200},{100,5,40,200},{1000,6,40,200},{300,6,40,200},{100,6,40,200},{1000,7,12,60},{300,7,12,60},{100,7,12,60},{1000,8,12,60},{300,8,12,60},{100,8,12,60},{1000,9,12,60},{300,9,12,60},{100,9,12,60},{1000,10,12,60},{300,10,12,60},{100,10,12,60},{1000,11,12,60},{300,11,12,60},{100,11,12,60},{1000,13,20,100},{300,13,20,100},{100,13,20,100},{1000,14,20,100},{300,14,20,100},{100,14,20,100},{1000,15,10,50},{300,15,10,50},{100,15,10,50},{1000,16,20,100},{300,16,20,100},{100,16,20,100},{1000,19,12,60},{300,19,12,60},{100,19,12,60}	0	-1
1120112	2	10级绿色战士武器	{3,192,384},{7,72,144}	1,10000	{1000,1,160,800},{300,1,160,800},{100,1,160,800},{1000,2,56,280},{300,2,56,280},{100,2,56,280},{1000,3,32,160},{300,3,32,160},{100,3,32,160},{1000,4,32,160},{300,4,32,160},{100,4,32,160},{1000,5,40,200},{300,5,40,200},{100,5,40,200},{1000,6,40,200},{300,6,40,200},{100,6,40,200},{1000,7,12,60},{300,7,12,60},{100,7,12,60},{1000,8,12,60},{300,8,12,60},{100,8,12,60},{1000,9,12,60},{300,9,12,60},{100,9,12,60},{1000,10,12,60},{300,10,12,60},{100,10,12,60},{1000,11,12,60},{300,11,12,60},{100,11,12,60},{1000,13,20,100},{300,13,20,100},{100,13,20,100},{1000,14,20,100},{300,14,20,100},{100,14,20,100},{1000,15,10,50},{300,15,10,50},{100,15,10,50},{1000,16,20,100},{300,16,20,100},{100,16,20,100},{1000,19,12,60},{300,19,12,60},{100,19,12,60}	0	-1
1130112	3	10级绿色战士衣服	{1,960,1920},{2,224,448}	1,10000	{1000,1,160,800},{300,1,160,800},{100,1,160,800},{1000,2,56,280},{300,2,56,280},{100,2,56,280},{1000,3,32,160},{300,3,32,160},{100,3,32,160},{1000,4,32,160},{300,4,32,160},{100,4,32,160},{1000,5,40,200},{300,5,40,200},{100,5,40,200},{1000,6,40,200},{300,6,40,200},{100,6,40,200},{1000,7,12,60},{300,7,12,60},{100,7,12,60},{1000,8,12,60},{300,8,12,60},{100,8,12,60},{1000,9,12,60},{300,9,12,60},{100,9,12,60},{1000,10,12,60},{300,10,12,60},{100,10,12,60},{1000,11,12,60},{300,11,12,60},{100,11,12,60},{1000,13,20,100},{300,13,20,100},{100,13,20,100},{1000,14,20,100},{300,14,20,100},{100,14,20,100},{1000,15,10,50},{300,15,10,50},{100,15,10,50},{1000,16,20,100},{300,16,20,100},{100,16,20,100},{1000,19,12,60},{300,19,12,60},{100,19,12,60}	0	-1
1140112	4	10级绿色战士项链	{3,64,128},{6,120,240}	1,10000	{1000,1,160,800},{300,1,160,800},{100,1,160,800},{1000,2,56,280},{300,2,56,280},{100,2,56,280},{1000,3,32,160},{300,3,32,160},{100,3,32,160},{1000,4,32,160},{300,4,32,160},{100,4,32,160},{1000,5,40,200},{300,5,40,200},{100,5,40,200},{1000,6,40,200},{300,6,40,200},{100,6,40,200},{1000,7,12,60},{300,7,12,60},{100,7,12,60},{1000,8,12,60},{300,8,12,60},{100,8,12,60},{1000,9,12,60},{300,9,12,60},{100,9,12,60},{1000,10,12,60},{300,10,12,60},{100,10,12,60},{1000,11,12,60},{300,11,12,60},{100,11,12,60},{1000,13,20,100},{300,13,20,100},{100,13,20,100},{1000,14,20,100},{300,14,20,100},{100,14,20,100},{1000,15,10,50},{300,15,10,50},{100,15,10,50},{1000,16,20,100},{300,16,20,100},{100,16,20,100},{1000,19,12,60},{300,19,12,60},{100,19,12,60}	0	-1
1150112	5	10级绿色战士腰带	{1,320,640},{5,120,240}	1,10000	{1000,1,160,800},{300,1,160,800},{100,1,160,800},{1000,2,56,280},{300,2,56,280},{100,2,56,280},{1000,3,32,160},{300,3,32,160},{100,3,32,160},{1000,4,32,160},{300,4,32,160},{100,4,32,160},{1000,5,40,200},{300,5,40,200},{100,5,40,200},{1000,6,40,200},{300,6,40,200},{100,6,40,200},{1000,7,12,60},{300,7,12,60},{100,7,12,60},{1000,8,12,60},{300,8,12,60},{100,8,12,60},{1000,9,12,60},{300,9,12,60},{100,9,12,60},{1000,10,12,60},{300,10,12,60},{100,10,12,60},{1000,11,12,60},{300,11,12,60},{100,11,12,60},{1000,13,20,100},{300,13,20,100},{100,13,20,100},{1000,14,20,100},{300,14,20,100},{100,14,20,100},{1000,15,10,50},{300,15,10,50},{100,15,10,50},{1000,16,20,100},{300,16,20,100},{100,16,20,100},{1000,19,12,60},{300,19,12,60},{100,19,12,60}	0	-1
1160112	6	10级绿色战士手镯	{3,64,128},{5,120,240}	1,10000	{1000,1,160,800},{300,1,160,800},{100,1,160,800},{1000,2,56,280},{300,2,56,280},{100,2,56,280},{1000,3,32,160},{300,3,32,160},{100,3,32,160},{1000,4,32,160},{300,4,32,160},{100,4,32,160},{1000,5,40,200},{300,5,40,200},{100,5,40,200},{1000,6,40,200},{300,6,40,200},{100,6,40,200},{1000,7,12,60},{300,7,12,60},{100,7,12,60},{1000,8,12,60},{300,8,12,60},{100,8,12,60},{1000,9,12,60},{300,9,12,60},{100,9,12,60},{1000,10,12,60},{300,10,12,60},{100,10,12,60},{1000,11,12,60},{300,11,12,60},{100,11,12,60},{1000,13,20,100},{300,13,20,100},{100,13,20,100},{1000,14,20,100},{300,14,20,100},{100,14,20,100},{1000,15,10,50},{300,15,10,50},{100,15,10,50},{1000,16,20,100},{300,16,20,100},{100,16,20,100},{1000,19,12,60},{300,19,12,60},{100,19,12,60}	0	-1
1170112	7	10级绿色战士鞋子	{1,320,640},{6,120,240}	1,10000	{1000,1,160,800},{300,1,160,800},{100,1,160,800},{1000,2,56,280},{300,2,56,280},{100,2,56,280},{1000,3,32,160},{300,3,32,160},{100,3,32,160},{1000,4,32,160},{300,4,32,160},{100,4,32,160},{1000,5,40,200},{300,5,40,200},{100,5,40,200},{1000,6,40,200},{300,6,40,200},{100,6,40,200},{1000,7,12,60},{300,7,12,60},{100,7,12,60},{1000,8,12,60},{300,8,12,60},{100,8,12,60},{1000,9,12,60},{300,9,12,60},{100,9,12,60},{1000,10,12,60},{300,10,12,60},{100,10,12,60},{1000,11,12,60},{300,11,12,60},{100,11,12,60},{1000,13,20,100},{300,13,20,100},{100,13,20,100},{1000,14,20,100},{300,14,20,100},{100,14,20,100},{1000,15,10,50},{300,15,10,50},{100,15,10,50},{1000,16,20,100},{300,16,20,100},{100,16,20,100},{1000,19,12,60},{300,19,12,60},{100,19,12,60}	0	-1
