ID	Type	Name	Des	Icon	Model	Level	NextLevel	LevelUp	Text	LvExpend1	LvExpend2	Result1	Result2	Result3	Result4	Result5
ID索引	建筑类型	建筑名称	建筑功能描述	建筑图片展示	建筑模型展示	等级	下一级	升级需其他建筑条件	升级需求文字描述	升级消耗1	升级消耗2	升级效果1	升级效果2	升级效果3	升级效果4	升级效果5
int	int	string	string	string	string	int	int	int[]	string	int	int	int	int	int	int	int
ID索引	1、主殿\n2、兵舍\n3、金库\n4、圣兽堂\n5、演武场	对应类型建筑的名称	对该建筑的功能描述	界面上对应建筑等级的图片展示\n\n配置图片资源ID	帮会领地对应建筑等级的模型展示\n\n配置模型资源ID	建筑的等级	该建筑的下一个等级\n\n下一级填-1表示满级，不能升了,也不消耗了	升级需要其他建筑等级达到的要求\n\n建筑类型，建筑等级，建筑类型，建筑等级，建筑类型，建筑等级\n\n无需求填-1	根据LevelUp字段配置的升级需要其他建筑的需求的文字描述（客户端显示用）	升级消耗类型1：\n\n帮会资金	升级消耗类型2：\n\n待定（先不做这个字段消耗)	效果1：帮会等级\n\n配置：帮会等级数\n\n该字段不引用配-1	效果2：其他建筑等级上限\n类型2、3、4、5的建筑\n\n配置：等级\n\n该字段不引用配-1	效果3：帮会人数\n\n配置：帮会的人数\n\n该字段不引用配-1	效果4：金库储存上限\n\n配置：帮会资金数\n\n该字段不引用配-1	效果5：生产福利速度\nXXX银币/每天\n\n配置：银币数
3	3	1	1	1	1	3	3	3	1	3	3	3	3	3	3	3
1	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			1	2	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	1000	1000	1	1	-1	-1	-1
2	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			2	3	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	2000	1000	2	2	-1	-1	-1
3	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			3	4	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	3000	1000	3	3	-1	-1	-1
4	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			4	5	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	4000	1000	4	4	-1	-1	-1
5	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			5	6	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	5000	1000	5	5	-1	-1	-1
6	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			6	7	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	6000	1000	6	6	-1	-1	-1
7	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			7	8	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	7000	1000	7	7	-1	-1	-1
8	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			8	9	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	8000	1000	8	8	-1	-1	-1
9	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			9	10	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	9000	1000	9	9	-1	-1	-1
10	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			10	11	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	10000	1000	10	10	-1	-1	-1
11	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			11	12	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	11000	1000	11	11	-1	-1	-1
12	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			12	13	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	12000	1000	12	12	-1	-1	-1
13	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			13	14	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	13000	1000	13	13	-1	-1	-1
14	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			14	15	2,1,3,1,4,1	需要兵舍、金库、圣兽堂、演武场均达到1级	14000	1000	14	14	-1	-1	-1
15	1	主殿	帮会的主建筑，决定帮会等级，可以提高其他建筑的等级上限			15	-1	-1		15000	1000	15	15	-1	-1	-1
100	2	兵舍	可以提高帮会人数上限			0	1	1,1	升级需要主殿等级1级	1000	1000	-1	-1	10	-1	-1
101	2	兵舍	可以提高帮会人数上限			1	2	1,2	升级需要主殿等级2级	2000	1000	-1	-1	20	-1	-1
102	2	兵舍	可以提高帮会人数上限			2	3	1,3	升级需要主殿等级3级	3000	1000	-1	-1	30	-1	-1
