ID	Dis	ShopType	Currency	Level	Type	ItemId	Count	Price	DiscountPrice	Buy
ID索引	显示划分	商城类型	消耗货币	开放等级	小类分页	物品ID	出售数量	原价	现价	限购方式
int	int	int	int	int	string[]	int	int	int	int	int[]
商城的ID	1、游戏商城\n2、积分商城	1、元宝\n2、绑定元宝\n3、金币\n4、银币\n5、积分商城	消耗货币类型，读取ItemTable表中ID	对应类型商城开放的等级。\n最低为1级（默认开放）\n未达到等级时不显示	分页相同的ID配在一起，显示在一起\n\n配置方式：分页ID，分页名称	出售的物品ID	单次出售的数量	显示原价就配置数量\n\n不显示原价就配置-1\n（配置了原价后就会根据和现价的差异显示折扣比例）	购买物品消耗的货币数量\n\n货币类型由 ShopType 决定	0、不限购（0：可无限购买）\n1、每日限购（1，次数）\n2、每周限购（2，次数）
3	1	3	3	3	1	3	3	1	3	3
1000	1	1	1	1	1,热卖	1	1000	-1	450	0
1001	1	1	1	1	1,热卖	2	1000	-1	450	0
1002	1	1	1	1	1,热卖	3	1000	-1	450	0
1003	1	1	1	1	2,战力	71014	1	-1	450	0
1004	1	1	1	1	2,战力	71015	1	-1	450	1,2
1005	1	1	1	1	2,战力	71016	1	-1	450	1,2
1006	1	1	1	1	3,日常	71017	1	1000	450	1,2
1007	1	1	1	1	3,日常	71018	1	1000	450	1,2
1008	1	1	1	1	3,日常	71019	1	1000	450	2,3
1009	1	1	1	1	4,时装	71021	1	1000	450	2,3
1010	1	1	1	1	4,时装	71022	1	1000	450	2,3
1011	1	1	1	1	4,时装	71023	1	1000	450	2,3
2000	1	2	2	1	1,热卖	71011	1	-1	450	0
2001	1	2	2	1	1,热卖	71012	1	-1	450	0
2002	1	2	2	1	1,热卖	71013	1	-1	450	0
2003	1	2	2	1	2,战力	71014	1	-1	450	0
2004	1	2	2	1	2,战力	71015	1	-1	450	1,2
2005	1	2	2	1	2,战力	71016	1	-1	450	1,2
2006	1	2	2	1	3,日常	71017	1	1000	450	1,2
2007	1	2	2	1	3,日常	71018	1	1000	450	1,2
2008	1	2	2	1	3,日常	71019	1	1000	450	2,3
2009	1	2	2	1	4,时装	71021	1	1000	450	2,3
2010	1	2	2	1	4,时装	71022	1	1000	450	2,3
2011	1	2	2	1	4,时装	71023	1	1000	450	2,3
3000	1	3	3	1	1,热卖	71011	1	-1	450	0
3001	1	3	3	1	1,热卖	71012	1	-1	450	0
3002	1	3	3	1	1,热卖	71013	1	-1	450	0
3003	1	3	3	1	2,战力	71014	1	-1	450	0
3004	1	3	3	1	2,战力	71015	1	-1	450	1,2
3005	1	3	3	1	2,战力	71016	1	-1	450	1,2
3006	1	3	3	1	3,日常	71017	1	1000	450	1,2
3007	1	3	3	1	3,日常	71018	1	1000	450	1,2
3008	1	3	3	1	3,日常	71019	1	1000	450	2,3
3009	1	3	3	1	4,时装	71021	1	1000	450	2,3
3010	1	3	3	1	4,时装	71022	1	1000	450	2,3
3011	1	3	3	1	4,时装	71023	1	1000	450	2,3
4000	1	4	4	1	1,热卖	71011	1	-1	450	0
4001	1	4	4	1	1,热卖	71012	1	-1	450	0
4002	1	4	4	1	1,热卖	71013	1	-1	450	0
4003	1	4	4	1	2,战力	71014	1	-1	450	0
4004	1	4	4	1	2,战力	71015	1	-1	450	1,2
4005	1	4	4	1	2,战力	71016	1	-1	450	1,2
4006	1	4	4	1	3,日常	71017	1	1000	450	1,2
4007	1	4	4	1	3,日常	71018	1	1000	450	1,2
4008	1	4	4	1	3,日常	71019	1	1000	450	2,3
4009	1	4	4	1	4,时装	71021	1	1000	450	2,3
4010	1	4	4	1	4,时装	71022	1	1000	450	2,3
4011	1	4	4	1	4,时装	71023	1	1000	450	2,3
10000	2	5	4	1	1,随身银币店	71011	1	-1	450	0
10001	2	5	4	1	1,随身银币店	71012	1	-1	450	0
10002	2	5	4	1	1,随身银币店	71013	1	-1	450	0
10003	2	5	4	1	1,随身银币店	71014	1	-1	450	0
10004	2	5	4	1	1,随身银币店	71015	1	-1	450	1,2
10005	2	5	4	1	1,随身银币店	71016	1	-1	450	1,2
10006	2	5	4	1	1,随身银币店	71017	1	-1	450	1,2
10007	2	5	4	1	1,随身银币店	71018	1	-1	450	1,2
10008	2	5	4	1	1,随身银币店	71019	1	-1	450	2,3
10009	2	5	4	1	1,随身银币店	71021	1	-1	450	2,3
10010	2	5	4	1	1,随身银币店	71022	1	-1	450	2,3
10011	2	5	4	1	1,随身银币店	71023	1	-1	450	2,3
11000	2	5	3	1	2,随身金币店	71011	1	-1	450	0
11001	2	5	3	1	2,随身金币店	71012	1	-1	450	0
11002	2	5	3	1	2,随身金币店	71013	1	-1	450	0
11003	2	5	3	1	2,随身金币店	71014	1	-1	450	0
11004	2	5	3	1	2,随身金币店	71015	1	-1	450	1,2
11005	2	5	3	1	2,随身金币店	71016	1	-1	450	1,2
11006	2	5	3	1	2,随身金币店	71017	1	-1	450	1,2
11007	2	5	3	1	2,随身金币店	71018	1	-1	450	1,2
11008	2	5	3	1	2,随身金币店	71019	1	-1	450	2,3
11009	2	5	3	1	2,随身金币店	71021	1	-1	450	2,3
11010	2	5	3	1	2,随身金币店	71022	1	-1	450	2,3
