ID	Dce	GemType	GemAttr	LevelUp	GemExp	ResolveExp
索引	策划备注	宝石类型	宝石属性	升级后宝石ID	宝石升级经验消耗	吞噬获得经验
int	string	int	int[]	int	int	int
宝石ID	策划备注，方便维护	宝石的类型，策划自定义，不同宝石的类型不能相同	宝石的具体属性\n配置方式：属性类型，属性值	填写升级后的宝石物品ID\n从ItemTable表获取ID	填写升级宝石消耗的经验值	吞噬获得的宝石经验值
3	0	3	3	3	3	3
70001	白色经验宝石	3	1,0	-1	0	10
70002	绿色经验宝石	3	1,0	-1	0	30
70003	蓝色经验宝石	3	1,0	-1	0	90
70004	紫色经验宝石	3	1,0	-1	0	270
70005	橙色经验宝石	3	1,0	-1	0	810
71011	白色物理防御宝石1级	1	5,4	71012	10	1
71012	白色物理防御宝石2级	1	5,6	71013	14	11
71013	白色物理防御宝石3级	1	5,8	71014	32	25
71014	白色物理防御宝石4级	1	5,11	71015	76	57
71015	白色物理防御宝石5级	1	5,16	71016	181	133
71016	白色物理防御宝石6级	1	5,22	71017	427	314
71017	白色物理防御宝石7级	1	5,30	71018	1010	741
71018	白色物理防御宝石8级	1	5,42	71019	2388	1751
71019	白色物理防御宝石9级	1	5,60	-1	5649	4139
71021	白色法术防御宝石1级	1	6,4	71022	10	1
71022	白色法术防御宝石2级	1	6,6	71023	14	11
71023	白色法术防御宝石3级	1	6,8	71024	32	25
71024	白色法术防御宝石4级	1	6,11	71025	76	57
71025	白色法术防御宝石5级	1	6,16	71026	181	133
71026	白色法术防御宝石6级	1	6,22	71027	427	314
71027	白色法术防御宝石7级	1	6,30	71028	1010	741
71028	白色法术防御宝石8级	1	6,42	71029	2388	1751
71029	白色法术防御宝石9级	1	6,60	-1	5649	4139
71031	白色物理攻击宝石1级	2	3,4	71032	10	1
71032	白色物理攻击宝石2级	2	3,6	71033	14	11
71033	白色物理攻击宝石3级	2	3,8	71034	32	25
71034	白色物理攻击宝石4级	2	3,11	71035	76	57
71035	白色物理攻击宝石5级	2	3,16	71036	181	133
71036	白色物理攻击宝石6级	2	3,22	71037	427	314
71037	白色物理攻击宝石7级	2	3,30	71038	1010	741
71038	白色物理攻击宝石8级	2	3,42	71039	2388	1751
71039	白色物理攻击宝石9级	2	3,60	-1	5649	4139
71041	白色法术攻击宝石1级	2	4,4	71042	10	1
71042	白色法术攻击宝石2级	2	4,6	71043	14	11
71043	白色法术攻击宝石3级	2	4,8	71044	32	25
71044	白色法术攻击宝石4级	2	4,11	71045	76	57
71045	白色法术攻击宝石5级	2	4,16	71046	181	133
71046	白色法术攻击宝石6级	2	4,22	71047	427	314
71047	白色法术攻击宝石7级	2	4,30	71048	1010	741
71048	白色法术攻击宝石8级	2	4,42	71049	2388	1751
71049	白色法术攻击宝石9级	2	4,60	-1	5649	4139
72011	绿色生命宝石1级	1	1,26	72012	19	3
72012	绿色生命宝石2级	1	1,37	72013	26	22
72013	绿色生命宝石3级	1	1,52	72014	59	48
72014	绿色生命宝石4级	1	1,69	72015	142	107
72015	绿色生命宝石5级	1	1,98	72016	337	249
72016	绿色生命宝石6级	1	1140	72017	796	586
72017	绿色生命宝石7级	1	1194	72018	1883	1382
72018	绿色生命宝石8级	1	1271	72019	4451	3265
72019	绿色生命宝石9级	1	1381	-1	10530	7716
72021	绿色生命回复宝石1级	1	14,4	72022	19	3
72022	绿色生命回复宝石2级	1	14,5	72023	26	22
72023	绿色生命回复宝石3级	1	14,7	72024	59	48
72024	绿色生命回复宝石4级	1	14,9	72025	142	107
72025	绿色生命回复宝石5级	1	14,13	72026	337	249
72026	绿色生命回复宝石6级	1	14,18	72027	796	586
72027	绿色生命回复宝石7级	1	14,25	72028	1883	1382
