ID	Name	Place	Orientation	Text	Click	ProTect	Clear	Effect
ID索引	引导备注	引导提示位置	引导提示朝向	引导提示文字内容	引导点击控件	是否增加强制保护	提示清除方式	引导特效
int	string	float[]	int[]	string	string	int	int[]	string[]
引导ID索引	引导的内容策划备注	界面的X坐标，Y坐标(Trans)\n\n从Unity对应控件上查询坐标(修改之前先把Guide归零)	该字段仅针对类型为1的引导有效\n1.指向左边，角度（1，角度(Arrow)\n2.指向右边，角度（2，角度	提示具体的文字内容	配置方式：\n控件所在UI的层级（从UIRoot这个层级开始配路径，如果是窗口需要加Clone)	0、不增加\n1、增加	0、自动清除（0，时间），该模式点击会提前清除\n1、点击控件后清除（1）\n2、自动点击（2，时间）	0、不需要引导特效\n1、固定特效（特效ID），默认放在引导点击范围的中心点位置\n2、动态特效（沿着引导点击范围的边缘循环播放）
3	0	1		1	3	3	3	1
1	引导点击任务1	220,40	1,0	点击前往完成任务	NewUImain(Clone)/UITaskPanel/taskchild/TaskScroll/Grid/TaskItem(Clone)	1	1	0
5	第一次穿装备	-203,-4	2,0	点击穿戴装备	ItemRemindWindow(Clone)/RemindTip(Clone)/Button	1	2,5000	0
10	第一次进入副本引导	170,0	1,0	点击进入副本	NewUImain(Clone)/UIDungeonEnterWindow(Clone)/BtnEnter	0	1	0
20	技能升级引导	-54,148	2,-45	点击菜单按钮	NewUImain(Clone)/UImenu/menuHandover	1	1	0
21	技能升级引导	-129,5	2,0	点击技能按钮	NewUImain(Clone)/UImenu/functionList/SkillBtn	1	1	0
22	技能升级引导	-150,2	2,0	选择技能升级	NewUImain(Clone)/NewUIskill(Clone)/SkillTogGroup/upgradeTog	1	1	0
23	技能升级引导	95,200	2,-90	点击升级技能	NewUImain(Clone)/NewUIskill(Clone)/Skillupgrade/Upgrade/upgradeBtn	1	1	0
24	技能升级引导	-43,-150	2,45	点击关闭界面	NewUImain(Clone)/NewUIskill(Clone)/CloseBtn	1	1	0
30	 引导装备强化	-594,90	2,45	点击菜单按钮	NewUImain(Clone)/UImenu/menuHandover	1	1	0
31	 引导装备强化	-129,2	2,0	点击角色按钮	NewUImain(Clone)/UImenu/functionList/jueseBtn	1	1	0
32	 引导装备强化	-169,5	2,0	点击选择强化分页	NewUImain(Clone)/UIPanel(Clone)/ToggleGroup/IntensifyToggle	1	1	0
33	 引导装备强化	101,190	2,-90	点击强化装备	NewUImain(Clone)/UIPanel(Clone)/UIIntensify(Clone)/IntensifyInfo/Info/expend/IntensifyBtn	1	1	0
34	 引导装备强化	-60,-170	2,45	点击关闭界面	NewUImain(Clone)/UIPanel(Clone)/frame/closeBtn	1	1	0
10000	第一次添加好友	80,137	1,-45	点击社交按钮	NewUImain(Clone)/UInotice/SocietyBtn	0	1	0
