ID	Des	Order	Name	Icon	Level	Task	Award	Text	Bg	Model
ID索引	策划备注	展示顺序	功能名称	功能icon	需求角色等级	需求完成任务	赠送奖励	界面描述	调用背景图资源	显示的模型资源
int	string	int	string	string	int	int	int[]	string	string	string
ID索引	策划备注，方便查询	各种提示显示的顺序，领完前一个才能领后面的	填写对应的名称	配置主界面显示的对应功能ICON                    \n资源路径：Assets\ArtRes\ABPrefabs\DMNUI\Atlas\Guide	角色达到这个等级后可领取奖励	角色完成这个任务ID后可领取	满足条件后系统赠送给玩家的奖励\n\n配置方式：\n物品ID，物品数量	在引导提示界面的文字描述	配置引导提示界面不同功能对应的背景图资源ID\n资源路径：Assets\ArtRes\ABPrefabs\DMNUI\Atlas\Guide	配置界面上显示的对应模型资源的ID
3	0	3	1	1	3	3	3	1	1	1
1		1	功能1	mr	1	0	1000,1	策划配置领取物品的描述，暂定配置，后续版本调整，请无视此段话的内容，内容1	mingren	moxing1
2		2	功能2	zz	5	0	1001,1	策划配置领取物品的描述，暂定配置，后续版本调整，请无视此段话的内容，内容2	zhuozhu	moxing2
3		3	功能3	zuoqilingqu	10	0	1002,1	策划配置领取物品的描述，暂定配置，后续版本调整，请无视此段话的内容，内容3	zuoqizhanshitu	moxing3
4		4	功能4	mr	15	0	1000,2	策划配置领取物品的描述，暂定配置，后续版本调整，请无视此段话的内容，内容4	mingren	moxing4
10		10	功能10	mr	20	0	1001,2	策划配置领取物品的描述，暂定配置，后续版本调整，请无视此段话的内容，内容10	mingren	moxing5
11		11	功能11	zz	25	0	1002,2	策划配置领取物品的描述，暂定配置，后续版本调整，请无视此段话的内容，内容11	zhuozhu	moxing5
