ID	Probability	FailureAdd	Consume	count	Property	AnnouncementId
强化等级	强化基础概率	失败附加概率	强化物品消耗	强化银币消耗	强化属性百分比	强化公告
int	int	int	int[]	int	int	int
强化等级，初始默认均为0级	概率=万分比	概率=万分比	物品ID，物品数量\n从Item表找ID	银币的消耗	属性加成比例，\n比例=万分比	配置公告ID\n从公告表索引该ID
3	3	3	3	3	3	3
0	10000	0	40001,2	1000	0	1300002
1	10000	0	40001,4	2000	500	1300002
2	10000	0	40001,6	3000	1000	1300002
3	10000	0	40001,8	4000	1500	1300002
4	10000	0	40001,10	5000	2000	1300002
5	10000	0	40001,12	6000	2500	1300002
6	10000	0	40001,14	7000	3000	1300002
7	10000	0	40001,16	8000	3500	1300002
8	9500	500	40002,2	12000	4000	1300002
9	9000	500	40002,4	16000	4500	1300002
10	8500	500	40002,6	20000	5000	1300002
11	8000	500	40002,8	24000	5500	1300002
12	7500	500	40002,10	28000	6000	1300002
13	7000	500	40002,12	32000	6500	1300002
14	6500	500	40002,14	36000	7000	1300002
15	6000	500	40002,16	40000	7500	1300002
16	5700	300	40003,2	56000	8000	1300002
17	5400	300	40003,4	72000	8500	1300002
18	5100	300	40003,6	88000	9000	1300002
19	4800	300	40003,8	104000	9500	1300002
20	4500	300	40003,10	120000	10000	1300002
21	4200	300	40003,12	136000	10500	1300002
22	3900	300	40003,14	152000	11000	1300002
23	3600	300	40003,16	168000	11500	1300002
24	3300	300	40004,2	232000	12000	1300002
25	3000	300	40004,4	296000	12500	1300002
26	2700	300	40004,6	360000	13000	1300002
27	2400	300	40004,8	424000	13500	1300002
28	2100	300	40004,10	488000	14000	1300002
29	1800	300	40004,12	552000	14500	1300002
30	1500	300	40004,14	616000	15000	1300002
31	1200	300	40004,16	680000	15500	1300002
32	1000	200	40005,2	936000	16000	1300002
33	1000	200	40005,4	1192000	16500	1300002
34	1000	200	40005,6	1448000	17000	1300002
35	1000	200	40005,8	1704000	17500	1300002
36	1000	200	40005,10	1960000	18000	1300002
37	1000	200	40005,12	2216000	18500	1300002
38	1000	200	40005,14	2472000	19000	1300002
39	1000	200	40005,16	2728000	19500	1300002
40	1000	200	40005,16	2984000	20000	1300002
41	1000	200	40005,16	3240000	20500	1300002
42	1000	200	40005,16	3496000	21000	1300002
43	1000	200	40005,16	3752000	21500	1300002
44	1000	200	40005,16	4008000	22000	1300002
45	1000	200	40005,16	4264000	22500	1300002
46	1000	200	40005,16	4520000	23000	1300002
47	1000	200	40005,16	4776000	23500	1300002
