ID	Name	ItemTypeText	ItemText	ResId	ItemLevel	Occupation	ItemQuality	ItemType	ItemClassify	Sort	CostTime	UseEffect	Batch	UseCount	Remind	Stackable	Discard	OtherEffect	Sound	Model	QualityEffect	Announcement	Warehouse	bind	NoBindId	Intensify
索引	物品名称	物品短描述	物品长描述	物品icon	物品等级	职业需求	物品品质	物品类型	背包分页	物品背包排序	物品使用读条时间	使用效果	批量使用方式	使用次数	获得自动提醒使用	叠加上限	是否可丢弃	附加按钮显示	掉落音效	掉落模型	掉落品质特效	掉落公告	能否放入仓库	是否绑定	对应物品ID	是否来源于强化
int	string	string	string	string	int	int	int	int	int	int	int	string[]	int	int[]	int	int	int	int[]	string	string	string[]	int	int	int	int	int
物品ID的索引\n装备ID规则：\n职业：1战士、2法师、3射手\n来源：1掉落 2打造 3礼包\n部位：1、头盔；2、武器；3、衣服；4、项链；5、腰带；6、手镯；7、鞋子；8、戒指\n等级：001\n品质：1白色 2绿色 3蓝色 4紫色 5橙色 6红色\n1110011（战士掉落武器1级白色）	物品的文本名称\n最好不要超出8个字	短描述：4个字以内\n\n简单介绍该物品是个什么类型的物品，做啥用的	长描述：\n\n介绍物品的详细说明、用途、背景故事、、等一切你想写的东西	配置icon资源ID\n\n资源路径：Assets\ArtRes\ABPrefabs\DMNUI\Atlas\Icon\Item	即是物品的等级，又是物品的使用等级	不是该职业时，不能使用该物品\n\n0、通用\n1、战士\n2、法师\n3、射手\n4、刺客	物品的品质展示：\n\n1=白色\n2=绿色\n3=蓝色\n4=紫色\n5=橙色\n6=红色	1普通道具、2任务道具、3药品、4装备、5外观武器、6外观衣服、7外观发饰、8外观坐骑、9外观翅膀、10虚拟货币、11宝石、12经验宝石、13礼包、14强化石、15山海集碎片、20藏宝图	全部分页默认显示所有，无需配置\n每个物品只能配置1个分页\n\n0=不需要显示（货币类）\n1=装备分页\n2=宝石分页\n3=其他分页	背包不同分页中的顺序，值越小，越靠前\n值一样时根据物品ID排序，ID小的在前\n\n不通过这个字段控制配置-1（装备）	使用需要的读条时间\n不需要读条时，时间配0\n\n单位：毫秒	使用该道具时的效果\n0、无效果（参数：无）\n1、打开界面（参数1：界面ID）\n2、获得资源（参数1：资源类型，参数2：资源数量）\n3、获得BUFF（参数1：BUFF的ID）\n4、礼包（礼包表ID）\n5、宝图索引ID(宝图表)\n6、获得永久属性（属性id,数值）	0、不可批量（使用一次只能使用1个）\n1、批量，需选择（可以批量使用，需要手动选择数量）\n2、批量，自动选择（默认自动使用该格子上的所有物品）\n	0、不限制任何次数（0）\n1、每日可使用的次数（1，次数）	0、不提醒\n1、提醒	物品可堆叠上限，最少1\n（不同类型道具不能叠加）	0、不可丢弃\n1、可丢弃	配置方式：1，2，3，4\n选择哪个就显示哪个，根据配置的先后顺序显示。\n\n0、不显示本字段中的按钮\n1、展示物品\n2、装备洗炼\n3、装备重铸	该道具掉落时的音效	物品掉落的模型显示\n\n/前是路径（不要变）\n/后是ID，掉落哪个模型就显示哪个\n\n资源路径：\nAssets\ArtRes\ABPrefabs\ItemModel\n	该道具掉落时显示的特效	物品掉落的时候播放的公告。\n无公告配-1\n有公告时配公告ID	该物品能否放入仓库\n\n0、不能\n1、能	0、不绑定\n1、绑定	根据物品是否绑定配置\n\n若bind字段为不绑定，则这里配置绑定的ID\n\n若bind字段为绑定，则这里配置不绑定的ID\n\n对应物品ID规则：\n在物品ID前面加10000000	全部配置为0，该字段为服务器保存装备数据用
3	3	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	2	3	3	3	3
0	——虚拟货币			toumingditu	1	0	1	2	3	-1	0	0	1	0	0	99	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
1	元宝	货币	货币描述1	yuanbao	1	0	1	10	0	-1	0	0	1	0	0	-1	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
2	绑定元宝	货币	货币描述2	yuanbao_bd	1	0	1	10	0	-1	0	0	1	0	0	-1	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
3	金币	货币	货币描述3	jinbi	1	0	1	10	0	-1	0	0	1	0	0	-1	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
4	银币	货币	货币描述4	yinbi	1	0	1	10	0	-1	0	0	1	0	0	-1	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
5	经验	货币	货币描述5	jingyan	1	0	1	10	0	-1	0	0	1	0	0	-1	0	0	-1	itemmodel/1000	EffectPrefab\common\baodian\ef_common_baodian_01,EffectPrefab\common\wupindiaoluo\ef_common_wupin_trail_01	-1	1	1	-1	0
