ID	Type	Text	Time	Des	Content	Position	Channel
ID索引	提示类型	弹窗信息	拒绝倒计时	提示内容读取数据	提示文本内容	显示位置	显示频道
int	int	string[]	int	string	string	int	int[]
该ID用于程序索引\n索引ID后，读取ID后面配置的数据显示	1、弹窗提示\n2、文字提示\n3、走马灯提示\n4、公告提示\n5、输入框	该字段仅类型为1、5的弹窗会用到，其余类型配-1\n\n弹窗标题文本，弹窗取消按钮文本，弹窗确定按钮文本	只有类型为1的弹窗提示会用到该字段，其余类型均填0\n\n单位：毫秒\n配置的这个时间到达后，系统自动点击取消	策划备注	所有类型的文本内容均读取这里\n\n颜色配置格式#颜色值	是否在主界面上显示对应提示（只针对2、4两个类型的提示有效，其余类型配1即可）\n\n0、不显示\n1、显示	在不同的聊天频道显示：\n可同时在多个频道显示，逗号隔开\n\n0、不需要在这里显示\n1、聊天队伍频道\n2、聊天帮会频道\n3、聊天系统频道
3	3	1	1	0	3	3	3
1000001	2	-1	0	物品名称，物品数量（实际物品用）	获得{0}{1}个	1	0
1000002	2	-1	0	物品名称，物品数量（虚拟货币用）	获得{0}{1}	1	0
1000003	2	-1	0		请求进入场景失败!!	1	0
1000004	2	-1	0	读取物品的使用等级	等级不足，无法执行该操作	1	0
1000005	2	-1	0		职业不符，无法执行该操作	1	0
1000006	2	-1	0		该物品不能直接使用	1	0
1000007	2	-1	0		背包空间不足，无法使用该物品	1	0
1000008	4	-1	0	击杀怪物的玩家、击杀的怪物名称、掉落的物品名称	<color=#179eec>{0}</color><color=#ecc617>击杀</color><color=#179eec>{1}</color><color=#ecc617>掉落</color><color=#179eec>{1}</color><color=#ecc617>，真是含棒棒哦！</color>	1	0
1000009	2	-1	0		材料不足，无法原地复活	1	0
1000010	2	-1	0		该物品今日使用次数已上限	1	0
1000011	2	-1	0		仓库已满	1	0
1000012	2	-1	0		背包已满	1	0
1000013	2	-1	0		关注数量已达上限	1	0
1000014	2	-1	0		货架已满	1	0
1000015	2	-1	0		当前储存经验已达上限	1	0
1000016	2	-1	0		该功能尚未开启	1	0
1000017	2	-1	0		法力值不足，技能无法施放	1	0
1000018	2	-1	0		您的等级过高，无法进入该场景	1	0
1000019	2	-1	0		您的等级过低，无法进入该场景	1	0
1100001	5	组合名称修改,取消,确定	0		 	1	0
1200001	2	-1	0		含有违禁字符，无法执行该操作	1	0
1200002	2	-1	0		角色名重复，无法执行该操作	1	0
1200003	2	-1	0		暂未开放，敬请期待	1	0
1200004	1	温馨提示,取消,确定	0		因网络原因暂时无法连接至服务器，请检查网络后重试	1	0
1200005	2	-1	0		连接登录服务器失败，请检查网络	1	0
1200006	1	删除角色,取消,确定	0		角色删除后将无法恢复，是否确认删除？	1	0
1300001	3	-1	0		<color=#ecc617>福运，</color><color=#179eec>{0}</color><color=#ecc617>经过不断的努力，终于将</color><color=#179eec>{1}</color><color=#ecc617>强化等级提示到</color><color=#17ec1c>{2}</color><color=#ecc617>，就问还有谁？</color>	0	0
1300002	4	-1	0		<color=#ecc617>福运，</color><color=#179eec>{0}</color><color=#ecc617>经过不断的努力，终于将</color><color=#179eec>{1}</color><color=#ecc617>强化等级提示到</color><color=#17ec1c>{2}</color><color=#ecc617>，就问还有谁？</color>	1	0
1400001	2	-1	0		该部位未穿戴装备	1	0
1500001	1	材料不足,取消,前往	0		{0}数量不足，是否前往获取？	1	0
1600001	2	-1	0		队伍创建成功	1	0
1600002	2	-1	0		你成功设置为【静音模式】，不收听实时语音，并关闭了麦克风	1	0
1600003	2	-1	0		你成功设置为【收听模式】，收听实时语音，但关闭了麦克风	1	0
1600004	2	-1	0		你成功设置为【开麦模式】，收听实时语音，并开启了麦克风	1	0
1600005	2	-1	0	间隔剩余时间	操作过于频繁，请等待{0}秒后再试	1	0
1600006	2	-1	0		已邀请队员跟随自己	1	0
1600007	1	队伍邀请,拒绝,确认跟随	30000		队长发起了跟随邀请，是否跟随？	1	0
1600008	2	-1	0		正在跟随队长	1	0
1600009	2	-1	0		队长在你无法到达的区域，无法跟随	1	0
1600010	2	-1	0		跟随状态已取消	1	0
1600011	1	离开队伍,取消,离开队伍	0		是否确定离开队伍？	1	0
1600012	2	-1	0	离队的角色名称	{0}离开了队伍	1	0
1600013	1	解散队伍,取消,解散队伍	0		是否确定解散队伍？	1	0
1600014	2	-1	0		队伍已解散	1	0
1600015	2	-1	0		只有队长可以调整组队目标	1	0
1600016	2	-1	0	具体队伍目标名称	队伍目标成功切换为{0}	1	0
1600017	2	-1	0	被邀请人角色名称	已向{0}发起了组队邀请	1	0
1600018	2	-1	0	被邀请人角色名称	{0}不满足招募条件，无法加入你的队伍	1	0
1600019	1	队伍邀请,拒绝,同意邀请	30000	邀请人角色名、职业、等级	{0}（{1},{2}级）邀请你加入队伍	1	0
1600020	1	队伍邀请,拒绝,同意邀请	30000	邀请人角色名、职业、等级、队伍目标	{0}（{1},{2}级）邀请你加入队伍\n（目标：{3}）	1	0
1600021	2	-1	0	角色名名称	{0}加入了队伍	1	0
1600022	2	-1	0	角色名名称	{0}已下线	1	0
1600023	2	-1	0		目标队伍人员已满	1	0
1600024	2	-1	0		加入队伍失败，请稍后再试	1	0
1600025	2	-1	0	队长角色名	{0}拒绝了你的组队邀请	1	0
1600026	1	队伍邀请,拒绝,同意邀请	0	队员角色名，被邀请人角色名、职业、等级	队员{0}邀请{1}({2}，{3})加入队伍！	1	0
1600027	2	-1	0		队长已拒绝了您的本次邀请	1	0
1600028	2	-1	0	邀请间隔的时间	操作过于频繁，请等待{0}秒后再试	1	0
1600029	2	-1	0		请选择具体的组队目标，以进行一键喊话	1	0
1600030	2	-1	0		当前没有入队申请	1	0
1600031	2	-1	0		队伍人员已满	1	0
1600032	2	-1	0		该目标已下线	1	0
1600033	2	-1	0		目标状态异常，加入队伍失败	1	0
1600034	2	-1	0		请选择具体的组队目标，以进行自动匹配	1	0
1600035	2	-1	0		你已在一个队伍中，无法加入其他队伍	1	0
1600036	2	-1	0	申请的目标队伍队长角色名	已向{0}发起了入队申请	1	0
1600037	2	-1	0	拒绝你的队长名称	{0}拒绝了你的入队申请	1	0
1600038	2	-1	0		目标队伍信息已变更，请刷新列表	1	0
1600039	2	-1	0		你处于跟随模式，无法进行该操作，请退出跟随模式再试	1	0
1600040	2	-1	0	队伍目标，队伍目标区间（最小-最大），队伍当前人数	{0}（{1}-{2}级）进组啦~~（{3}/5）[立即申请入队]	1	0
1600041	2	-1	0		目标已加入了其他队伍	1	0
1600042	2	-1	0	等待时间的倒计时	发言过于频繁，请等待{0}秒	1	0
1600043	2	-1	0		关系再亲密，也要留点个人空间哦，请稍后再试	1	0
1600044	2	-1	0	需要目标的职业名称	这个动作只能对{0}使用哦	1	0
1600045	2	-1	0	需要与目标达到的友好度值	你们好友度不足{0}，无法使用该动作哦	1	0
1600046	2	-1	0		发言已取消	1	0
1600047	2	-1	0		时间过短，请长按发言	1	0
1600048	2	-1	0		加入帮会后才能在该频道发言	1	0
1600049	2	-1	0		加入队伍后才能在该频道发言	1	0
1600050	2	-1	0		请输入聊天内容	1	0
1600051	2	-1	0	对应聊天频道需要达到的等级	达到{0}级后才能在该频道发言	1	0
1600052	2	-1	0		请选择一个私聊对象	1	0
1600053	2	-1	0	消耗的银币数量	消耗了{0}银币	1	0
1600054	2	-1	0		银币不足，无法发送表情	1	0
1600055	2	-1	0		喇叭不足，无法进行喇叭喊话	1	0
1600056	2	-1	0		请输入喇叭喊话内容	1	0
1600057	2	-1	0		发送成功，因同时喊话人数较多，您的喊话已进入排队	1	0
1600058	2	-1	0		发送成功，因同时喊话人数较多，您的喊话已进入排队	1	0
1600059	2	-1	0		已有队伍	1	0
1600060	2	-1	0		没有队伍	1	0
1600061	2	-1	0		目标错误	1	0
1600062	2	-1	0		创建队伍错误	1	0
1600063	2	-1	0		不是队长	1	0
1600064	2	-1	0		队伍不存在	1	0
1600065	2	-1	0		队伍已满	1	0
1600066	2	-1	0		等级错误	1	0
1600067	2	-1	0		已经申请	1	0
1600068	2	-1	0		没有申请	1	0
1600069	2	-1	0		玩家不存在	1	0
1600070	2	-1	0		已经邀请	1	0
1600071	2	-1	0		没有邀请	1	0
1600072	2	-1	0		匹配中	1	0
1600073	1	转移队长,取消,确定	0		转移队长后，您将失去队长的权利！	1	0
1600074	2	-1	0		队长已同意邀请	1	0
1600075	2	-1	0	被踢出队伍的玩家名称	{0}被踢出了队伍	1	0
1600076	2	-1	0	新队长的名称	{0}成为了新的队长	1	0
1600077	1	温馨提示,算了,前往获取	0	识别不足的货币类型名称	{0}不足，是否前往获取！	1	0
1700001	2	-1	0		今日购买已达上限	1	0
1700002	2	-1	0		本周购买已达上限	1	0
1700003	2	-1	0	购买消耗的货币名称	{0}不足，无法购买	1	0
1700004	2	-1	0		购买成功	1	0
1700005	2	-1	0		已达到当前拥有货币可购买上限	1	0
1800001	2	-1	0	放弃任务失败提醒tips	放弃任务失败，请稍后再试	1	0
1800002	2	-1	0	主线任务放弃提醒tips	主线任务不可放弃(눈_눈)，加油做完哟╮(╯▽╰)╭	1	0
1800003	1	放弃任务,取消,确定	0		是否确定放弃任务？放弃任务后可从对应的NPC处再次接取。	1	0
1800004	2	-1	0	背包满时无法完成任务	背包已满，无法完成任务	1	0
1800005	2	-1	0		任务状态错误，提交任务失败	1	0
1800006	2	-1	0		找不到该任务，提交任务失败	1	0
1800007	2	-1	0		没有任务列表，提交任务失败	1	0
1800008	2	-1	0		任务状态错误，接取任务失败	1	0
1800009	2	-1	0		当前等级不足，无法接取任务	1	0
1800010	2	-1	0		任务id无效，接取任务失败	1	0
1800011	2	-1	0		任务已经完成，不能重复接取	1	0
1800012	2	-1	0		找不到相关任务数据，接取任务失败	1	0
1800013	2	-1	0		数据不一致，接取任务失败	1	0
1800014	2	-1	0		你已经领取过每日任务啦，快去完成吧！	1	0
1800015	2	-1	0		等级不足，无法接取每日任务！	1	0
1800016	2	-1	0		背包内没有{0}，无法完成任务！	1	0
1900001	2	-1	0		当前等级不足，无法进入该副本	1	0
1900002	2	-1	0	道具名称	{0}数量不足，无法进入副本	1	0
1900003	2	-1	0	副本开放时间	当前副本不在开放时间	1	0
1900004	1	退出副本，取消，确认退出	9000	退出副本弹窗	退出副本后将丢失所有进度	1	0
1900005	2	-1	0		没有队伍无法进入副本	1	0
1900006	2	-1	0		队员无法发起进入副本请求	1	0
1900007	2	-1	0		队伍人数不足无法进入副本	1	0
1900008	2	-1	0		你已拒绝此次副本请求	1	0
1900009	1	退出队伍，取消，确认退出	9000	退出队伍弹窗	退出队伍后将立即离开副本	1	0
1900010	2	-1	0	10秒倒计时	{0}秒后将被传送出副本	1	0
1900011	2	-1	0		当日次数已用完，无法进入副本	1	0
1900012	2	-1	0		{0}等级不足,无法进入副本	1	0
1900013	2	-1	0		{0}进入副本次数不足	1	0
1900014	2	-1	0		{0}处于不可进入进入状态，无法进入副本	1	0
1900015	2	-1	0		{0}拒绝了此次请求，队伍无法进入副本	1	0
1900016	2	-1	0		您已退出副本，无法再次进入	1	0
1900017	2	-1	0		副本内不可解散队伍	1	0
1900018	2	-1	0		副本内不可踢出队员	1	0
1900019	2	-2	0		副本内无法进行此队伍操作	1	0
1900050	1	每日任务，不再领取，继续领取	9000	每日20次任务弹窗	今日已完成20次日常任务，是否继续领取？	1	0
2000001	1	背包解锁,取消,确定	30000		确定花费{0}银币解锁{1}个背包格子吗？	1	0
2000002	2	-1	0	需要角色达到的等级	需要角色达到{0}级才可解锁	1	0
2000003	2	-1	0		您的整理过于频繁，请稍后再试	1	0
2000004	2	-1	0		背包剩余空间不足，请及时清理背包	1	0
2000005	2	-1	0		背包已满，请尽快清理背包	1	0
2000006	2	-1	0		银币不足，您可以通过兑换获得	1	0
2000007	1	物品丢弃,取消,确定	30000		该物品丢弃后将被销毁，确定？	1	0
2000008	1	仓库解锁,取消,确定	30000		确定花费{0}银币解锁{1}个仓库格子吗？	1	0
2000009	2	-1	0		需要角色达到{0}级才可解锁	1	0
2000010	2	-1	0		该物品不能存如仓库	1	0
2000011	2	-1	0		仓库已满	1	0
2000012	2	-1	0		背包已满	1	0
2100001	2	-1	0		新的分组创建成功	1	0
2100002	2	-1	0		成功删除聊天记录！	1	0
2100003	2	-1	0		请输入玩家昵称	1	0
2100004	2	-1	0		成功添加{0}为好友	1	0
2100005	2	-1	0		黑名单添加成功	1	0
2100006	2	-1	0		好友人数已满	1	0
2100007	2	-1	0		黑名单人数已满	1	0
2100008	2	-1	0		仇人列表已满	1	0
2100009	2	-1	0		你不在对方好友列表中，无法执行该操作	1	0
2100010	2	-1	0		设置分组成功	1	0
2100011	1	删除分组,取消,确定	0	要删除的分组组名	是否删除分组：{0}?	1	0
2100012	2	-1	0		删除分组成功	1	0
2100013	2	-1	0	被删除的好友名称	真可惜，你与{0}断绝了好友关系！	1	0
2100014	2	-1	0	被删除的仇人名称	你成功解除了与{0}的敌对关系！	1	0
2100015	2	-1	0		黑名单删除成功	1	0
2100016	2	-1	0		尚未建立新的分组，操作无效	1	0
2100017	2	-1	0		更换分组成功	1	0
2100018	2	-1	0		成功处理所有申请信息	1	0
2100019	2	-1	0		群聊创建数已达上限	1	0
2100020	2	-1	0		群聊创建成功	1	0
2100021	2	-1	0		请输入群聊名称	1	0
2100022	2	-1	0		请输入群公告内容	1	0
2100023	2	-1	0	群聊成员人数上限值	最多同时邀请{0}个群成员	1	0
2100024	2	-1	0		分组数量已达上限	1	0
2100025	2	-1	0		该分组名已存在	1	0
