ID	Name	Monsterid	MapID	xyz	range	number	wave	angle	Patrol	Camp
 索引	怪物名称	 怪物id	地图ID	坐标	范围	数量	波次	朝向	巡逻路径	怪物阵营
int	string	int	int	float[]	int	int	int	float[]	float[]	int
序号	名称文本	怪物id	怪物所在的地图ID	xyz轴坐标	以坐标为中心的扩散范围（单位M）	怪物数量	相同波次的怪同时出现（副本用）	怪物的面向\n（X,Y,Z)\n通过这个三维值算出怪物的面向	方式一：（半径，间隔，移速）\n半径：米  间隔：毫秒   移速：厘米\n\n方式二：巡逻停留最小值，巡逻停留最大值，移速，巡逻坐标X,Y,Z，巡逻坐标X,Y,Z（来回巡逻）\n\n方式三：巡逻停留最小值，巡逻停留最大值，移速，巡逻坐标X,Y,Z，巡逻坐标X,Y,Z（单次巡逻）\n\n不巡逻填-1	怪物阵营\n0：无阵营，攻击任何玩家\n1：蓝方阵营，协同蓝方玩家作战，攻击红方玩家\n2：红方阵营，协同红方作战，攻击蓝方玩家
3	0	3	3	3	3	3	3	3	3	3
10000	——黛眉山	10001	99999	313.2,13.0,362.7	0	1	0	0,0,1	31500500	0
10001	䳋渠	10001	100	313.2,13.0,362.7	0	1	0	0,0,1	3,1500,500	0
10002	䳋渠	10001	100	318.1,13.0,360.1	0	1	0	0,0,1	3,1500,500	0
10003	䳋渠	10001	100	315.5,11.9,355.9	0	1	0	0,0,1	3,1500,500	0
10004	䳋渠	10001	100	322.6,13.0,355.6	0	1	0	0,0,1	3,1500,500	0
10005	䳋渠	10001	100	318.0,11.9,352.4	0	1	0	0,0,1	3,1500,500	0
10006	䳋渠	10001	100	320.1,12.5,344.3	0	1	0	0,0,1	3,1500,500	0
10007	䳋渠	10001	100	321.4,12.4,337.1	0	1	0	0,0,1	3,1500,500	0
10008	䳋渠	10001	100	326.0,12.5,339.8	0	1	0	0,0,1	3,1500,500	0
10009	䳋渠	10001	100	326.8,12.5,333.8	0	1	0	0,0,1	3,1500,500	0
10010	䳋渠	10001	100	319.5,12.8,356.5	0	1	0	0,0,1	3,1500,500	0
10011	䳋渠	10001	100	324.2,12.5,351.4	0	1	0	0,0,1	3,1500,500	0
10012	嚻	10002	100	266.6,14.2,221.2	0	1	0	0,0,1	3,1500,500	0
