ID	Name	FunctionName	Title	Map	xyz	Range	Angle	VisualType	Open	Function	TypeName	FunctionParameter	DefaultTalk	ResId	Bubbling	MapDisplay
索引	NPC名称	NPC功能名称	NPC称号	地图	NPC所在位置	碰撞范围	NPC角度	NPC可见类型	NPC打开方式	功能类型	类型名称	功能参数	默认对白	模型资源	冒泡	小地图显示规则
int	string	string	string	int	float[]	float	float[]	int[]	int	int	string	string	string	int[]	string	int
ID组成：\n场景ID：NPC所在场景\nNPC序号：01-99	NPC名称配置\n-1不显示	NPC功能名称配置	配置NPC称号\n美术资源ID	npc所在地图id	NPC坐标位置\nX,Y,Z的坐标	半径，默认圆形\n关联NPC打开方式	角度，NPC面向\n默认的面向	在主屏幕上能否看到NPC\n所有玩家可见：0\n指定任务可见：1，任务ID	0、点击打开\n1、触碰打开\n关联NPC碰撞	多个功能集合用，隔开\n0、没有功能\n2、进入副本\n3、打开界面\n4、每日任务（类型）\n5、副本传送型NPC	对应功能类型的按钮名称	和 Function 字段一一对应\n0、没有功能\n2、副本ID\n3、界面ID\n4、任务的类型\n5、副本ID	默认对白文本\n\n为换行符	NPC模型资源ID\n（外观表）	NPC随机冒泡内容	0、什么都不显示\n1、仅显示一个点\n2、显示点+NPC名称
3	3	3	1	3	3	1	1	1	1	3	1	3	1	1	1	1
10000	——黛眉山	-1	-1	999999	0,0,0	0	0,0,1	0	0	0	-1	0	-1	999999,999999,999999,999999	-1	0
10001	精卫	<奇怪的小女孩>	-1	100	279.7,7.7,350.1	3	0,0,1	0	0	0	-1	0	觉得冷的话，就练练轻功去	8,999999,999999,999999	咕噜咕噜~	1
10002	李英	<受伤的战五渣>	-1	100	331.0,12.3,321.1	3	0,0,1	0	0	0	-1	0	天下武功为快不破	7,999999,999999,999999	咕噜咕噜~	1
10003	青衣	<药师>	-1	100	347.8,21.5,249.7	3	0,252,0	0	0	0	-1	0	花未凋，月未缺，人就在天涯，呵，一切都很好	7,999999,999999,999999	-1	1
10004	王道灵	<村长>	-1	100	328.8,21.4,213.5	3	0,0,1	0	0	0	-1	0	这人难道是疯子	7,999999,999999,999999	-1	1
10005	李英	<战五渣>	-1	100	347.8,21.5,253.2	3	0,270,0	0	0	0	-1	0	统统给我闭嘴	7,999999,999999,999999	-1	1
10006	王大贵	<受惊的村民>	-1	100	297.9,21.4,239.8	3	0,0,1	0	0	0	-1	0	中原的五花肉真便宜	8,999999,999999,999999	-1	1
10007	精卫	<即将领盒饭>	-1	100	259.6,13.5,208.0	3	0,0,1	0	0	0	-1	0	哪有什么好人，哪有什么坏人	7,999999,999999,999999	-1	1
10008	王道灵	<救治精卫>	-1	100	260.9,14.7,165.7	3	0,0,1	0	0	0	-1	0	今朝有酒今朝醉，哪管明日喝白水	7,999999,999999,999999	-1	1
10009	虚空	<钢筋混泥土瞬间移动师>	-1	100	335.7,22.2,122.9	3	0,232,0	0	0	0	-1	0	江湖颠簸，不如把东西放在我这	7,999999,999999,999999	-1	1
