ID	FC	Parameter1	Parameter2
ID索引	战斗力阶段	匹配参数1	匹配参数2
int	int[]	int[]	int[]
ID索引	最小战斗力，最大战斗力	3V3匹配，基础值，基础增加值，最大值	15v15匹配，基础值，基础增加值，最大值
3	3	3	3
1	0,5000	200,200,1200	500,500,3000
2	5001,10000	400,400,2400	1000,1000,6000
3	10001,15000	600,600,3600	1500,1500,9000
4	15001,20000	800,800,4800	2000,2000,12000
5	20001,25000	1000,1000,6000	2500,2500,15000
6	25001,30000	1200,1200,7200	3000,3000,18000
7	30001,35000	1400,1400,8400	3500,3500,21000
8	35001,40000	1600,1600,9600	4000,4000,24000
9	40001,45000	1800,1800,10800	4500,4500,27000
10	45001,50000	2000,2000,12000	5000,5000,30000
11	50001,55000	2400,2400,14400	5500,5500,33000
12	55001,60000	2800,2800,16800	6000,6000,36000
13	60001,65000	3200,3200,19200	7000,7000,42000
14	65001,70000	3600,3600,21600	8000,8000,48000
15	70001,75000	4000,4000,24000	9000,9000,54000
16	75001,80000	4400,4400,26400	10000,10000,60000
17	80001,85000	4800,4800,28800	11000,11000,66000
18	85001,90000	5200,5200,31200	12000,12000,72000
19	90001,95000	5600,5600,33600	13000,13000,78000
20	95001,100000	6000,6000,36000	14000,14000,84000
21	100001,105000	6800,6800,40800	15000,15000,90000
22	105001,110000	7600,7600,45600	16000,16000,96000
23	110001,115000	8400,8400,50400	17000,17000,102000
24	115001,120000	9200,9200,55200	18000,18000,108000
25	120001,125000	10000,10000,60000	19000,19000,114000
26	125001,130000	10800,10800,64800	20000,20000,120000
27	130001,135000	11600,11600,69600	21000,21000,126000
28	135001,140000	12400,12400,74400	22000,22000,132000
29	140001,145000	13200,13200,79200	23000,23000,138000
30	145001,150000	14000,14000,84000	24000,24000,144000
