ID	Name	Type	Head	ResId	Modelzoom	BloodNum	Birthrule	Isshare	SkillReleaseId	Corpse	Revive	baseAiID	MonsterLevel	BaseAttribute	DropGroupID	bubble	frequency	MapDisplay
怪物ID	怪物名称	怪物类别	头像	模型编号	 模型缩放	血条层数	重生规则	任务是否共享	技能释放ID	尸体时间	重生周期	通用AIID	怪物等级	属性组id	掉落组ID	说话	说话频率	小地图显示
int	string	int	int	int[]	float	int	int	int	int[]	int	int	int	int	int	int[]	string	int	int
ID组成：\n场景ID：NPC所在场景\n怪物序号：01-99	名称文本	不同头像框UI，是否显示名字，任务寻路等\n1=普通怪\n2=精英怪\n3=小BOSS怪\n4=大BOSS怪\n5=世界BOSS\n	怪物头像资源\n只有boss有需求	怪物的模型，读取时装表的ID\n\n身体、头发、武器	模型缩放(缩小)比例\n1:不缩放\n填对应的数字则放大对应倍数	怪物的血量层数	怪物复活时是否添加buff\nbuff,等级	A和B同时接取了任务1，击杀指定怪物，共享后A击杀了，B只要在这个范围内，B也算击杀了\n只有接取了击杀同类怪物ID的任务时才生效\n填-1改字段无效	填SkillRelease表中对应的id	尸体停留时间\n（秒）	死亡后间隔多久复活(秒）\n不重生填-1	填baseAi表中对应的ID	怪物的具体等级	10角色-ActorAttributeTable\n属性id=属性组id*1000+怪物LV	掉落组表-DropGroupTable\n没掉落需要填0	怪物说话内容	间隔时间\n（毫秒）	0 == 不显示 \n1 == 在小地图上显示 \n
3	3	3	1	1	1	1	3	3	3	3	3	3	3	3	2	1	1	3
10000	——黛眉山	1	0	0	1	1	0	-1	1000101	0	0	0	0	0	0	0	0	0
10001	䳋渠	1	0	10001,999999,999999,999999	1	1	0	-1	1000101	2	3	99998	1	11	310201	0	0	0
10002	嚻	1	0	10002,999999,999999,999999	1	1	0	-1	1000201	2	3	99998	1	11	310201	0	0	0
10003	竦斯	2	0	10003,999999,999999,999999	1	1	0	-1	1000301,100302	2	3	99998	1	11	310201	0	0	0
10004	孟极	2	0	10004,999999,999999,999999	1	1	0	-1	1000401	2	3	99998	1	11	310201	0	0	0
10005	鸪鸟	3	0	10005,999999,999999,999999	2	5	0	-1	1000501,1000502,1000503,1000504,1000505	2	3	99998	1	11	310201	0	0	0
30100	——新手本	1	0	0	1	1	0	-1	1000101	0	0	0	0	0	0	0	0	0
30101	狼牙守卫	1	0	10001,999999,999999,999999	1	1	0	-1	1000101	2	-1	99998	1	11	310201	0	0	0
30102	烽火刀客	1	0	10002,999999,999999,999999	1	1	0	-1	1000201	2	-1	99998	1	11	310201	0	0	0
30103	黑暗武士	1	0	10002,999999,999999,999999	1	1	0	-1	1000201	2	-1	99998	1	11	310201	0	0	0
30300	——镜像本	1	0	0	1	1	0	-1	1000101	0	0	0	0	0	0	0	0	0
30301	嚻	1	0	10002,999999,999999,999999	1	1	0	-1	1000201	2	-1	99998	6	11	310201	0	0	0
30302	竦斯	1	0	10003,999999,999999,999999	1	1	0	-1	1000301	2	-1	99998	6	11	310201	0	0	0
30303	鸪鸟	1	0	10005,999999,999999,999999	2	1	0	-1	1000501	2	-1	99998	6	11	310201	0	0	0
900001	——世界BOSS	1	0	0	1	1	0	-1	1000101	0	0	0	0	0	0	0	0	0
90000	测试BOSS1	5	90000	10001,999999,999999,999999	2	10	0	-1	1000101	2	-1	99998	6	11	310201	0	0	0
90001	测试BOSS2	5	90001	10001,999999,999999,999999	2	10	0	-1	1000101	2	-1	99998	6	11	310201	0	0	0
90002	测试BOSS3	5	90002	10001,999999,999999,999999	2	10	0	-1	1000101	2	-1	99998	6	11	310201	0	0	0
90003	测试BOSS4	5	90003	10001,999999,999999,999999	2	10	0	-1	1000101	2	-1	99998	10	11	310201	0	0	0
90004	测试BOSS5	5	90004	10001,999999,999999,999999	2	10	0	-1	1000101	2	-1	99998	10	11	310201	0	0	0
9999900	——召唤物	1	0	0	1	1	0	-1	1000101	0	0	0	0	0	0	0	0	0
9999901	召唤物一号	1	0	10001,999999,999999,999999	1	1	0	-1	1000101	2	-1	999999	1	11	-1	0	0	0
9999902	召唤物二号	1	0	10002,999999,999999,999999	1	1	0	-1	1000101	2	-1	999999	1	11	-1	0	0	0
9999903	召唤物三号	1	0	10003,999999,999999,999999	1	1	0	-1	1000101	2	-1	999999	1	11	-1	0	0	0
9999904	召唤物四号	1	0	10004,999999,999999,999999	1	1	0	-1	1000101	2	-1	999999	1	11	-1	0	0	0
