ID	Des	Type	MapId	Xyz	FormType	Form
区域ID	区域名称	区域类型	关联场景	中心坐标	形状类型	形状
int	string	int	int	float[]	int	int[]
区域ID\n地图ID+序号	策划备注，这个区域是干嘛的	0、无任何效果\n1、安全区	这个区域在哪个场景里	区域模块的中心坐标点\nX，Y，Z	1、圆柱体\n2、长方体	1、半径（米）\n2、长，宽，高（米）
3	0	3	3	3	3	3
99999	创建角色场景	0	99999	23.15,48.47,53.62	2	0,0
10000	——新手村	0	999999	0,0,0	1	1
100001	黛眉山出生点	0	100	259,8.38,349.22	2	7,1,7
100002	神都传黛眉山落脚点	0	100	287.7401,7.78921,349.7959	1	1
100003	黛眉山传神都落脚点	0	100	311.2695,12.51362,331.469	1	1
101001	神都出生点	0	101	328.5776,21.2064,248.1095	1	4
992000	黛眉山测试落脚点	0	100	262.8535,7.117783,334.4438	1	1
992001	黛眉山传测试场景1落脚点	0	99200	262.8535,7.117783,334.4438	1	1
992002	测试场景2落脚点	0	99201	262.8535,7.117783,334.4438	1	1
992003	测试场景3落脚点	0	99202	262.8535,7.117783,334.4438	1	1
992004	测试场景4落脚点	0	99203	262.8535,7.117783,334.4438	1	1
992005	测试场景5落脚点	0	99204	262.8535,7.117783,334.4438	1	1
992006	测试场景6落脚点	0	99205	262.8535,7.117783,334.4438	1	1
10099	黛眉寨传出区域	0	100	383.7,25.6,232.9	1	5
30100	——黛眉寨副本	0	999999	0,0,0	1	1
30101	第一次进入区域	0	301	266.9,7.8,350.3	1	5
30102	第二次进入区域	0	301	307.7,11.9,354.8	1	10
30103	第三次进入区域	0	301	328.3,16.1,305.6	1	10
30199	出生区域	0	301	257.3,7.9,350.1	1	5
30200	——多人测试	0	999999	0,0,0	1	1
30201	第一次进入区域	0	302	266.9,7.8,350.3	1	5
30299	出生区域	0	302	257.3,7.9,350.1	1	5
30300	——镜像	0	999999	0,0,0	1	1
30399	出生区域	0	303	257.3,7.9,350.1	1	5
40100	——生存挑战副本	0	999999	0,0,0	1	1
40101	第一次进入区域	0	301	266.9,7.8,350.3	1	5
