ID	IntVar	IntVars	StringVar	StringVars	FloatVar	FloatVars	Remark
索引	参数1	参数2	参数3	参数4	参数5	参数6	策划说明
int	int	int[]	string	string[]	float	float[]	string
ABCDEF\nAB：参数表=16	对应参数						备注说明
3	3	3	3	3	3	3	0
1	48	0	0	0	0	0	满级强化等级
2	8	0	0	0	0	0	装备部位数
3	15	0	0	0	0	0	自动拾取的范围（单位米）
4	60000	0	0	0	0	0	掉落物品存活时间（单位毫秒）
5	5	0	0	0	0	0	组队最大人数
6	5	0	0	0	0	0	掉落物品散开的最大距离（单位米）
7	0	0	0	0	0.25	0	掉落物品格子大小（单位;平方米）
8	10000	0	0	0	0	0	物品自动拾取时间（单位毫秒）
9	24	0	0	0	0	0	技能组合名称最大字符数
10	1	0	0	0	0	0	世界聊天频道需求等级
11	1	0	0	0	0	0	队伍聊天频道需求等级
12	1	0	0	0	0	0	帮会聊天频道需求等级
13	1	0	0	0	0	0	私聊聊天频道需求等级
14	1	0	0	0	0	0	喇叭聊天频道需求等级
15	3000	0	0	0	0	0	世界频道聊天间隔（毫秒）
16	60	0	0	0	0	0	文字聊天最大字数
17	60000	0	0	0	0	0	语音聊天最大时长（毫秒）
18	500	0	0	0	0	0	话筒长按反映最短时间（毫秒）
19	30000	0	0	0	0	0	喇叭喊话最大显示时长（毫秒）
20	3000	0	0	0	0	0	喇叭喊话最短显示时长（毫秒）
21	3	0	0	0	0	0	每个部位用于宝石槽位数
22	1	 1,10,20	0	0	0	0	对应槽位的解锁等级
23	0	1000,3000	0	0	0	0	公告显示最小时长，最大时长（毫秒）
24	0	100,1000	0	0	0	0	文字提示停留时间（毫秒）
25	2000	0	0	0	0	0	寻路触发的传送读条时间（毫秒）可打断
31	100	0	0	0	0	0	好友聊天消息存储条数
32	30000	0	0	0	0	0	聊天时间出现间隔
33	3	0	0	0	0	0	好友人数上限（人数）
34	2	0	0	0	0	0	黑名单人数上限（人数）
35	1	0	0	0	0	0	仇人人数上限（人数）
