ID	Award	Attenuation
ID索引	获得荣誉	奖励衰减
int	int	int[]
排名ID索引	荣誉值	衰减次数，衰减比例（万分比）
3	3	3
1	10000	5,5000
2	9700	5,5000
3	9400	5,5000
4	9100	5,5000
5	8800	5,5000
6	8500	5,5000
7	8200	5,5000
8	7900	5,5000
9	7600	5,5000
10	7300	5,5000
11	7000	5,5000
12	6700	5,5000
13	6400	5,5000
14	6100	5,5000
15	5800	5,5000
16	5500	5,5000
17	5200	5,5000
18	4900	5,5000
19	4600	5,5000
20	4300	5,5000
21	4000	5,5000
22	3700	5,5000
23	3400	5,5000
24	3100	5,5000
25	2800	5,5000
26	2500	5,5000
27	2200	5,5000
28	1900	5,5000
29	1600	5,5000
