ID	Job	Name	Dec	GroupSkill	Level
组合ID	职业	组合名称	组合说明	组合内的技能	解锁等级
int	int	string	string	int[]	int
ID索引	1、战士\n2、法师\n3、射手	推荐组合的名称	推荐组合的偏向说明\n控制字数，10字以内	技能ID，技能ID，技能ID	组合解锁的等级需求
3	3	3	1	3	3
1	1	推荐组合1	暴力流	1000,1010,1020,1030,1040	1
2	1	推荐组合2	生存流	1000,1010,1020,1030,1040	10
3	1	推荐组合3	逃命流	1000,1010,1020,1030,1040	20
4	2	推荐组合1	暴力流	2000,2010,2020,2030,2040	1
5	2	推荐组合2	生存流	2000,2010,2020,2030,2040	10
6	2	推荐组合3	逃命流	2000,2010,2020,2030,2040	20
7	3	推荐组合1	暴力流	3000,3010,3020,3030,3040	1
8	3	推荐组合2	生存流	3000,3010,3020,3030,3040	10
9	3	推荐组合3	逃命流	3000,3010,3020,3030,3040	20
10	4	推荐组合1	暴力流	4000,4010,4020,4030,4040	1
11	4	推荐组合2	生存流	4000,4010,4020,4030,4040	10
