ID	LongDescribe	Critical	HarmType	AttributeObj	Attribute	MinAdd	MaxAdd	MinAddUpgrade	MaxAddUpgrade	MinValue	MaxValue	MinValueUpgrade	MaxValueUpgrade	Hatred	HatredUpgrade
ID	长描述	暴击判定	伤害类型	结算属性对象	结算属性	万分比下限	万分比上限	万分比下限增量	万分比上限增量	固定初始值下限	固定初始值上限	固定值下限增量	固定值上限增量	初始仇恨值	仇恨值每级增加
int	string	int	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int	int
技能ID索引\n职业：1、2、3、4、5、6\n技能：技能ID\n000（普攻）、010、020、030、040\n范例：\n战士第1个技能  1010\n	技能的具体描述	该技能攻击在结算伤害前，是否需要进行暴击判定，\n0：否\n1：是	0.无伤害（护盾类技能）\n1.物理伤害；\n2.法术伤害；\n3.真实伤害；\n技能攻击的伤害类型共分为三种：物理伤害，法术伤害和真实伤害；伤害类技能会同时包含其中的一种或者多种伤害；在现有职业中，战士以物理伤害为主，法师以法术伤害为主。\n	0.不结算任何属性\n1.自身\n2.敌方	0.不结算任何属性\n1~28.对应AttributeTypeTable表中定义的属性	属性加成值为[属性加成初始值下限+属性加成等级成长值下限*（等级-1），属性加成初始值上限+属性加成等级成长值上限*（等级-1）]之间的随机值；若没有区间，则下限和上限一样即可；万分比	万分比	万分比	万分比	固定值为[固定初始值下限 +固定等级成长值下限*（等级-1），固定初始值上限+固定等级成长值上限*（等级-1）]之间的随机值；若没有区间，则下限和上限一样即可；具体值	具体值	具体值	具体值	该技能释放时附加的初始仇恨值，技能仇恨值=初始仇恨值+仇恨值每级增加*（等级-1）	仇恨值每级增加
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1000	战士普攻1，对身前目标造成伤害	0	1	1	3	10000	10000	1000	1000	10	10	10	10	100	10
1001	战士普攻2，对身前目标造成伤害	0	1	1	3	10000	10000	1000	1000	10	10	10	10	100	10
1002	战士普攻3，对身前目标造成伤害	0	1	1	3	10000	10000	1000	1000	10	10	10	10	100	10
1010	横扫身前敌军，对最多6个单位造成X点伤害	0	1	1	3	10000	10000	1000	1000	10	10	10	10	120	12
1020	嘲讽自身4米范围内最多6个目标，并附加X点伤害（嘲讽对人无效）	0	1	1	3	10000	10000	1000	1000	10	10	10	10	10000	14
1030	向目标跳跃，对直线上的敌方单位造成伤害并眩晕2秒	0	1	1	3	10000	10000	1000	1000	10	10	10	10	170	17
1040	快速出剑，1秒内对目标区域最多6个目标连续攻击5次	0	1	1	3	10000	10000	1000	1000	10	10	10	10	200	20
1050	增加攻击	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1051	增加防御	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1900	通用跳跃	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	对目标造成{H1}+{X1}-{Y1}的物理攻击伤害和{H2}-{J2}+{X2}-{Y2}的法术攻击伤害。	0	2,1	1,1	4,3	8000,5000	10000,5000	100,0	200,0	5,5	8,8	0,0	0,0	20	2
2001	对目标造成{H1}+{X1}-{Y1}的物理攻击伤害和{H2}-{J2}+{X2}-{Y2}的法术攻击伤害。	0	2	1	4	10000	10000	1000	1000	10	10	10	10	20	2
2010	使用雷光攻击直线上最多6个敌人，造成（X+lv*N)%+(Y+Lv*M)点法术伤害	0	2	1	4	10000	10000	1000	1000	10	10	10	10	24	2
