ID	Name	ShortDescribe	SkillType	Lock	AttackEffect	WarningScope	EarlyWarning	ConjureDistance	ScopeEffect	SelfMotion	Distance	Action	ActionDuration	Effect	ProgressBar	Break	ScreenShake	SoundEffect	SkillIcon	NearTableId	Displacement	SummonDelay	SummonID	TriggerDelay	BuffTriggerId	NextSkillId	ValidTime	MemoryTime	CdGroup	Profession	Type	ClearLevel	Slot	CoolingTime	CoolingTimeUpgrade	MP	MPUpgrade	MPC	MPCUpgrade	ItemID
ID	名称	短描述	技能类型	技能释放中心（释放类型）	释放中心产生的特效	指示范围	范围指示特效	施法距离	范围特效	自动搜索方式	辅助锁定距离	动作	动作持续时间	以自己为中心的特效	是否显示读条	是否可被打断	屏幕震动	释放技能音效	技能ICON	碰撞对象ID	位移ID	召唤延迟时间	召唤物ID	召唤延迟时间	触发器ID	连击的下一个技能ID	多久内有效	操作记忆时间	公共CD组	职业限制	技能类型细分	解锁等级	槽位限制	冷却时间	冷却时间增量	法力消耗（固定值）	法力消耗（固定值）每级增加	初始法力消耗（万分比）	法力消耗（万分比）每级增加	消耗物品
int	string	string	int	int	int	float[]	string	float	string	int	float	string[]	int[]	int[]	int[]	int[]	table	string	string	int	int	int[]	int[]	int[]	int[]	int	int	int[]	int	int	int	int	int	int	int	int	int	int	int	int[]
技能ID索引\n职业：1、2、3、4、5、6\n技能：套数、槽位、连击\n000（普攻）、010、020、030、040\n范例：\n战士第1个技能  1010\n	技能的名称	技能2-4个字的简短描述	1、主动技能\n2、被动技能	单体技能不读collision表SearchTarget、Scope、SearchMode字段\n1.单-对自己释放\n2.群-完全无目标（可空放）\n3.群-指定范围释放（双摇杆拖出小圆区域后释放，即需要摇杆点）\n4.群-指定敌人目标为中心（以锁定目标为中心释放）\n5.单-对单个敌人释放	根据LOCK类型确定特效释放点：\n1-配Effect字段\n2-配Effect字段\n3-指定区域\n4-锁定目标\n5-锁定目标	0、这个字段无效的时候配置（近战锁定单个目标打1个人的时候不需要范围）\n2、扇形，参数1角度，参数2半径米，高\n3、矩形，参数1长度，参数2宽度，高\n	按住技能时会显示技能的方向和范围\n直线：Dragon Arrow\n扇形：Frost Blast\n点圆：Frost Nova	单位：米\n\n说明：\n对自己、对地距离填1即可\n为指定目标、范围释放时，需要填距离\n	按住技能时会显示技能的攻击距离范围\n\n需要时配置资源ID\n不需要时配置-1	1、无搜索\n2、最近敌方（技能范围）\n	额外锁定的距离	前摇，吟唱，施法，后摇\n逗号隔开每个动作，当没有动作时，配置-1	前摇，吟唱，施法，后摇\n（毫秒）\n持续时间最低为0	需要播放的特效	前摇，吟唱，施法，后摇\n0不显示\n1显示	前摇，吟唱，施法，后摇\n0不可以\n1可以\n说明：音效挂到施法动作上，当动作被打断时，则音效、特效对应中止	{触发时间（从前摇开始算：毫秒），震动X轴，震动Y轴，震动Z轴}\n当没有震动时填-1	这里为施法时间内播放的音效	配置技能ICON的资源ID\n（统一配置正方形，圆形部分程序自己加遮罩挡住）	对应\nNearTable表\n中的ID\n\n不需要的时候配-1	读取位移表的ID，控制释放技能是的位移情况	单位=毫秒\n从技能前摇开始计算（技能释放成功那一刻）\n这个时间过后检测第一次伤害	对应\nSummonTable\n表中的ID\n可关联多个	单位=毫秒\n从技能前摇开始计算（技能释放成功那一刻）\n这个时间过后检测第一次伤害	对应\nTriggerTable\n表中的ID\n可关联多个（由自己触发）	这里用来配置连击技能的效果（填下一个技能的技能ID）\n无填-1	连击保留时间（毫秒）\n\n从上一个技能施法时间结束后开始计时	记忆的时间为一个区间段。\n\n时间1，时间2\n单位：毫秒\n\n不记忆配置0	配置方式：\nCD时间\n无公共CD配置-1\n\n单位：毫秒\n若不同技能配置的组ID一样，则这个组内一个技能使用后，其他技能均进入公共CD	0、通用\n1、战士\n2、法师\n3、射手\n4、刺客	显示在哪些地方\n0、不显示在任何地方\n1、职业普攻\n2、职业技能	技能解锁的等级	0、基础技能\n1、槽位1（利剑）\n2、槽位2（荒芜）\n3、槽位3（追命）\n4、槽位4（绝技）\n5、槽位5（被动）	单位：毫秒	单位：毫秒\n\n若减CD则配置负数增量	初始消耗固定的法力值，技能法力消耗=初始法力消耗+法力消耗每级增加*（技能等级-1）	法力消耗（固定值）每级增加，升级法力消耗不变则填0	万分比配置（10000=100%）\n消耗自身法力上限的万分比，技能法力消耗（万分比）=初始法力消耗+法力消耗每级增加*（技能等级-1)	法力消耗（万分比）每级增加，升级法力消耗（万分比）不变则填0	不消耗配-1\n道具1ID，道具1数量，道具2ID，道具2数量；必须背包中拥有该道具才能释放该技能
3	3	3	3	3	1	1	1	3	1	3	3	1	1	1	1	1	1	1	1	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1000	战士普攻1	基础攻击	1	2	0	2,90,2,5	EffectPrefab/SkillIndicator/Dragon Arrow	2	ty_fanwei	2	3	-1,-1,Attack01,-1	0,0,500,500	100	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	fashi_pugong	1000	1	0	-1	0	-1	1001	1500	300,500	-1	1	1	1	0	0	0	0	0	0	0	-1
1001	战士普攻2	基础攻击	1	2	0	2,90,2,5	EffectPrefab/SkillIndicator/Frost Blast	2	ty_fanwei	2	3	-1,-1,Attack02,-1	0,0,330,660	101	0,0,0,0	0,0,0,1	-1	zs_pg2_sf	fashi_pugong	1001	1	0	-1	0	-1	1002	1500	100,330	-1	1	1	1	0	0	0	0	0	0	0	-1
1002	战士普攻3	基础攻击	1	2	0	2,90,2,5	EffectPrefab/SkillIndicator/Frost Nova	2	ty_fanwei	2	3	-1,-1,Attack03,-1	0,0,1000,660	102	0,0,0,0	0,0,0,1	-1	zs_pg3_sf	fashi_pugong	1002	1	0	-1	0	-1	-1	0	300,660	-1	1	1	1	0	0	0	0	0	0	0	-1
1010	横扫千军	身前范围伤害	1	3	0	2,180,4,5	EffectPrefab/SkillIndicator/Frost Blast	4	ty_fanwei	2	6	-1,-1,Skill01,-1	0,0,1000,500	104,105	0,0,0,0	0,0,0,1	-1	zs_hzqj_sf	zhanshi_1	1010	1	0	-1	0	-1	-1	0	500,1000	-1	1	2	1	1	500	0	10	1	0	0	-1
1020	战意冲击	范围嘲讽	1	2	0	2,360,3.5,5	0	7	ty_fanwei	1	8	-1,-1,Skill02,-1	0,0,1000,1000	106	0,0,0,0	0,0,0,1	-1	zs_zycj_sf	zhanshi_2	1020	1	500	101	0	-1	-1	0	500,1000	-1	1	2	1	2	1000	0	0	0	100	10	-1
1030	跳跃斩	锁定伤害+眩晕	1	3	0	2,360,3,5	EffectPrefab/SkillIndicator/Frost Nova	8	ty_fanwei	2	9	Skill03a,Skill03b,Skill03c,-1	360,100,660,700	107,108	0,0,0,0	0,0,0,1	{1000,0.2,0.2,0.2},{1500,0.2,0.2,0.2}	zs_tyz_sf	zhanshi_3	1030	5	0	-1	0	-1	-1	0	600,1330	-1	1	2	6	3	2000	0	10	1	0	0	-1
1040	无影剑气	快速连续攻击	1	2	0	2,120,7,5	EffectPrefab/SkillIndicator/Frost Blast	7	ty_fanwei	2	8	-1,-1,Skill04,-1	160,0,1330,1200	109	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1040	1	0	-1	0	-1	-1	0	700,1490	-1	1	2	8	4	2000	0	10	1	100	10	-1
1050	被动技能	增加攻击	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	1050	-1	0	0	-1	1	2	1	5	0	0	0	0	0	0	-1
1051	被动技能	增加防御	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1051	1	0	-1	0	1053	-1	0	0	-1	1	2	1	5	0	0	0	0	0	0	-1
1900	通用跳跃-法师	通用跳跃	1	2	0	2,360,7,1	EffectPrefab/SkillIndicator/Frost Nova	7	7	1	7	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	-1	4	0	-1	0	-1	-1	0	0	-1	1	2	1	1	1500	0	10	1	0	0	-1
2000	法师普攻1	普攻	1	2	0	3,1,1,1	0	10	ty_fanwei	2	15	-1,-1,Attack01,-1	0,0,500,700	-1	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	fashi_pugong	-1	1	400	2000	0	-1	2001	1500	200,700	-1	2	1	1	0	0	0	0	0	0	0	-1
