ID	UpgradeCost	Property	UpgradeCost1	Property1	UpgradeCost2	Property2	UpgradeCost3	Property3	UpgradeCost4	Property4	UpgradeCost5	Property5
索引	普攻技能升级消耗	获得属性	技能槽1	获得属性1	技能槽2	获得属性2	技能槽3	获得属性3	技能槽4	获得属性4	技能槽5	获得属性5
int	int[]	table	int[]	table	int[]	table	int[]	table	int[]	table	int[]	table
技能槽等级	职业基础普攻技能（龙战）\n单个技能槽升级消耗\n消耗资源类型，资源数量\n若有多种消耗，逗号隔开	基础普攻技能槽升级获得属性\n{职业，属性类型，属性值},{职业，属性类型，属性值}\n{1,1,500},{1,2,500} 	通用技能槽1（利剑）\n升级消耗	槽1升级获得属性\n{职业，属性类型，属性值},{职业，属性类型，属性值}\n{1,1,500},{1,2,500} 	通用技能槽2（荒芜）\n升级消耗	槽2升级获得属性\n{职业，属性类型，属性值},{职业，属性类型，属性值}\n{1,1,500},{1,2,500} 	通用技能槽3（追命）\n升级消耗	槽3升级获得属性\n{职业，属性类型，属性值},{职业，属性类型，属性值}\n{1,1,500},{1,2,500} 	通用技能槽4（绝技）\n升级消耗	槽4升级获得属性\n{职业，属性类型，属性值},{职业，属性类型，属性值}\n{1,1,500},{1,2,500} 	通用技能槽5（被动）\n升级消耗	槽5升级获得属性\n{职业，属性类型，属性值},{职业，属性类型，属性值}\n{1,1,500},{1,2,500} 
3	3	3	3	3	3	3	3	3	3	3	3	3
1	4,2000	{1,1,0},{1,14,0},{2,1,0},{2,14,0},{3,1,0},{3,14,0},{4,1,0},{4,14,0}	4,2000	{1,3,0},{1,7,0},{2,4,0},{2,8,0},{3,3,0},{3,7,0},{4,3,0},{4,7,0}	4,2000	{1,5,0},{1,6,0},{2,5,0},{2,6,0},{3,5,0},{3,6,0},{4,5,0},{4,6,0}	4,2000	{1,11,0},{1,13,0},{2,11,0},{2,13,0},{3,11,0},{3,13,0},{4,11,0},{4,13,0}	4,2000	{1,9,0},{1,19,0},{2,10,0},{2,19,0},{3,9,0},{3,19,0},{4,9,0},{4,19,0}	4,2000	{1,2,0},{1,15,0},{2,2,0},{2,15,0},{3,2,0},{3,15,0},{4,2,0},{4,15,0}
2	4,2200	{1,1,32},{1,14,2},{2,1,23},{2,14,1},{3,1,32},{3,14,2},{4,1,29},{4,14,1}	4,2200	{1,3,7},{1,7,3},{2,4,8},{2,8,4},{3,3,8},{3,7,4},{4,3,8},{4,7,4}	4,2200	{1,5,8},{1,6,8},{2,5,7},{2,6,7},{3,5,7},{3,6,5},{4,5,8},{4,6,7}	4,2200	{1,11,3},{1,13,4},{2,11,3},{2,13,3},{3,11,4},{3,13,3},{4,11,4},{4,13,4}	4,2200	{1,9,3},{1,19,3},{2,10,4},{2,19,4},{3,9,4},{3,19,4},{4,9,4},{4,19,4}	4,2200	{1,2,12},{1,15,2},{2,2,16},{2,15,4},{3,2,12},{3,15,2},{4,2,13},{4,15,2}
3	4,2400	{1,1,48},{1,14,3},{2,1,34},{2,14,2},{3,1,48},{3,14,3},{4,1,44},{4,14,2}	4,2400	{1,3,10},{1,7,4},{2,4,12},{2,8,6},{3,3,12},{3,7,5},{4,3,12},{4,7,6}	4,2400	{1,5,12},{1,6,12},{2,5,10},{2,6,10},{3,5,10},{3,6,8},{4,5,11},{4,6,10}	4,2400	{1,11,4},{1,13,6},{2,11,4},{2,13,4},{3,11,6},{3,13,4},{4,11,6},{4,13,5}	4,2400	{1,9,4},{1,19,4},{2,10,6},{2,19,6},{3,9,6},{3,19,5},{4,9,5},{4,19,5}	4,2400	{1,2,17},{1,15,3},{2,2,24},{2,15,5},{3,2,17},{3,15,3},{4,2,20},{4,15,3}
4	4,2600	{1,1,64},{1,14,4},{2,1,45},{2,14,2},{3,1,64},{3,14,4},{4,1,58},{4,14,2}	4,2600	{1,3,13},{1,7,5},{2,4,16},{2,8,8},{3,3,16},{3,7,7},{4,3,16},{4,7,8}	4,2600	{1,5,16},{1,6,16},{2,5,13},{2,6,13},{3,5,13},{3,6,10},{4,5,15},{4,6,13}	4,2600	{1,11,5},{1,13,8},{2,11,5},{2,13,5},{3,11,8},{3,13,5},{4,11,8},{4,13,7}	4,2600	{1,9,5},{1,19,5},{2,10,8},{2,19,8},{3,9,8},{3,19,7},{4,9,7},{4,19,7}	4,2600	{1,2,23},{1,15,4},{2,2,32},{2,15,7},{3,2,23},{3,15,4},{4,2,26},{4,15,4}
5	4,2800	{1,1,80},{1,14,4},{2,1,56},{2,14,2},{3,1,80},{3,14,4},{4,1,72},{4,14,2}	4,2800	{1,3,16},{1,7,6},{2,4,20},{2,8,10},{3,3,20},{3,7,8},{4,3,20},{4,7,10}	4,2800	{1,5,20},{1,6,20},{2,5,16},{2,6,16},{3,5,16},{3,6,12},{4,5,18},{4,6,16}	4,2800	{1,11,6},{1,13,10},{2,11,6},{2,13,6},{3,11,10},{3,13,6},{4,11,10},{4,13,8}	4,2800	{1,9,6},{1,19,6},{2,10,10},{2,19,10},{3,9,10},{3,19,8},{4,9,8},{4,19,8}	4,2800	{1,2,28},{1,15,4},{2,2,40},{2,15,8},{3,2,28},{3,15,4},{4,2,32},{4,15,4}
6	4,3200	{1,1,96},{1,14,5},{2,1,68},{2,14,3},{3,1,96},{3,14,5},{4,1,87},{4,14,3}	4,3200	{1,3,20},{1,7,8},{2,4,24},{2,8,12},{3,3,24},{3,7,10},{4,3,24},{4,7,12}	4,3200	{1,5,24},{1,6,24},{2,5,20},{2,6,20},{3,5,20},{3,6,15},{4,5,22},{4,6,20}	4,3200	{1,11,8},{1,13,12},{2,11,8},{2,13,8},{3,11,12},{3,13,8},{4,11,12},{4,13,10}	4,3200	{1,9,8},{1,19,8},{2,10,12},{2,19,12},{3,9,12},{3,19,10},{4,9,10},{4,19,10}	4,3200	{1,2,34},{1,15,5},{2,2,48},{2,15,10},{3,2,34},{3,15,5},{4,2,39},{4,15,5}
