ID	Type	UnitType	UnitId	UnitCallDistance	UnitCount	UnitCallAngle	UnitAliveTime	UnitAliveNum	UnitDeathBound	Ai	paramList	Remark1	Attr	StatBound
索引	召唤物类型	召唤物类型	召唤物ID	召唤物距离	一次召唤数量	召唤物角度	存活时间	存活数量	死亡挂钩	召唤物AI	AI参数扩展	策划描述	召唤物基础属性	属性关联
int	int	int	int	float[]	int	int[]	int	int	int	int	float[]	string	int	table
召唤ID索引	类型\n(类型1，读怪物表，读怪物AI表\n类型2，读机关表，读AI及扩展参数\n类型3，远程飞弹表，读AI及扩展参数;属性；取自释放者)	根据类型读取对应表格ID\n（1-MonsterTable、\n2-effectdatatable）	根据类型读取对应表格ID\n（MonsterTable、\n机关表\nTrapTable、\n远程飞弹effectTable）	初始水平位移X，初始垂直高度Y，初始垂直高度Z.相对起始位置的间隔X，Y，Z	每次召唤数量	首个召唤物顺时针起始角度（相对召唤者朝向），相对起始角度的夹角	每个召唤物的存活时间。单位 毫秒，小于等于0表示永久	召唤物最多存在的个数，召唤的个数大于此数量时会把之前最先召唤的杀掉。单位 个，小于等于0表示无数量限制	1：召唤者死亡时，召唤物跟随死亡\n0：召唤者死亡，召唤物不死	BaseAiTable表\n读取机关表\n飞弹AI表	对应AI，部分参数扩展，0，则该字段无效	参数备注	配置角色ID：\n（ActorAttributeTable表：角色ID*1000+技能等级）	如果不填,就取属性表值。如果需要和召唤者的属性关联,则填写下面的类型：万分比值,用|隔开。最终结果就是属性表值+万分比值*召唤者对应属性值
4	4	4	4	4	4	4	4	4	4	4	4	0	4	4
1	1	1	9999901	1,0	1	0,0	30000	3	1	1	999999		11	-1
2	1	1	9999902	1,0	3	-30,30	30000	4	1	1	999999		11	{2,5000},{1,2001}
3	1	1	9999903	1,0	1	0,0	30000	1	1	1	999999		11	{1,5002}
4	1	1	9999904	1,0	1	0,0	30000	1	1	1	999999		11	-1
5	1	1	9999905	1,0	1	0,0	30000	1	1	1	999999		11	{1,5003}
6	1	1	9999901	1,0	1	0,0	30000	1	1	1	999999		11	{2,5000},{1,2003}
7	1	1	9999902	1,0	1	0,0	30000	1	1	1	999999		11	{1,5004}
8	1	1	9999903	1,0	1	0,0	30000	1	1	1	999999		11	{2,5000},{1,2004}
9	1	1	9999904	1,0	1	0,0	30000	1	1	1	999999		11	{1,5005}
