ID	name	type	typeorder	camp	pretask	Next	level	maxlevel	startnpc	endnpc	itemsreceive	exp	rewarditems	DropGroupID	addbuff	desc	detaileddesc	condition	request	AutoReceive	AutoFinish	dungeon	TasksTate	PlayMove	MapRegionID	tga	is_show	Findpath
序号	任务名称	类型	类型顺序	阵营	前置任务	后置任务	领取等级	最高可领取等级	起始npc	结束npc	接受任务获得道具	任务经验	道具奖励	掉落组ID	增加buff	 描述	详细描述	任务类型	完成条件描述	自动接取	自动完成	任务直接进副本	任务状态	播放动画	接受任务传送地图	任务标签	等级不足是否显示	寻路ID
int	string	int	int	int	int	int	int	int	int	int	int[]	int	int[]	int[]	int	string	string	int	int[]	int	int	int	int	int	int	string	int	int
主键	任务中文名称	1.主线\n2.支线\n3.日常\n4.引导\n5.悬赏\n6.活动\n	任务类型在主界面排序	只有是对应的阵营才能接受任务，通用填0	前置任务的序号	后置任务ID	领取任务等级	任务最高可领取等级	起始npcid	结束npcid	道具ID、护送模型ID	任务经验奖励	任务金钱奖励\n道具id,数量	掉落组表-DropGroupTable\n没掉落需要填0	增加一种buff\n填 buffID：时间\n单位，毫秒	任务简要描述，分为三段\n未接取|已接取未完成|已完成未交付\n主界面任务栏和任务界面显示	任务界面详细对话描述	完成任务的条件：\n1.对话\n2.杀死特定怪物\n3.采集\n4.提交物品\n5.护送\n6.通关副本\n7.杀死等级区间怪物\n8.强化一次装备\n9.组队一次\n10.添加好友\n11.穿戴X件X级装备\n12.传送	任务完成的条件描述\n1.对话任务\n2.怪物ID,数量\n3.采集物id,数量\n4.物品ID,数量\n5.护送任务\n6.副本ID，需要完成次数\n7.怪物等级，怪物等级，数量\n8.点击一次强化按钮即可（无论成功失败）\n9.创建或者申请别人的队伍都可\n10.好友列表里有大于等于1个好友即可\n11.3,30（穿戴3件30级装备）\n12.1	是否自动接取当前任务\n1：是\n无效填-1	是否自动完成当前任务\n1：是\n无效填-1	副本ID\n备注：仅镜像副本用	1：已接取\n2：已完成未交付\n3：已交付	根据任务状态触发\n剧情动画ID	引用MapRegion表区域ID\n填区域ID后传送寻路\n填0正常走动寻路	任务标签资源名称	等级不足是否显示任务	对应Findpath表中的ID，包括以下几种：\n寻路NPC\n怪物\n采集品\n传送点\n无需寻路填-1\n
3	1	3	1	3	3	3	3	3	1	1	3	3	3	2	0	1	1	3	3	3	3	3	0	1	3	1	1	3
1	初见精卫	1	1	0	0	2	1	150	10001	10001	0	170	4,20000	310401,310402,310403,310404	0	奇怪的<color=#00FF00>小女孩</color>	村口一个小女孩，来回踱步的张望，像是等待着谁的到来。	1	1	1	-1	0	0	0	0	0	1	0
2	寻山问路	1	1	0	1	3	1	150	10001	10001	0	340	4,20000	0	0	问问看这是在哪里	这里风景秀丽，溪水潺潺，建筑保留原由的风格但设施齐全；被称为黛眉山村。	1	1	-1	-1	0	0	0	0	0	1	0
3	偶遇李英	1	1	0	2	4	1	150	10002	10002	0	510	4,20000	310405,310406,310407,310408	0	击退沿路小妖	在精卫带领下进村，沿途发现有人倒在地上，怀疑遇到碰瓷。	2	10001,3	1	-1	0	0	0	0	0	1	1
4	出手相救	1	1	0	3	5	1	150	10002	10002	0	680	4,20000	0	0	同精卫商量救人	精卫劝说救人，李英伤势严重很是虚弱，先带他离开寻找救助。	1	1	1	-1	0	0	0	0	0	1	0
5	青衣现身	1	1	0	4	6	1	150	10003	10003	99999	1020	4,20000	310409,310410,310411,310412	0	向美女求救	精卫领路，带着李英寻求救助，一个性感美女站在住房屋前。	5	5	1	-1	0	0	0	0	0	1	0
6	深山仙草	1	1	0	5	7	1	150	10003	10003	0	1360	4,20000	0	0	前往岱嵋寨	李英倒地不起，青衣需要足够的药草才能替他疗伤。	6	301,1	1	-1	0	0	0	0	0	1	7
7	药到病除	1	1	0	6	8	1	150	10005	10005	0	1700	4,20000	310413,310414,310415,310416	0	喂李英喝药	喝过药苏醒过来的李英，感谢救助自己的美女青衣，自我介绍后有感而发。	3	10005,1	1	-1	0	0	0	0	0	1	9
8	拜访村长	1	1	0	7	9	1	150	10004	10004	0	2040	4,20000	0	0	前去拜访村长	李英醒来，想到身负重任，坚持同精卫一起前去拜访村长。	1	1	-1	-1	0	0	0	0	0	1	0
9	要事相商	1	1	0	8	10	1	150	10004	10004	0	2380	4,20000	310417,310418,310419,310420	0	同村长商量要事	李英来到黛眉山执行任务，不幸遇险负伤，得到救助后，找村长王道灵诉说原由。	1	1	-1	-1	0	0	0	0	0	1	0
10	观赏聚灵树	1	1	0	9	11	1	150	10004	10004	0	2720	4,20000	310421,310422,310423,310424	0	聚灵树波动	精卫边吃边吐槽王道灵，并告知李英此行目的，古灵精怪却也不乏心思细腻。	12	1	-1	-1	0	0	0	10012	0	1	6
11	扰人清净	1	1	0	10	12	1	150	10004	10004	0	3060	4,20000	310425,310426,310427,310428	0	听王道灵训话	精卫担心王道灵没有太大精力处理异动，遭到训话。	1	1	-1	-1	0	0	0	0	0	1	0
12	异端初现	1	1	0	11	13	1	150	10014	10014	0	3400	4,20000	310429,310430,310431,310432	0	击退魔化山海后裔	一部分魔化的山海后裔已经开始进攻黛眉山了，必须得加紧时间阻止他们！	6	303,1	1	-1	303	0	0	10013	0	1	8
13	解决麻烦	1	1	0	12	14	1	150	10010	10010	0	3740	4,20000	0	0	采集连翘	陪精卫一起四处打探，遇到哀叹的村民，得知其妹妹生病，帮采草药。	3	10002,4	-1	-1	0	0	0	0	0	1	3
14	幸福尽头	1	1	0	13	15	1	150	10011	10011	0	4080	4,20000	0	0	跟客人打听消息	四处游历的客人有感而发，精卫天真询问“幸福。”	1	1	-1	-1	0	0	0	0	0	1	0
15	平复动荡	1	1	0	14	16	1	150	10006	10007	0	4420	4,20000	0	0	击退魔化后裔	同精卫一起前去抵御魔化的山海后裔，帮助黛眉山渡过危机。	2	10002,3	-1	-1	0	0	0	0	0	1	4
16	精卫离世	1	1	0	15	17	1	150	10012	10012	0	4760	4,20000,40001,6	0	0	帮助精卫转达遗愿	帮助精卫找到当扈。当扈平时只关心精卫，从小陪她长大，得知消息难过不已。	1	1	-1	-1	0	0	0	0	0	1	0
17	用情至深	1	1	0	16	18	1	150	10008	10008	0	5100	4,20000	0	0	向王道灵求助	找到村长王道灵，向他求救，希望他能够拯救离开的精卫。	1	1	-1	-1	0	0	0	0	0	1	0
18	神农鼎中藏	1	1	0	17	19	1	150	10008	10008	0	5440	4,20000	0	0	放置精卫遗体	千月湖边，王道灵默念咒语，将精卫抛入千月湖封存。	1	1	-1	-1	0	0	0	0	0	1	0
19	竭尽全力	1	1	0	18	20	1	150	10008	10008	0	5780	4,20000	0	0	前去寻找神器	为了复活精卫，去除各地异端，踏上路途。	1	1	-1	-1	0	0	0	0	0	1	0
20	山头一霸	1	1	0	19	21	1	150	10013	10013	0	6120	4,20000	0	0	奇怪的小哥哥	寻找指路人途中偶遇一个小哥哥，询问指路人所在，发现其药不能停。	1	1	-1	-1	0	0	0	0	0	1	0
21	神都复命	1	1	0	20	22	1	150	10009	10009	0	6460	4,20000	0	0	击退沿路魔化后裔	找到指路人虚空，虚空给人感觉懒散，无所事事；不过依旧会帮助指引方向。	2	10004,3	1	-1	0	0	0	0	0	1	5
22	崩坏的世间	1	1	1	21	23	1	150	10101	10101	0	7500	4,20000	0	0	无法解释的世界	前往神都途中当扈告知这个世界已经崩坏，后面还将发生更多无法理解的事情。	1	1	1	-1	0	0	0	10101	0	0	0
23	举手之劳	1	1	1	22	24	1	150	10102	10102	0	9000	4,20000	0	0	答谢出手相助	白书简的出现化解了危机，鸪鸟很快败下阵来，愤然离去。	1	1	1	-1	0	0	0	0	0	0	0
