ID	taskid	name	speaktype	stage	order	speakdesc
序号	任务ID	任务名称	说话类型	阶段	对话顺序	说话内容
int	int	string	int[]	int	int	string
主键	任务的ID	策划用	1.玩家\n2.(2,npcid)\n3.怪物（3,怪物id）	任务阶段\n0.起始\n1.进行时\n2.结束	对话顺序	对话的内容
1	1	0	1	1	1	1
1	1	初见精卫	2,10001	1	1	玩家ID，我是精卫。((٩(//̀Д/́/)۶))你总算来了，村长让我在这里等你好久了。这里又闷又无聊的，╮(╯▽╰)╭也不知道当扈有没有帮我好好填海。
2	1	初见精卫	1	1	2	······
3	1	初见精卫	2,10001	1	3	你在怀疑什么？⊙﹏⊙我真的不是坏人哦。
4	1	初见精卫	1	1	4	(눈_눈)······
5	1	初见精卫	2,10001	2	1	你这人真奇怪，要不是村长说给我他在魔都买的桂花糕，我才不来接你呢。╭(╯^╰)╮
6	2	寻山问路	1	0	1	这里是哪里？
7	2	寻山问路	2,10001	1	1	这里是黛眉山，我所在的村子叫黛眉山村。
8	2	寻山问路	1	1	2	我······
9	2	寻山问路	2,10001	1	3	咦，你几天没洗澡了。穿成这样怎么行，还不快换一下。
10	2	寻山问路	1	2	1	你（╬￣皿￣） 
11	2	寻山问路	2,10001	2	2	好啦，快走啦，回村子啦！
12	3	偶遇李英	2,10001	2	1	小哥哥，小哥哥，前面的小妖已经被我打跑了，你碰瓷别找我们啊。我们真的没钱的。
13	3	偶遇李英	2,10002	2	2	还愣着干嘛？不救人就别凑热闹。
14	3	偶遇李英	1	2	3	呦，受伤了还这个语气，厉害了。
15	3	偶遇李英	2,10001	2	4	小哥哥，你别生气，气坏身体没人替呢。╮(╯▽╰)╭
16	3	偶遇李英	2,10002	2	5	你们（╬￣皿￣） 
17	4	出手相救	2,10001	1	1	不过，小哥哥你怎么会受伤的？
18	4	出手相救	2,10002	1	2	我是李英，奉命前来，但在路上遇到了魔化怪物，若不是我日夜赶路，身体疲惫又岂会被几只魔化怪物偷袭。
19	4	出手相救	1	1	3	李英？
20	4	出手相救	2,10001	1	4	是说我们回村的路上居然都出现魔化怪物，这下麻烦了，又要耽误几天时间，不能填海了。
21	4	出手相救	2,10001	1	5	玩家ID，别发呆了，快扶小哥哥跟我去见村长吧
22	4	出手相救	1	1	6	你这小丫头没大没小的，要不是看这人伤的不轻，我才懒得理你。
23	4	出手相救	2,10001	1	7	所谓救人一命胜造七级浮屠，你懂不懂啊。(￣^￣) 
24	4	出手相救	1	2	1	我算是怕了你了。我们走吧。
25	5	青衣现身	1	2	1	你是这里的药师吗？他好像伤的很严重，这样下去估计要嗝屁了。
26	5	青衣现身	2,10003	2	2	小精卫，你们再拖一会儿他就很难救了哦。
27	5	青衣现身	2,10001	2	3	(ฅ´ω`ฅ)青衣姐姐，你快救救这个小哥哥吧。
28	5	青衣现身	2,10003	2	4	好好好。不过灵芝、连翘不够了，需要你和你朋友的帮助哦。
29	5	青衣现身	2,10001	2	5	那我们要去哪里弄这些听起来很好吃的东西呀？
30	5	青衣现身	2,10003	2	6	连翘还好可是灵芝却需要到那岱嵋寨中。
31	5	青衣现身	1	2	7	异族？
32	5	青衣现身	2,10001	2	8	非人哉。说了你也不懂。我带你去吧。
35	6	前往岱嵋寨	2,10003	2	1	小精卫，怎么这么久才回来，是不是半路贪玩。(≖ ‿ ≖)✧
36	6	前往岱嵋寨	2,10001	2	2	不是我，不是我。我们还是快救人吧。
37	7	药到病除	2,10005	2	1	这么多年打杀游历，不曾想差点客死异乡，人也许只有接近死亡才知道生存的不易吧！在下李英，多谢相助。
38	7	药到病除	2,10003	2	2	看你劳累过度的身体，想必一个人定吃了不少苦吧。
39	7	药到病除	2,10005	2	3	我一直孤身一人，四处漂泊，早已习惯了这个社会的尔虞我诈。
40	7	药到病除	2,10003	2	4	收拾收拾应该挺帅的，真是浪费了。
41	7	药到病除	2,10001	2	5	这是叫做勾搭吧。
42	7	药到病除	2,10003	2	6	(✿◡‿◡)别闹，村长还在等你呢。
43	7	药到病除	2,10001	2	7	嘻嘻嘻ε = = (づ′▽`)づ
44	8	拜访村长	2,10004	0	1	我一个老人家，不扑街、不装晕、不倚老卖老；年轻人你来给我送礼的吗？
45	8	拜访村长	1	1	1	WTF？这不会是你们村长吧？
46	8	拜访村长	2,10004	2	1	年轻人眼光不错。
47	9	要事相商	1	0	1	 (⊙﹏⊙)前辈，李英这次来是有要事商谈。
48	9	要事相商	2,10004	1	1	虽然我容颜未老，相貌堂堂，深受来往游客的追捧。但是人家也是需要休息的，又不给工资，整天让我一个老人家倒贴也不好吧。
49	9	要事相商	1	1	2	我难道忘记了什么？总感觉会有不好的事情发生。
50	9	要事相商	2,10001	1	3	吧唧吧唧。真不害臊。（○｀ 3′○）
51	9	要事相商	1	1	4	干得漂亮！
52	9	要事相商	2,10001	2	1	李英说神都异变，董事们感应到聚灵树波动，要不要去瞧一瞧黛眉山的。
53	9	要事相商	1	2	2	聚灵树？
54	10	观赏聚灵树	2,10004	0	1	聚灵树有异变，你们可以先去看看，如果有什么异常的情况，速速来和我汇报！
55	10	观赏聚灵树	2,10001	0	2	村长你放心吧！有我在出不了事哒！
56	10	观赏聚灵树	2,10001	2	1	哇，村子不好了，临近村庄的山里发生了动荡，鸟鸣的声响回荡在眉黛山上，久久不散。
57	10	观赏聚灵树	2,10004	2	2	大家不要慌张，有我在不会出事的！
58	11	扰人清净	1	0	1	村长，你都一把年纪….
59	11	扰人清净	2,10004	1	1	呵呵。你在怀疑我嘛？年级虽大，但我可没越活越倒回去。
60	11	扰人清净	1	1	2	可是前辈……
61	11	扰人清净	2,10004	2	1	罢了，你也只是出于好心。你们快去四处问下，别让那些孽障搅和了我黛眉山的清净。
62	11	扰人清净	1	2	2	（′Д`）
63	12	异端初现	2,10014	2	1	真的是太谢谢你们了，没想到这些被魔化的同类已经开始进攻了。
64	12	异端初现	1	2	2	不要紧的，你们以后发现这些魔化的后裔就马上去报告村长！
65	12	异端初现	2,10001	2	3	是的呢，村长他老人家灵力无边，一定能保护好我们的！
66	12	异端初现	2,10014	2	4	是啊，是啊，还好有村长在！
67	13	采集连翘	2,10010	0	1	哎，多久没有遇到这种事了。
68	13	采集连翘	1	0	2	您好，请问下发生什么了？
69	13	采集连翘	2,10010	0	3	我家妹妹生病了，需要连翘，可惜我···
70	13	采集连翘	1	0	4	没事，我帮您就好。
71	13	采集连翘	2,10010	2	1	实在是太感谢了，最近游客居多，我又不能丢下客人。
72	13	采集连翘	1	2	2	小事一桩。
73	13	采集连翘	2,10010	2	3	有个客人经常四处游历，你们如果想打听什么可以找他。
74	13	采集连翘	1	2	4	太好了，真是出门在外靠朋友啊。
75	14	幸福尽头	2,10011	0	1	很多人都相信，如果幸福不在路上，就一定在路的尽头。
76	14	幸福尽头	2,10001	1	1	那什么是幸福呢？
77	14	幸福尽头	1	1	2	(＠_＠;)
78	14	幸福尽头	2,10011	2	1	这里和以前不一样了，你们不要去看看嘛？
79	15	平复动荡	2,10006	0	1	太可怕了，平常野外的一些山海后裔不知道怎么回事全变成凶神恶煞的，太可怕了！
80	15	平复动荡	2,10001	0	2	走，小哥哥，我们去斩妖除魔为村长分忧！
81	15	平复动荡	1	0	3	你开心就好！
82	15	平复动荡	2,10001	2	1	早知道就听当扈的话了，他本来就话少，我还没听。(＞﹏＜)咳咳。
83	15	平复动荡	1	2	2	你别说那么多话了，我立刻带你回去。
84	15	平复动荡	2,10001	2	3	我想去看当扈，村长需要他的帮助。我走了，村长一个人又要守着这个地方，等待下一批生命的诞生。
85	15	平复动荡	2,10001	2	4	X﹏X
86	15	平复动荡	1	2	5	我带你去。
87	16	精卫离世	2,10012	0	1	你是在和我说话嘛？抱歉，我要去帮精卫填海。
88	16	精卫离世	1	0	2	精卫最后说早知道就听你的话了，话本来就少，她还没听。
