ID	beizhu	ContinueTime	Interval	Count	NeedType	TriggerType	Parameter	TriggerProbability	BuffID	SkillId
触发器ID	备注	持续时间（毫秒）	触发CD（毫秒）	起效次数	触发条件	触发方式	触发参数	触发概率（万分率）	buff的ID	skill的ID
int	string	int[]	int	int	table	int	int[]	int[]	int[]	int
触发器ID	策划备注用	效果总共持续的时间。\n配置-1表示永久触发\n\n配置格式：\n基础时间，每级增量	起效间隔	持续时间内消息次数\n填-1，则无次数限制	0-无条件\n{1-自身血量低于x%触发，万分比}\n{2-每损失X%最大生命,万分比}\n{3-单次伤害超过X%当前生命，万分比}\n{11-目标指定BUFF达到指定层数触发，BUFF的ID，层数}（触发后，指定BUFF消失）\n{12-目标指定BUFF1每层触发，BUFF2的ID}（层数*BUFF2伤害效果）\n{21-每击中X个目标触发，目标数量}\n{23-击杀目标时}\n{24-触发方式X次后触发，次数}	不需要读取的时候配-1\n\n1、攻击别人时别人触发\n2、攻击别人时自己触发\n3、受到别人攻击时别人触发\n4、受到别人攻击时自己触发\n5、自己死亡	配-1，所有攻击有效\n1、配具体技能ID，则具体技能生效\n	触发的概率（万分率）\n10000=100%\n\n配置格式：\n基础概率，每级增量	buff_ID	skill的ID
4	0	4	4	4	4	4	4	4	4	0
1050	加攻击触发器	-1	0	-1	{1,6000}	-1	-1	10000,0	1051	-1
1053	防御触发器	-1	0	3	{1,6000},{21,1}	2	1002,1010	10000,0	1054	-1
2041	末日雷劫的负面状态	4000	0	-1	0	4	-1	10000,0	2042	-1
2100	群体净化	10	0	-1	0	-1	-1	10000,0	2101	-1
2230	移速暴击	5000	0	4	0	4	-1	10000,0	2111	-1
2130	群伤控制	1000	3	-1	0	-1	-1	10000,0	2131	-1
10001	冰甲，给自己加防御	5000	0	-1	0	-1	-1	10000,0	10002	-1
200081	给自己加冰甲	5000	0	-1	0	-1	-1	10000,0	200082,200083	-1

30001	攻击触发灼烧	-1	0	-1	{1,6000}	1	-1	10000,0	2210	-1
30002	额外加成	-1	0	-1	{1,6000}	2	-1	10000,0	40000	-1
30003	灼烧	-1	0	-1	{1,6000}	3	-1	10000,0	2210	-1
30004	反伤	-1	0	-1	{1,6000}	4	-1	10000,0	40000	-1
30005	攻击触反伤	-1	0	-1	0	2	1020,1010	10000,0	40001	-1
30006	60%触发无敌	-1	0	-1	{1,6000}	2	-1	10000,0	40002	-1
30007	每击中3目标霸体	-1	0	-1	{21,3}	2	-1	10000,0	40003	-1
30008	攻击间隔30触发物免	-1	30000	-1	0	2	-1	10000,0	40004	-1
30101	伤害超过当前1%触发隐身	-1	0	-1	{3,100}	4	-1	10000,0	40005	-1
30102	没损失2%，降低技能CD	-1	0	-1	{2,200}	4	-1	10000,0	40006	-1
30103	没损失1%，触发加血	-1	0	-1	{1,6000},{2,100}	4	-1	10000,0	2120	-1
30104	60%触发属性转化	-1	0	-1	{1,6000}	4	-1	10000,0	40008	-1
30105	标记爆炸加血	-1	0	-1	{11,40011,3}	1	-1	10000,0	2210	-1
30106	60%触发	-1	10000	1	{1,6000}	-1	-1	10000,0	40010	-1
30107	击杀目标，隐身	-1	30000	-1	{23}	-1	-1	10000,0	40005	-1
