ID	OpenLevel	Consume
仓库格子ID	开启等级	开启消耗
int	int	int
ID索引	仓库对应格子开启需要人物等级	格子的开启消耗\n暂定消耗：银币，类型4
3	3	3
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	2000
22	1	3000
23	1	4000
24	1	5000
25	1	6000
26	5	7000
27	5	8000
28	5	9000
29	5	10000
30	5	11000
31	10	12000
32	10	13000
33	10	14000
34	10	15000
35	10	16000
36	15	17000
37	15	18000
38	15	19000
39	15	20000
40	15	21000
41	20	22000
42	20	23000
43	20	24000
44	20	25000
45	20	26000
46	25	27000
47	25	28000
48	25	29000
49	25	30000
50	25	31000
51	30	32000
52	30	33000
53	30	34000
54	30	35000
55	30	36000
56	35	37000
57	35	38000
58	35	39000
59	35	40000
60	35	41000
61	40	42000
62	40	43000
63	40	44000
64	40	45000
65	40	46000
66	45	47000
67	45	48000
68	45	49000
69	45	50000
70	45	51000
71	50	52000
72	50	53000
73	50	54000
74	50	55000
